#,Player,Pos,Team,AVG,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL
34,James Cook,RB,BUF,15.3,10.3,19.9,13.2,14.7,5.1,7.1,19.2,8.3,7.9,12,19.2,16,-,25.1,36.1,,,,214.1
35,Deebo Samuel,WR,SF,17.6,11.3,22.1,25.1,0.6,11.5,1.1,-,-,-,15.9,9.2,22.4,35.8,34,21.9,,,,210.9
36,Davante Adams,WR,LV,15.1,12.6,20.4,42.2,15.5,8.5,4.9,12.7,2.1,7.4,14.6,21.2,12.3,-,12.3,24.1,,,,210.8
37,Joshua Dobbs,QB,MIN,16.2,1,25.2,17.1,23.4,10.7,11.1,16.1,24.9,24.9,25.1,17.9,8.5,-,4.6,-,,,,210.7
38,T.J. Hockenson,TE,MIN,14.9,11.5,25.6,13.8,4.4,10.1,11,19.6,20.8,13.9,30.4,9.5,16,-,10.3,12.3,,,,209.2
39,Kyren Williams,RB,LA,20.9,17.4,28,8.5,27.7,7.7,21.8,-,-,-,-,-,38.4,20.2,14.3,24.5,,,,208.5
40,Travis Kelce,TE,KC,15.8,-,12.6,19.9,12,22.7,21.4,35.9,11.8,4.4,-,15.4,15.1,12.1,14.3,7.8,,,,205.4
41,Sam LaPorta,TE,DET,14.7,8.9,11.3,22.4,9.6,19.7,7.6,11.2,19.7,-,8,6.8,17.7,29,4.7,28.6,,,,205.2
42,Jahmyr Gibbs,RB,DET,17,8,12.6,9.2,9.1,-,-,27.6,29.9,-,26.2,21.5,11.3,6.4,17.2,24.8,,,,203.8
43,DeVonta Smith,WR,PHI,14.6,17.7,23.1,6.8,14.8,1.6,9.4,8.9,22.9,14.1,-,15.9,23.6,24.6,10.3,10,,,,203.7
44,Adam Thielen,WR,CAR,14.5,3.2,20.4,31.5,15.2,27.7,28.5,-,15.2,7.9,10.2,15.4,1.2,5.5,12.4,8.3,,,,202.6
45,Brandon Aiyuk,WR,SF,15.5,32.9,7.3,-,20.8,9.8,11.6,10.7,15.9,-,14.5,26.6,13,15.6,16.6,6.7,,,,202
