Receiver,Team,Avg. Raw Fpts,Avg. Targets,Avg. Air Yards,Avg. Target Share,Avg. Air Yards Share,Redzone Looks,Avg. WOPR,total_fpts
L.Fitzgerald,ARI,21.900000000000002,6.75,67.3,25.942999999999994,41.697500000000005,12,68.1,438.0
A.Johnson,HOU,20.043749999999996,7.75,74.25,31.324375,42.04687499999999,6,76.42,320.70000000000005
A.Boldin,ARI,19.853333333333335,7.133333333333334,39.13333333333333,25.213333333333335,20.18466666666667,5,51.95,297.8
R.White,ATL,17.270588235294117,5.823529411764706,63.705882352941174,32.95411764705882,48.36058823529412,5,83.28,293.6
C.Johnson,DET,17.70625,4.9375,52.3125,27.848125,41.06125,4,70.52,283.3
S.Smith,CAR,17.866666666666667,5.533333333333333,67.46666666666667,35.657333333333334,47.55733333333334,3,86.78,268.0
B.Marshall,DEN,17.78666666666667,6.933333333333334,57.733333333333334,27.576,34.344,5,65.4,266.8
G.Jennings,GB,16.4625,5.0625,59.625,23.361874999999998,38.71,5,62.14,263.4
T.Gonzalez,KC,16.4125,6.3125,52.5,30.901875000000004,42.445625,9,76.06,262.6
H.Ward,PIT,13.394736842105262,4.947368421052632,40.421052631578945,24.81578947368421,29.141052631578944,5,57.62,254.5
R.Wayne,IND,14.935294117647063,5.235294117647059,55.1764705882353,21.263529411764708,34.26411764705883,2,55.88,253.9
D.Mason,BAL,13.205263157894738,5.2105263157894735,52.578947368421055,32.184210526315795,49.22789473684211,2,82.74,250.9
A.Bryant,TB,16.653333333333332,6.2,65.86666666666666,24.464,38.327333333333335,2,63.53,249.8
W.Welker,NE,15.418750000000001,7.4375,29.1875,33.044374999999995,25.971249999999998,0,67.75,246.7
R.Moss,NE,14.737499999999999,4.875,51.3125,20.735625000000002,39.274375000000006,9,58.6,235.8
T.Owens,DAL,14.637500000000001,4.3125,48.25,20.819375,33.64625,5,54.78,234.2
L.Moore,NO,14.499999999999998,5.125,45.25,18.855625,23.295,6,44.59,232.0
D.Bowe,KC,14.387500000000003,5.625,42.8125,28.245624999999997,35.643125000000005,5,67.32,230.2
V.Jackson,LAC,13.981250000000001,3.875,60.4375,19.925625,39.425625000000004,6,57.49,223.7
S.Breaston,ARI,11.742105263157896,5.105263157894737,50.21052631578947,17.435263157894738,28.658947368421053,3,46.21,223.10000000000002
S.Moss,WAS,13.7125,5.0,31.6875,25.083749999999995,31.353125,1,59.57,219.4
E.Royal,DEN,14.613333333333335,6.133333333333334,42.53333333333333,25.990000000000002,24.75066666666667,3,56.31,219.2
S.Holmes,PIT,11.927777777777777,4.0,40.166666666666664,20.73777777777778,26.85833333333333,4,49.91,214.7
D.Clark,IND,13.006250000000003,5.25,30.625,21.330624999999998,18.875625000000007,4,45.21,208.10000000000002
T.Houshmandzadeh,CIN,14.742857142857146,6.571428571428571,38.92857142857143,31.600714285714282,37.56,3,73.69,206.4
A.Gates,LAC,12.117647058823527,4.470588235294118,32.470588235294116,20.848235294117647,21.382941176470588,8,46.24,206.0
D.Driver,GB,12.825000000000001,4.625,39.1875,21.605,25.096874999999997,3,49.98,205.2
D.Jackson,PHI,11.288888888888888,4.666666666666667,53.72222222222222,17.341666666666672,28.276111111111113,4,45.81,203.2
J.Witten,DAL,13.346666666666666,5.4,37.333333333333336,26.753999999999998,26.476,4,58.66,200.2
K.Walter,HOU,12.36875,4.0,39.25,16.656875,23.334999999999997,4,41.32,197.9
M.Muhammad,CAR,11.63529411764706,4.823529411764706,45.705882352941174,27.94235294117647,34.20823529411764,4,65.86,197.8
L.Coles,NYJ,12.24375,4.75,40.0625,19.061874999999993,28.99875,6,48.89,195.9
B.Berrian,MIN,12.000000000000002,3.375,45.5625,18.970624999999995,37.30687499999999,1,54.57,192.0
J.Cotchery,NYJ,11.6875,5.0,42.0,19.943125,28.634375,1,49.96,187.0
I.Bruce,SF,12.353333333333333,5.0,56.46666666666667,21.217333333333332,32.224666666666664,7,54.38,185.3
L.Evans,BUF,12.193333333333333,4.4,52.2,21.685999999999993,38.94733333333333,1,59.79,182.9
C.Cooley,WAS,10.868749999999999,5.3125,25.1875,25.158125,25.735000000000003,0,55.75,173.9
O.Daniels,HOU,10.5125,4.6875,29.5,18.671875,19.014375000000005,2,41.32,168.2
A.Gonzalez,IND,9.694117647058823,3.8823529411764706,34.529411764705884,15.04941176470588,19.305882352941175,4,36.09,164.8
T.Holt,LA,10.100000000000001,4.3125,44.4375,21.99,36.320625,2,58.41,161.60000000000002
B.Edwards,CLE,10.06875,3.8125,43.3125,23.766875000000002,53.482499999999995,4,73.09,161.10000000000002
M.Harrison,IND,9.9125,4.125,30.8125,16.518749999999997,19.656250000000004,3,38.54,158.60000000000002
J.Gage,TEN,13.216666666666667,3.6666666666666665,47.583333333333336,19.5125,37.96,2,55.84,158.60000000000002
M.Jenkins,ATL,9.750000000000002,3.5,40.4375,20.606875000000002,33.224375,1,54.17,156.0
T.Ginn,MIA,9.164705882352942,3.764705882352941,40.05882352941177,17.94529411764706,24.41,2,44.0,155.8
M.Colston,NO,15.3,5.3,61.8,18.185999999999996,29.03,2,47.6,153.0
M.Jones,JAX,12.5,6.25,61.166666666666664,24.86916666666667,35.054166666666674,4,61.84,150.0
H.Miller,PIT,9.374999999999998,3.9375,23.375,20.580625,17.62625,1,43.21,150.0
B.Westbrook,PHI,9.30625,4.0625,3.375,16.89,3.32625,0,27.66,148.9
J.Carlson,SEA,9.846666666666668,3.933333333333333,28.533333333333335,22.523999999999997,25.604666666666667,3,51.71,147.7
V.Shiancoe,MIN,8.547058823529412,2.588235294117647,25.41176470588235,14.909411764705883,21.03,4,37.09,145.3
M.Clayton,BAL,7.911111111111111,2.9444444444444446,37.166666666666664,18.06055555555556,27.913333333333338,1,46.63,142.4
G.Olsen,CHI,9.426666666666668,3.8,24.2,18.148,21.121333333333332,5,42.01,141.4
D.Avery,LA,10.8,4.538461538461538,42.07692307692308,22.310000000000002,32.96384615384615,2,56.54,140.4
Z.Miller,LV,9.320000000000002,3.933333333333333,38.2,27.33133333333333,46.306,0,73.41,139.8
D.Hester,CHI,9.1,3.6,34.8,17.913333333333334,26.792666666666666,1,45.62,136.5
M.Forte,CHI,8.525000000000002,4.25,6.75,20.7925,4.9418750000000005,4,34.65,136.4
A.Randle El,WAS,8.51875,3.75,26.9375,18.345625000000002,28.379375,2,47.38,136.3
B.Wade,MIN,8.43125,3.625,28.75,20.25625,23.440624999999997,0,46.79,134.9
