Receiver,Team,Avg. Raw Fpts,Avg. Targets,Avg. Air Yards,Avg. Target Share,Avg. Air Yards Share,Redzone Looks,Avg. WOPR,total_fpts
R. Moss,MIN,24.062500000000004,10.75,0.0,35.044375,,0,,385.0
T.Holt,LA,21.33529411764706,10.941176470588236,0.0,30.607058823529414,,0,,362.70000000000005
M.Harrison,IND,18.566666666666666,9.38888888888889,0.0,27.743333333333336,,0,,334.20000000000005
S.Smith,CAR,15.710000000000003,8.45,0.0,30.5645,,0,,314.20000000000005
D.Mason,TEN,16.727777777777774,8.444444444444445,0.0,27.28277777777778,,0,,301.1
A.Boldin,ARI,17.91875,10.3125,0.0,32.280625,,0,,286.70000000000005
C.Johnson,CIN,17.84375,9.625,0.0,30.584999999999994,,0,,285.5
H.Ward,PIT,17.025000000000002,9.75,0.0,29.941875,,0,,272.4
K.McCardell,TB,15.625000000000002,8.625,0.0,24.69374999999999,,0,,250.0
D.Jackson,SEA,14.535294117647059,8.058823529411764,0.0,24.46764705882353,,0,,247.10000000000002
S.Moss,NYJ,15.281249999999998,7.375,0.0,24.485625,,0,,244.5
T.Owens,SF,16.28,9.733333333333333,0.0,31.389333333333333,,0,,244.2
L.Coles,WAS,14.9,9.9375,0.0,31.11375,,0,,238.4
R.Wayne,IND,12.526315789473685,6.631578947368421,0.0,18.771052631578947,,0,,238.0
J.Horn,NO,15.68666666666667,8.666666666666666,0.0,27.869333333333334,,0,,235.3
T. Gonzalez,KC,13.652941176470591,6.470588235294118,0.0,19.84882352941176,,0,,232.10000000000002
C.Chambers,MIA,14.14375,8.125,0.0,29.221874999999997,,0,,226.3
M.Muhammad,CAR,11.468421052631578,6.7894736842105265,0.0,24.527894736842107,,0,,217.9
I.Bruce,LA,14.379999999999999,8.933333333333334,0.0,22.941333333333336,,0,,215.7
P.Warrick,CIN,13.526666666666669,8.133333333333333,0.0,25.374666666666663,,0,,202.9
D. Boston,LAC,14.3,8.285714285714286,0.0,25.799285714285713,,0,,200.2
A.Toomer,NYG,12.41875,9.5,0.0,24.917499999999997,,0,,198.7
L. Tomlinson,LAC,12.28125,8.5625,0.0,27.198124999999997,,0,,196.5
S.Sharpe,DEN,12.19375,6.1875,0.0,21.095,,0,,195.10000000000002
K.Robinson,SEA,12.15,8.125,0.0,23.828124999999996,,0,,194.4
R.Smith,DEN,12.131249999999998,7.5625,0.0,25.771249999999995,,0,,194.10000000000002
D.Branch,NE,10.772222222222222,7.333333333333333,0.0,20.72500000000001,,0,,193.9
J.McCareins,TEN,10.477777777777776,4.833333333333333,0.0,16.300555555555555,,0,,188.60000000000002
J.Walker,GB,10.449999999999998,4.611111111111111,0.0,15.468333333333337,,0,,188.10000000000002
A.Johnson,HOU,11.725000000000001,7.4375,0.0,28.341250000000002,,0,,187.60000000000002
E. Kennison,KC,10.547058823529412,6.235294117647059,0.0,19.43764705882353,,0,,179.3
P.Burress,PIT,10.625000000000002,7.75,0.0,23.457499999999992,,0,,170.0
D.Givens,NE,11.878571428571428,5.928571428571429,0.0,17.222857142857144,,0,,166.3
P.Price,ATL,10.362499999999999,8.8125,0.0,32.09875,,0,,165.8
T.Glenn,DAL,9.71764705882353,6.0588235294117645,0.0,19.63235294117647,,0,,165.2
T.Heap,BAL,9.711764705882354,7.529411764705882,0.0,28.46117647058824,,0,,165.10000000000002
B.Engram,SEA,9.611764705882353,4.705882352941177,0.0,14.951176470588235,,0,,163.4
J.Rice,LV,10.11875,7.75,0.0,24.566250000000004,,0,,161.9
J.Smith,JAX,13.208333333333336,9.333333333333334,0.0,29.550833333333333,,0,,158.5
I.Hilliard,NYG,12.061538461538463,7.923076923076923,0.0,20.976153846153846,,0,,156.8
B.Shaw,BUF,10.213333333333333,5.8,0.0,19.35,,0,,153.2
R.Anderson,DAL,9.45625,6.0625,0.0,19.65625,,0,,151.3
P. Holmes,KC,8.894117647058822,5.529411764705882,0.0,16.959411764705884,,0,,151.2
J. Morton,KC,8.847058823529414,5.705882352941177,0.0,17.820588235294117,,0,,150.4
R.Gardner,WAS,9.312500000000002,7.1875,0.0,22.873749999999998,,0,,149.0
T.Streets,SF,9.28125,5.3125,0.0,16.949375,,0,,148.5
E.Moulds,BUF,11.384615384615383,9.384615384615385,0.0,30.409230769230767,,0,,148.0
M.Booker,CHI,11.346153846153847,7.461538461538462,0.0,25.073846153846155,,0,,147.5
M.Pittman,TB,9.162500000000001,7.5,0.0,20.50375,,0,,146.6
T.Brown,NE,9.753333333333332,5.6,0.0,15.962,,0,,146.3
D.Northcutt,CLE,9.739999999999998,6.2,0.0,20.95266666666667,,0,,146.10000000000002
M.Pollard,IND,8.98125,4.6875,0.0,13.433124999999999,,0,,143.7
D.Driver,GB,8.423529411764706,5.823529411764706,0.0,19.91,,0,,143.2
K.Johnson,CLE,9.293333333333335,6.333333333333333,0.0,19.442,,0,,139.4
M. Williams,MIN,8.68125,5.3125,0.0,16.40375,,0,,138.9
R.Ferguson,GB,9.22,4.4,0.0,14.385333333333335,,0,,138.3
T.Taylor,BAL,7.964705882352941,5.9411764705882355,0.0,22.48470588235294,,0,,135.4
I.Mili,SEA,7.729411764705882,4.176470588235294,0.0,12.536470588235295,,0,,131.4
A.Green,GB,7.688235294117648,4.235294117647059,0.0,13.544117647058824,,0,,130.7
J.Reed,BUF,8.05,6.5,0.0,22.148125,,0,,128.8
T.Pinkston,PHI,7.111111111111111,5.555555555555555,0.0,18.389444444444447,,0,,128.0
A.Davis,CLE,7.9750000000000005,3.875,0.0,12.68625,,0,,127.6
D.White,CHI,8.353333333333333,7.133333333333334,0.0,23.44333333333333,,0,,125.30000000000001
F.Jones,ARI,7.793749999999999,5.5625,0.0,16.766875000000002,,0,,124.7
J.Galloway,DAL,7.693750000000001,5.6875,0.0,18.338124999999998,,0,,123.10000000000001
K.Johnson,TB,12.210000000000003,7.4,0.0,18.606,,0,,122.1
C.Conway,NYJ,7.624999999999999,6.375,0.0,21.053749999999997,,0,,122.0
T.Barber,NYG,7.5687500000000005,6.125,0.0,16.450000000000003,,0,,121.1
R.McMichael,MIA,7.550000000000002,5.1875,0.0,18.495,,0,,120.80000000000001
T.Brown,LV,7.54375,5.875,0.0,18.778750000000002,,0,,120.7
D.McAllister,NO,7.50625,5.375,0.0,16.085,,0,,120.1
D.Looker,LA,7.047058823529412,4.411764705882353,0.0,12.475882352941175,,0,,119.80000000000001
A.Hakim,DET,8.435714285714287,7.428571428571429,0.0,21.313571428571432,,0,,118.1
