Receiver,Team,Avg. Raw Fpts,Avg. Targets,Avg. Air Yards,Avg. Target Share,Avg. Air Yards Share,Redzone Looks,Avg. WOPR,total_fpts
D.Adams,GB,25.23125,10.875,90.3125,33.48375,36.95187500000001,22,76.09,403.70000000000005
T.Kelce,KC,22.100000000000005,10.333333333333334,85.38888888888889,26.055555555555557,26.973333333333326,14,57.96,397.8
S.Diggs,BUF,20.61052631578948,10.421052631578947,112.89473684210526,29.59947368421052,36.59263157894736,11,70.01,391.6
T.Hill,KC,20.227777777777778,9.222222222222221,113.72222222222223,23.64277777777778,36.11277777777778,18,60.74,364.1
D.Metcalf,SEA,17.641176470588242,8.235294117647058,115.52941176470588,25.55941176470588,41.186470588235295,18,67.17,299.9
M.Evans,TB,14.6,6.65,87.15,17.614999999999995,24.021000000000008,17,43.24,292.0
D.Hopkins,ARI,18.23125,10.0625,88.5625,29.576875000000005,34.095625,11,68.23,291.70000000000005
C.Ridley,ATL,18.77333333333333,9.666666666666666,136.8,25.330666666666666,41.22866666666666,20,66.86,281.6
D.Waller,LV,17.55,9.125,70.5,27.973125000000003,24.840625000000003,9,59.35,280.8
A.Robinson,CHI,16.147058823529417,9.294117647058824,88.41176470588235,25.61,32.447647058823534,15,61.13,274.5
T.Lockett,SEA,15.982352941176472,8.0,80.52941176470588,23.69,27.717058823529413,16,54.94,271.7
J.Jefferson,MIN,16.9,8.0,89.375,25.39625,39.2275,8,65.55,270.4
J.Smith-Schuster,PIT,15.823529411764707,8.764705882352942,52.705882352941174,19.94,16.051764705882352,12,41.15,269.0
A.Brown,TEN,17.586666666666666,7.733333333333333,84.6,27.896,37.35066666666667,7,67.99,263.8
A.Thielen,MIN,16.71333333333333,7.333333333333333,82.6,25.782666666666668,34.165333333333336,20,62.59,250.7
K.Allen,LAC,17.67142857142857,10.642857142857142,75.14285714285714,26.891428571428566,25.94857142857143,11,58.5,247.4
R.Woods,LA,13.733333333333334,8.166666666666666,54.55555555555556,24.613888888888887,23.33,5,53.25,247.2
D.Johnson,PIT,15.3125,10.0,82.6875,22.096875,25.341875,10,50.88,245.0
T.McLaurin,WAS,14.76875,8.875,85.6875,26.200625,45.529374999999995,7,71.17,236.3
C.Godwin,TB,14.762500000000001,7.25,74.875,19.857499999999998,20.421875,8,44.08,236.2
A.Cooper,DAL,14.5875,8.125,71.5625,21.118124999999996,25.954375,12,49.85,233.4
B.Cooks,HOU,15.42,7.933333333333334,93.53333333333333,23.486666666666665,30.10000000000001,10,56.3,231.3
C.Beasley,BUF,12.844444444444443,7.0,52.44444444444444,19.080555555555552,16.94777777777778,5,40.48,231.2
M.Jones,DET,14.237500000000002,7.25,91.3125,20.258125000000003,28.341250000000002,12,50.23,227.8
C.Claypool,PIT,13.223529411764707,7.0,88.76470588235294,16.944117647058825,29.645882352941182,9,46.17,224.8
R.Anderson,CAR,13.925,8.5625,82.375,25.77875,33.248749999999994,7,61.94,222.8
