RANK,PLAYER,RUSHING ATT,RUSHING YDS,RUSHING Y/A,RUSHING LG,RUSHING 20+,RUSHING TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,POS,IT,IT/G
1,Alvin Kamara (NO),187,932,5.0,49,0,16,83,107,756,9.1,5,0,15,377.8,25.2,100.0%,RB,294,19.6
2,Dalvin Cook (MIN),312,1557,5.0,70,0,16,44,54,361,8.2,1,3,14,337.8,24.1,100.0%,RB,366,26.142857142857142
3,Derrick Henry (TEN),378,2027,5.4,94,0,17,19,31,114,6.0,0,2,16,333.1,20.8,78.0%,RB,409,25.5625
4,David Montgomery (CHI),247,1070,4.3,80,0,8,54,68,438,8.1,2,1,15,264.8,17.7,98.7%,RB,315,21.0
5,Aaron Jones (GB),201,1104,5.5,77,0,9,47,63,355,7.6,2,0,14,258.9,18.5,98.9%,RB,264,18.857142857142858
6,Jonathan Taylor (IND),232,1169,5.0,62,0,11,36,40,299,8.3,1,1,15,252.8,16.9,100.0%,RB,272,18.133333333333333
7,James Robinson (JAC),240,1070,4.5,47,0,7,49,60,344,7.0,3,1,14,250.4,17.9,76.3%,RB,300,21.428571428571427
8,Josh Jacobs (LV),273,1065,3.9,28,0,12,33,45,238,7.2,0,2,15,231.3,15.4,98.0%,RB,318,21.2
9,Ezekiel Elliott (DAL),244,979,4.0,31,0,6,52,71,338,6.5,2,5,15,223.7,14.9,99.7%,RB,315,21.0
10,Kareem Hunt (CLE),198,841,4.2,33,0,6,38,51,304,8.0,5,0,16,218.5,13.7,82.1%,RB,249,15.5625
11,Nick Chubb (CLE),190,1067,5.6,59,0,12,16,18,150,9.4,0,1,12,207.7,17.3,99.8%,RB,208,17.333333333333332
12,Mike Davis (ATL),165,642,3.9,25,0,6,59,70,373,6.3,2,1,15,206.5,13.8,49.7%,RB,235,15.666666666666666
13,Antonio Gibson (WAS),170,795,4.7,40,0,11,36,44,247,6.9,0,2,14,202.2,14.4,95.9%,RB,214,15.285714285714286
14,Melvin Gordon III (DEN),215,986,4.6,65,0,9,32,44,158,4.9,1,4,15,198.4,13.2,87.8%,RB,259,17.266666666666666
15,Nyheim Hines (IND),89,380,4.3,31,0,3,63,76,482,7.7,4,0,16,193.2,12.1,44.8%,RB,165,10.3125
16,Kenyan Drake (LV),239,955,4.0,69,0,10,25,31,137,5.5,0,1,15,192.2,12.8,29.4%,RB,270,18.0
17,J.D. McKissic (WAS),85,365,4.3,17,0,1,80,110,589,7.4,2,1,16,191.4,12.0,32.9%,RB,195,12.1875
18,D'Andre Swift (DET),114,521,4.6,54,0,8,46,57,357,7.8,2,2,13,189.8,14.6,97.2%,RB,171,13.153846153846153
19,Chris Carson (SEA),141,681,4.8,29,0,5,37,46,287,7.8,4,0,12,187.8,15.7,31.7%,RB,187,15.583333333333334
20,Ronald Jones II (TB),192,978,5.1,98,0,7,28,42,165,5.9,1,2,14,186.3,13.3,83.5%,RB,234,16.714285714285715
21,David Johnson (HOU),147,691,4.7,48,0,6,33,46,314,9.5,2,1,12,179.5,15.0,35.4%,RB,193,16.083333333333332
22,Clyde Edwards-Helaire (KC),181,803,4.4,31,0,4,36,54,297,8.3,1,0,13,176.0,13.5,86.8%,RB,235,18.076923076923077
23,Miles Sanders (PHI),164,867,5.3,82,0,6,28,52,197,7.0,0,2,12,170.4,14.2,77.0%,RB,216,18.0
24,J.K. Dobbins (BAL),134,805,6.0,72,0,9,18,24,120,6.7,0,0,15,168.5,11.2,10.3%,RB,158,10.533333333333333
25,Chase Edmonds (ARI),97,448,4.6,32,0,1,53,67,402,7.6,4,0,16,168.0,10.5,85.1%,RB,164,10.25
26,Austin Ekeler (LAC),116,530,4.6,27,0,1,54,65,403,7.5,2,0,10,165.3,16.5,99.9%,RB,181,18.1
27,James Conner (ARI),169,721,4.3,59,0,6,35,43,215,6.1,0,0,13,164.6,12.7,94.6%,RB,212,16.307692307692307
28,Myles Gaskin (MIA),142,584,4.1,26,0,3,41,47,388,9.5,2,2,10,164.2,16.4,83.2%,RB,189,18.9
29,Todd Gurley II (FA),195,678,3.5,35,0,9,25,35,164,6.6,0,0,15,163.2,10.9,0.4%,RB,230,15.333333333333334
30,Giovani Bernard (TB),124,416,3.4,15,0,3,47,59,355,7.6,3,1,16,158.1,9.9,5.4%,RB,183,11.4375
