RANK,PLAYER,PASSING CMP,PASSING ATT,PASSING PCT,PASSING YDS,PASSING Y/A,PASSING TD,PASSING INT,PASSING SACKS,RUSHING ATT,RUSHING YDS,RUSHING TD,FL,G,FPTS,FPTS/G,ROST,POS
1,Drew Brees (FA),356,554,64.3,4418,8.0,26,11,18,42,32,0,0,16,261.9,16.4,35.7%,QB
2,Tom Brady (TB),319,516,61.8,3529,6.8,24,12,26,49,102,0,0,16,223.4,14.0,98.9%,QB
3,Ben Roethlisberger (PIT),280,469,59.7,3513,7.5,18,23,46,32,98,2,0,15,188.2,12.5,20.9%,QB
4,Alex Smith (FA),257,442,58.1,2890,6.5,16,16,35,44,147,2,0,16,174.2,10.9,5.0%,QB
5,Matt Schaub (FA),18,27,66.7,208,7.7,1,2,2,7,21,0,0,15,10.4,0.7,0.0%,QB
6,Josh McCown (FA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,3.5,1.8,0.0%,QB
7,Aaron Rodgers (GB),6,15,40.0,46,3.1,0,0,3,2,11,0,0,2,3.0,1.5,97.2%,QB
8,Jalen Hurts (PHI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,94.9%,QB
9,Ben DiNucci (DAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,QB
10,Sam Ehlinger (IND),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,QB
11,Kyle Trask (TB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,QB
12,Justin Fields (CHI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,21.8%,QB
13,Jake Fromm (BUF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB
14,Trevor Lawrence (JAC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,32.2%,QB
15,Chris Streveler (ARI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB
16,Tyler Huntley (BAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,QB
17,Brian Lewerke (NYG),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB
18,Tommy Stevens (NYG),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,QB
19,Jordan Love (GB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,6.1%,QB
20,Jake Luton (SEA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB
21,Steven Montez (DET),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB
