Receiver,Team,Avg. Raw Fpts,Avg. Targets,Avg. Air Yards,Avg. Target Share,Avg. Air Yards Share,Redzone Looks,Avg. WOPR,total_fpts
M.Thomas,NO,22.91176470588235,11.352941176470589,92.17647058823529,32.46411764705882,40.5835294117647,5,77.1,389.5
T.Kelce,KC,16.626315789473686,8.31578947368421,72.10526315789474,24.140526315789476,26.001052631578954,12,54.41,315.9
D.Hopkins,HOU,17.570588235294117,10.235294117647058,105.29411764705883,31.29882352941176,37.11882352941176,13,72.93,298.70000000000005
T.Lockett,SEA,15.249999999999996,7.111111111111111,88.5,22.38555555555556,29.97277777777778,16,54.56,274.5
J.Jones,ATL,18.293333333333337,10.533333333333333,130.33333333333334,26.29266666666667,40.221333333333334,10,67.59,274.4
C.Godwin,TB,19.535714285714285,8.714285714285714,90.5,23.42071428571429,24.858571428571427,9,52.53,273.5
D.Adams,GB,19.407142857142862,10.785714285714286,109.71428571428571,32.22428571428572,37.92142857142857,13,74.88,271.70000000000005
C.Kupp,LA,16.88125,8.4375,60.625,22.240000000000002,19.981874999999995,7,47.35,270.1
K.Allen,LAC,16.24375,9.3125,94.125,25.885625,29.58625,10,59.54,259.9
A.Robinson,CHI,15.91875,9.625,106.375,27.371875,39.4075,11,68.64,254.7
J.Edelman,NE,14.935294117647059,9.352941176470589,87.70588235294117,25.232352941176472,30.66764705882353,6,59.32,253.9
K.Golladay,DET,15.625,7.3125,106.125,22.335,32.853125,15,56.5,250.0
D.Parker,MIA,15.387500000000001,8.0,112.375,20.900624999999998,33.508125,10,54.81,246.2
A.Cooper,DAL,15.368750000000002,7.4375,95.1875,20.058124999999997,28.261250000000004,9,49.87,245.9
C.McCaffrey,CAR,15.03125,8.875,6.6875,23.33,2.108125,1,36.47,240.5
A.Ekeler,LAC,14.956250000000004,6.75,8.5,18.099375000000002,2.200625,2,28.69,239.3
J.Landry,CLE,14.775,8.625,83.9375,26.883749999999996,30.48,7,61.66,236.4
T.Hill,KC,15.75333333333333,7.733333333333333,94.33333333333333,21.966,36.230000000000004,6,58.31,236.3
