RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,RUSHING ATT,RUSHING YDS,RUSHING TD,FL,G,FPTS,FPTS/G,ROST,POS
1,Larry Fitzgerald (FA),97,153,1092,11.3,34,0,13,0,0,0,0,16,284.2,17.8,0.2%,WR
2,DeSean Jackson (LV),62,116,1156,18.6,71,0,9,11,137,1,1,15,249.3,16.6,7.6%,WR
3,Ted Ginn Jr. (FA),38,78,454,11.9,53,0,1,7,48,0,0,16,94.2,5.9,0.0%,WR
4,Julian Edelman (FA),37,54,359,9.7,29,0,1,2,5,0,0,11,79.4,7.2,13.1%,WR
5,Matthew Slater (NE),0,0,0,0.0,0,0,0,1,6,0,0,14,0.6,0.0,0.0%,WR
6,Jeff Smith (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
7,Tyron Johnson (JAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
8,Trinity Benson (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
9,Jody Fortson (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
10,Penny Hart (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
11,Kabion Ento (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
12,Trenton Irwin (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
13,John Ursua (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
14,Scotty Miller (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,WR
15,Bisi Johnson (MIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
16,Darius Slayton (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,5.0%,WR
17,Quinton Bell (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
18,Juwann Winfree (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
