Rusher,Team,Avg. Raw Fpts,Avg. Rushing Attempt,Avg. Rushing Yards,Avg. Rushing Share,Avg. Rushing Yards Share,Redzone Looks,yards_gained,touchdown,total_fpts
D.Henry,TEN,18.17058823529412,23.41176470588235,121.58823529411765,73.74882352941177,75.96941176470588,17,2069.0,17.0,308.9
D.Cook,MIN,18.45,22.5,111.21428571428571,74.90857142857143,74.33928571428574,16,1563.0,17.0,258.3
A.Kamara,NO,12.564705882352944,13.411764705882353,65.6470588235294,45.37117647058823,49.94058823529412,17,1116.0,17.0,213.60000000000002
J.Taylor,IND,12.66875,15.875,77.9375,54.53874999999999,57.955625,12,1247.0,13.0,202.7
N.Chubb,CLE,13.785714285714286,15.785714285714286,86.42857142857143,50.28071428571428,57.49285714285714,12,1210.0,12.0,193.0
A.Jones,GB,11.4375,13.875,76.875,50.754999999999995,56.27499999999999,10,1230.0,10.0,183.0
J.Jacobs,LV,11.900000000000002,18.2,71.0,62.29,58.45733333333333,12,1065.0,12.0,178.5
L.Jackson,BAL,9.735294117647058,10.823529411764707,69.11764705882354,31.001764705882344,36.67176470588236,8,1175.0,8.0,165.5
D.Montgomery,CHI,9.89375,16.25,68.8125,66.22875,70.835625,8,1103.0,8.0,158.3
K.Drake,ARI,10.366666666666667,15.933333333333334,63.666666666666664,54.44133333333334,47.162000000000006,10,955.0,10.0,155.5
R.Jones,TB,9.041176470588237,13.352941176470589,65.70588235294117,55.35588235294117,66.39588235294117,7,1117.0,7.0,153.7
M.Gordon,DEN,10.173333333333334,14.333333333333334,65.73333333333333,52.98266666666667,56.12533333333334,9,986.0,9.0,152.60000000000002
J.Robinson,JAX,10.657142857142858,17.214285714285715,76.42857142857143,79.0,75.96571428571428,7,1072.0,7.0,149.2
J.Dobbins,BAL,8.776470588235295,9.058823529411764,52.35294117647059,24.878235294117648,25.406470588235294,10,892.0,10.0,149.2
A.Gibson,WAS,9.906666666666666,12.266666666666667,55.06666666666667,50.61333333333333,53.019999999999996,11,826.0,11.0,148.60000000000002
K.Murray,ARI,9.24375,8.375,51.1875,27.106875000000002,34.601875,11,819.0,11.0,147.9
K.Hunt,CLE,8.116666666666667,11.777777777777779,51.166666666666664,39.572222222222216,37.70666666666667,9,921.0,9.0,146.10000000000002
E.Elliott,DAL,8.926666666666668,16.333333333333332,65.26666666666667,59.31266666666667,57.112,6,979.0,6.0,133.9
