RANK,PLAYER,RUSHING ATT,RUSHING YDS,RUSHING Y/A,RUSHING LG,RUSHING 20+,RUSHING TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,POS,IT,IT/G
1,Darius Bradwell (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
2,Patrick Taylor Jr. (GB),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
3,Larry Rountree III (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.8%,RB,0,
4,DeeJay Dallas (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.8%,RB,0,
5,Adrian Killins Jr. (DEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
6,Tony Jones Jr. (NO),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,2.0%,RB,0,
7,Darius Anderson (IND),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
8,Salvon Ahmed (MIA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,4.0%,RB,0,
9,Joshua Kelley (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.8%,RB,0,
10,J.J. Taylor (NE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,4.7%,RB,0,
11,Artavis Pierce (CHI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
12,Javon Leake (DET),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
13,Sewo Olonilua (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
14,Jason Huntley (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
15,Rico Dowdle (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
16,Ty'Son Williams (BAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,7.8%,RB,0,
17,James Robinson (JAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,97.7%,RB,0,
18,JaMycal Hasty (SF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0%,RB,0,
19,Antonio Gibson (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,96.0%,RB,0,
20,Scottie Phillips (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,RB,0,
21,Trey Sermon (SF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,18.3%,RB,0,
22,Craig Reynolds (DET),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
23,Austin Walter (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
24,Khari Blasingame (TEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
25,D'Ernest Johnson (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,83.8%,RB,0,
26,Darrynton Evans (TEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.9%,RB,0,
27,La'Mical Perine (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.2%,RB,0,
28,Michael Warren II (DET),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
29,Caleb Huntley (ATL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
30,Anthony McFarland Jr. (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.6%,RB,0,
31,Eno Benjamin (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,12.5%,RB,0,
32,AJ Dillon (GB),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,65.8%,RB,0,
33,Ke'Shawn Vaughn (TB),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,RB,0,
34,LeVante Bellamy (DEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
35,Clyde Edwards-Helaire (KC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,89.5%,RB,0,
36,Derrick Gore (KC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,7.9%,RB,0,
37,Kylin Hill (GB),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.2%,RB,0,
38,Najee Harris (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,99.9%,RB,0,
39,Cam Akers (LAR),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,4.8%,RB,0,
40,Zack Moss (BUF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,82.6%,RB,0,
41,J.K. Dobbins (BAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,9.6%,RB,0,
42,Travis Etienne Jr. (JAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,6.6%,RB,0,
43,Jonathan Taylor (IND),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,99.9%,RB,0,
44,D'Andre Swift (DET),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,98.8%,RB,0,
45,Andrew Beck (DEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
46,Sandro Platzgummer (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
47,Trey Ragas (LV),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
48,Jaret Patterson (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.5%,RB,0,
49,Malcolm Perry (NE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
50,Cameron Scarlett (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
51,Nathan Cottrell (JAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,RB,0,
52,Jonathan Ward (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,RB,0,
