PLAYER,POS,TGT,TGT/G,COMPLETION %,RUSHING ATT,RA/G,G,FPTS,FPTS/G
Todd Gurley II (FA),RB,87,5.8,73.56,279,18.6,15,383.3,25.6
Le'Veon Bell (BAL),RB,106,7.07,80.19,321,21.4,15,341.6,22.8
Alvin Kamara (NO),RB,100,6.25,81.0,120,7.5,16,315.4,19.7
Kareem Hunt (CLE),RB,63,3.94,84.13,272,17.0,16,295.2,18.5
Melvin Gordon III (DEN),RB,83,5.19,69.88,284,17.75,16,288.1,18.0
Mark Ingram II (NO),RB,71,4.44,81.69,230,14.38,16,278.0,17.4
LeSean McCoy (FA),RB,77,4.81,76.62,287,17.94,16,263.6,16.5
Carlos Hyde (JAC),RB,88,5.5,67.05,240,15.0,16,234.0,14.6
Leonard Fournette (TB),RB,48,3.69,75.0,268,20.62,13,230.2,17.7
Christian McCaffrey (CAR),RB,113,7.06,70.8,117,7.31,16,228.6,14.3
Duke Johnson Jr. (MIA),RB,93,5.81,79.57,82,5.12,16,216.1,13.5
Ezekiel Elliott (DAL),RB,38,3.8,68.42,242,24.2,10,203.2,20.3
Devonta Freeman (BAL),RB,47,3.36,76.6,196,14.0,14,200.2,14.3
Jordan Howard (PHI),RB,32,2.0,71.88,276,17.25,16,199.5,12.5
Dion Lewis (FA),RB,35,2.19,91.43,180,11.25,16,197.0,12.3
Lamar Miller (NO),RB,45,2.81,80.0,238,14.88,16,193.5,12.1
Jerick McKinnon (KC),RB,68,4.25,75.0,150,9.38,16,178.1,11.1
C.J. Anderson (FA),RB,40,2.5,70.0,245,15.31,16,175.1,10.9
Frank Gore (FA),RB,38,2.38,76.32,261,16.31,16,173.6,10.9
DeMarco Murray (FA),RB,47,3.13,82.98,184,12.27,15,171.5,11.4
Alex Collins (SEA),RB,36,2.4,63.89,212,14.13,15,171.0,11.4
Tevin Coleman (NYJ),RB,39,2.6,69.23,156,10.4,15,167.9,11.2
Javorius Allen (FA),RB,60,3.75,76.67,153,9.56,16,166.1,10.4
Marshawn Lynch (FA),RB,31,2.07,64.52,207,13.8,15,164.3,11.0
Latavius Murray (BAL),RB,17,1.06,88.24,216,13.5,16,157.4,9.8
Theo Riddick (LV),RB,71,4.44,74.65,84,5.25,16,154.0,9.6
Giovani Bernard (TB),RB,60,3.75,71.67,105,6.56,16,151.7,9.5
Chris Thompson (FA),RB,54,5.4,72.22,64,6.4,10,151.4,15.1
Bilal Powell (FA),RB,33,2.2,69.7,178,11.87,15,145.2,9.7
Tarik Cohen (CHI),RB,71,4.44,74.65,87,5.44,16,144.6,9.0
Isaiah Crowell (FA),RB,42,2.62,66.67,206,12.88,16,143.5,9.0
Jamaal Williams (DET),RB,34,2.12,73.53,153,9.56,16,142.8,8.9
Kenyan Drake (LV),RB,48,3.0,66.67,133,8.31,16,142.3,8.9
Joe Mixon (CIN),RB,34,2.43,88.24,178,12.71,14,141.3,10.1
Orleans Darkwa (FA),RB,28,1.87,67.86,171,11.4,15,137.7,9.2
Jay Ajayi (FA),RB,34,2.43,70.59,208,14.86,14,135.1,9.7
Derrick Henry (TEN),RB,17,1.06,64.71,176,11.0,16,135.0,8.4
James White (NE),RB,72,5.14,77.78,43,3.07,14,134.0,9.6
Rex Burkhead (HOU),RB,36,3.6,83.33,64,6.4,10,129.8,13.0
Ameer Abdullah (CAR),RB,35,2.5,71.43,165,11.79,14,124.4,8.9
Matt Forte (FA),RB,45,3.75,82.22,103,8.58,12,121.4,10.1
Jonathan Stewart (FA),RB,15,1.0,53.33,198,13.2,15,117.2,7.8
Samaje Perine (CIN),RB,24,1.5,91.67,175,10.94,16,108.5,6.8
LeGarrette Blount (FA),RB,8,0.5,100.0,173,10.81,16,107.6,6.7
Austin Ekeler (LAC),RB,35,2.19,77.14,47,2.94,16,106.9,6.7
Wayne Gallman Jr. (ATL),RB,48,3.69,70.83,111,8.54,13,104.9,8.1
Matt Breida (BUF),RB,36,2.25,58.33,105,6.56,16,103.5,6.5
Marlon Mack (IND),RB,33,2.36,63.64,93,6.64,14,103.3,7.4
J.D. McKissic (WAS),RB,46,3.54,73.91,46,3.54,13,97.3,7.5
Corey Clement (DAL),RB,15,0.94,66.67,74,4.62,16,92.4,5.8
Rod Smith (FA),RB,23,1.53,82.61,55,3.67,15,92.4,6.2
Ty Montgomery (NO),RB,31,3.88,74.19,71,8.88,8,91.6,11.5
Devontae Booker (NYG),RB,38,2.92,78.95,79,6.08,13,91.4,7.0
T.J. Yeldon (FA),RB,41,4.1,73.17,49,4.9,10,87.7,8.8
Andre Ellington (FA),RB,59,4.92,66.1,20,1.67,12,87.4,7.3
Jalen Richard (LV),RB,36,2.25,75.0,56,3.5,16,86.1,5.4
Peyton Barber (LV),RB,19,1.19,84.21,108,6.75,16,85.7,5.4
DeAndre Washington (FA),RB,45,3.0,75.56,57,3.8,15,85.0,5.7
Chris Ivory (FA),RB,28,2.0,75.0,112,8.0,14,84.7,6.1
Shane Vereen (FA),RB,53,3.31,83.02,45,2.81,16,83.7,5.2
Aaron Jones (GB),RB,18,1.5,50.0,81,6.75,12,80.0,6.7
Adrian Peterson (TEN),RB,19,1.9,57.89,156,15.6,10,78.9,7.9
Elijah McGuire (KC),RB,26,1.62,65.38,88,5.5,16,76.2,4.8
Doug Martin (FA),RB,18,1.64,50.0,138,12.55,11,76.0,6.9
Charles Sims (FA),RB,47,2.94,74.47,21,1.31,16,73.4,4.6
Charcandrick West (FA),RB,34,2.62,79.41,18,1.38,13,73.2,5.6
Alfred Morris (NYG),RB,9,0.64,77.78,115,8.21,14,72.2,5.2
Kyle Juszczyk (SF),RB,42,3.0,78.57,7,0.5,14,69.6,5.0
Mike Gillislee (FA),RB,1,0.11,100.0,104,11.56,9,68.8,7.6
Kerwynn Williams (FA),RB,15,0.94,66.67,120,7.5,16,67.9,4.2
Jamaal Charles (FA),RB,28,2.0,82.14,69,4.93,14,67.5,4.8
Dalvin Cook (MIN),RB,16,4.0,68.75,74,18.5,4,65.4,16.4
Damien Williams (CHI),RB,28,2.55,71.43,46,4.18,11,59.6,5.4
Danny Woodhead (FA),RB,39,4.88,84.62,14,1.75,8,58.6,7.3
D'Onta Foreman (TEN),RB,8,0.8,75.0,78,7.8,10,57.0,5.7
Benny Cunningham Jr. (FA),RB,26,1.86,76.92,9,0.64,14,56.9,4.1
Mike Davis (ATL),RB,18,3.0,83.33,68,11.33,6,52.1,8.7
Mike Tolbert (FA),RB,17,1.42,82.35,66,5.5,12,50.5,4.2
Jacquizz Rodgers (FA),RB,11,0.69,81.82,64,4.0,16,46.8,2.9
Wendell Smallwood (WAS),RB,18,2.25,72.22,47,5.88,8,46.7,5.8
Malcolm Brown (MIA),RB,11,1.0,81.82,63,5.73,11,44.9,4.1
Alfred Blue (FA),RB,9,0.82,77.78,71,6.45,11,44.6,4.1
Robert Kelley (FA),RB,7,1.0,57.14,62,8.86,7,43.2,6.2
Corey Grant (FA),RB,4,0.25,75.0,30,1.88,16,41.9,2.6
Kapri Bibbs (FA),RB,17,5.67,82.35,21,7.0,3,40.7,13.6
Chris Carson (SEA),RB,8,2.0,87.5,49,12.25,4,39.7,9.9
Travaris Cadet (FA),RB,19,2.11,84.21,23,2.56,9,37.5,4.2
Elijhaa Penny (NYG),RB,6,0.38,66.67,31,1.94,16,32.2,2.0
D.J. Foster (FA),RB,28,4.0,60.71,6,0.86,7,32.2,4.6
Thomas Rawls (FA),RB,13,1.08,69.23,58,4.83,12,32.1,2.7
Tion Green (FA),RB,2,0.4,100.0,42,8.4,5,31.9,6.4
Tommy Bohanon (BAL),RB,11,0.69,54.55,5,0.31,16,28.8,1.8
Eddie Lacy (FA),RB,6,0.67,100.0,69,7.67,9,28.6,3.2
Terrance West (FA),RB,4,0.8,50.0,39,7.8,5,28.1,5.6
Robert Turbin (FA),RB,11,1.83,81.82,23,3.83,6,25.9,4.3
Kenjon Barner (FA),RB,8,0.62,62.5,16,1.23,13,22.3,1.7
Paul Perkins (FA),RB,10,0.91,80.0,41,3.73,11,21.6,2.0
C.J. Ham (MIN),RB,8,0.5,87.5,7,0.44,16,21.1,1.3
Chris Johnson (FA),RB,6,1.5,83.33,45,11.25,4,20.7,5.2
Anthony Sherman (FA),RB,8,0.5,75.0,14,0.88,16,20.7,1.3
Jamize Olawale (DAL),RB,7,0.58,85.71,9,0.75,12,19.6,1.6
Darren Sproles (FA),RB,12,4.0,58.33,15,5.0,3,18.4,6.1
Fozzy Whittaker (FA),RB,6,0.5,83.33,7,0.58,12,17.5,1.5
Jeremy Hill (FA),RB,4,0.57,100.0,37,5.29,7,17.2,2.5
C.J. Prosise (FA),RB,11,2.2,54.55,11,2.2,5,17.0,3.4
Branden Oliver (FA),RB,11,1.38,54.55,35,4.38,8,16.9,2.1
Stevan Ridley (FA),RB,0,0.0,,26,13.0,2,16.8,8.4
Cameron Artis-Payne (FA),RB,1,0.08,100.0,18,1.38,13,16.7,1.3
Terron Ward (FA),RB,3,0.21,100.0,30,2.14,14,15.3,1.1
Andy Janovich (CLE),RB,6,0.38,66.67,6,0.38,16,14.7,0.9
Roosevelt Nix (FA),RB,3,0.19,66.67,3,0.19,16,14.6,0.9
James Conner (ARI),RB,1,0.07,0.0,32,2.29,14,14.4,1.0
David Johnson (HOU),RB,9,9.0,66.67,11,11.0,1,13.1,13.1
Tyler Ervin (FA),RB,11,2.75,72.73,4,1.0,4,13.0,3.3
De'Angelo Henderson Sr. (FA),RB,2,0.4,100.0,7,1.4,5,12.9,2.6
Byron Marshall (FA),RB,8,2.0,75.0,9,2.25,4,12.8,3.2
Aaron Ripkowski (FA),RB,10,0.62,70.0,5,0.31,16,12.2,0.8
Lance Dunbar (FA),RB,3,0.75,33.33,11,2.75,4,12.2,3.1
Zach Line (FA),RB,5,0.42,40.0,7,0.58,12,11.6,1.0
Trey Edmunds (PIT),RB,0,0.0,,9,0.56,16,10.8,0.7
James Develin (FA),RB,10,0.62,60.0,0,0.0,16,9.8,0.6
Patrick DiMarco (FA),RB,10,0.62,70.0,2,0.12,16,9.6,0.6
Akeem Hunt (FA),RB,7,0.47,57.14,8,0.53,15,9.4,0.6
Brian Hill (CLE),RB,2,0.29,100.0,11,1.57,7,9.3,1.3
Zach Zenner (FA),RB,1,0.12,0.0,14,1.75,8,8.6,1.1
Tre Madden (FA),RB,2,0.25,100.0,0,0.0,8,8.5,1.1
Brandon Bolden (NE),RB,4,0.25,25.0,13,0.81,16,8.4,0.5
Matt Dayes (FA),RB,5,0.31,80.0,5,0.31,16,8.1,0.5
Derek Watt (PIT),RB,3,0.19,66.67,6,0.38,16,7.9,0.5
Dwayne Washington (NO),RB,2,0.4,100.0,20,4.0,5,7.8,1.6
Keith Smith (ATL),RB,5,0.31,100.0,0,0.0,16,7.6,0.5
Jay Prosch (FA),RB,4,0.25,100.0,0,0.0,16,7.1,0.4
Bobby Rainey (FA),RB,7,1.75,71.43,1,0.25,4,7.0,1.8
Marcus Murphy (FA),RB,2,2.0,100.0,7,7.0,1,6.8,6.8
Jalston Fowler (FA),RB,1,0.1,0.0,2,0.2,10,6.4,0.6
De'Veon Smith (FA),RB,3,0.6,100.0,0,0.0,5,5.7,1.1
Fitzgerald Toussaint (FA),RB,3,0.5,66.67,6,1.0,6,5.4,0.9
Josh Ferguson (FA),RB,4,0.4,75.0,1,0.1,10,5.1,0.5
Mack Brown (FA),RB,1,0.25,100.0,8,2.0,4,5.0,1.3
Danny Vitale (FA),RB,5,0.33,60.0,0,0.0,15,4.9,0.3
Derrick Coleman (FA),RB,7,0.44,28.57,2,0.12,16,4.8,0.3
Senorise Perry (FA),RB,1,0.06,100.0,8,0.5,16,4.3,0.3
Michael Burton (KC),RB,4,0.25,50.0,4,0.25,16,3.7,0.2
Andre Williams (FA),RB,0,0.0,,9,1.12,8,2.5,0.3
Taiwan Jones (BUF),RB,2,0.25,50.0,0,0.0,8,2.1,0.3
David Fluellen (FA),RB,1,0.06,0.0,4,0.25,16,2.1,0.1
Ryan Hewitt (FA),RB,2,0.15,100.0,0,0.0,13,1.6,0.1
Matt Jones (FA),RB,0,0.0,,5,1.0,5,1.4,0.3
LeShun Daniels (FA),RB,0,0.0,,3,0.75,4,1.4,0.4
Joe Kerridge (FA),RB,1,0.25,100.0,0,0.0,4,1.3,0.3
Devante Mays (FA),RB,3,0.38,100.0,4,0.5,8,1.1,0.1
Raheem Mostert (SF),RB,0,0.0,,6,0.55,11,1.0,0.1
Terrell Watson (FA),RB,0,0.0,,5,0.5,10,0.8,0.1
John Kuhn (FA),RB,0,0.0,,1,0.5,2,0.2,0.1
Justin Davis (FA),RB,0,0.0,,1,0.25,4,0.1,0.0
Antonio Gibson (WAS),RB,0,,,0,,0,0.0,0.0
JaMycal Hasty (SF),RB,0,,,0,,0,0.0,0.0
James Robinson (JAC),RB,0,,,0,,0,0.0,0.0
Ty'Son Williams (BAL),RB,0,,,0,,0,0.0,0.0
Rico Dowdle (DAL),RB,0,,,0,,0,0.0,0.0
Sewo Olonilua (DAL),RB,0,,,0,,0,0.0,0.0
Jason Huntley (PHI),RB,0,,,0,,0,0.0,0.0
Josh Hokit (SF),RB,0,,,0,,0,0.0,0.0
Sandro Platzgummer (NYG),RB,0,,,0,,0,0.0,0.0
Jermar Jefferson (DET),RB,0,,,0,,0,0.0,0.0
Pooka Williams Jr. (CIN),RB,0,,,0,,0,0.0,0.0
Trey Ragas (LV),RB,0,,,0,,0,0.0,0.0
Jaret Patterson (WAS),RB,0,,,0,,0,0.0,0.0
Mekhi Sargent (LAR),RB,0,,,0,,0,0.0,0.0
Demetric Felton (CLE),RB,0,,,0,,0,0.0,0.0
Deon Jackson (IND),RB,0,,,0,,0,0.0,0.0
Jake Bargas (MIN),RB,0,,,0,,0,0.0,0.0
Gabe Nabers (LAC),RB,0,,,0,,0,0.0,0.0
Malcolm Perry (NE),RB,0,,,0,,0,0.0,0.0
Pete Guerriero (PIT),RB,0,,,0,,0,0.0,0.0
Giovanni Ricci (CAR),RB,0,,,0,,0,0.0,0.0
Chuba Hubbard (CAR),RB,0,,,0,,0,0.0,0.0
Antonio Williams (BUF),RB,0,,,0,,0,0.0,0.0
Reggie Gilliam (BUF),RB,0,,,0,,0,0.0,0.0
Cameron Scarlett (SEA),RB,0,,,0,,0,0.0,0.0
Mikey Daniel (CAR),RB,0,,,0,,0,0.0,0.0
Jonathan Ward (ARI),RB,0,,,0,,0,0.0,0.0
Nathan Cottrell (JAC),RB,0,,,0,,0,0.0,0.0
Scottie Phillips (HOU),RB,0,,,0,,0,0.0,0.0
Josh Jacobs (LV),RB,0,,,0,,0,0.0,0.0
Patrick Laird (MIA),RB,0,,,0,,0,0.0,0.0
Elijah Holyfield (CIN),RB,0,,,0,,0,0.0,0.0
Miles Sanders (PHI),RB,0,,,0,,0,0.0,0.0
Devin Singletary (BUF),RB,0,,,0,,0,0.0,0.0
David Montgomery (CHI),RB,0,,,0,,0,0.0,0.0
Damien Harris (NE),RB,0,,,0,,0,0.0,0.0
Ty Johnson (NYJ),RB,0,,,0,,0,0.0,0.0
Dalyn Dawkins (DET),RB,0,,,0,,0,0.0,0.0
Alec Ingold (LV),RB,0,,,0,,0,0.0,0.0
Travis Homer (SEA),RB,0,,,0,,0,0.0,0.0
Benny Snell Jr. (PIT),RB,0,,,0,,0,0.0,0.0
Trayveon Williams (CIN),RB,0,,,0,,0,0.0,0.0
Darrell Henderson Jr. (LAR),RB,0,,,0,,0,0.0,0.0
Trevon Wesco (NYJ),RB,0,,,0,,0,0.0,0.0
Ryquell Armstead (GB),RB,0,,,0,,0,0.0,0.0
Aca'Cedric Ware (TB),RB,0,,,0,,0,0.0,0.0
Qadree Ollison (ATL),RB,0,,,0,,0,0.0,0.0
Dexter Williams (CLE),RB,0,,,0,,0,0.0,0.0
Mike Weber (NYG),RB,0,,,0,,0,0.0,0.0
Mike Boone (DEN),RB,0,,,0,,0,0.0,0.0
Donnie Ernsberger (TEN),RB,0,,,0,,0,0.0,0.0
Ryan Nall (CHI),RB,0,,,0,,0,0.0,0.0
Reggie Bonnafon (CAR),RB,0,,,0,,0,0.0,0.0
Johnny Stanton (CLE),RB,0,,,0,,0,0.0,0.0
Dontrell Hilliard (TEN),RB,0,,,0,,0,0.0,0.0
Jeff Wilson Jr. (SF),RB,0,,,0,,0,0.0,0.0
Damarea Crockett (DEN),RB,0,,,0,,0,0.0,0.0
Darwin Thompson (TB),RB,0,,,0,,0,0.0,0.0
Eno Benjamin (ARI),RB,0,,,0,,0,0.0,0.0
Javon Leake (DET),RB,0,,,0,,0,0.0,0.0
Trey Sermon (SF),RB,0,,,0,,0,0.0,0.0
Michael Warren II (DET),RB,0,,,0,,0,0.0,0.0
Caleb Huntley (ATL),RB,0,,,0,,0,0.0,0.0
Anthony McFarland Jr. (PIT),RB,0,,,0,,0,0.0,0.0
AJ Dillon (GB),RB,0,,,0,,0,0.0,0.0
Joshua Kelley (LAC),RB,0,,,0,,0,0.0,0.0
Ke'Shawn Vaughn (TB),RB,0,,,0,,0,0.0,0.0
LeVante Bellamy (DEN),RB,0,,,0,,0,0.0,0.0
La'Mical Perine (NYJ),RB,0,,,0,,0,0.0,0.0
Clyde Edwards-Helaire (KC),RB,0,,,0,,0,0.0,0.0
Kylin Hill (GB),RB,0,,,0,,0,0.0,0.0
Najee Harris (PIT),RB,0,,,0,,0,0.0,0.0
Cam Akers (LAR),RB,0,,,0,,0,0.0,0.0
Zack Moss (BUF),RB,0,,,0,,0,0.0,0.0
J.J. Taylor (NE),RB,0,,,0,,0,0.0,0.0
Travis Etienne Jr. (JAC),RB,0,,,0,,0,0.0,0.0
Artavis Pierce (CHI),RB,0,,,0,,0,0.0,0.0
Patrick Taylor Jr. (GB),RB,0,,,0,,0,0.0,0.0
Larry Rountree III (LAC),RB,0,,,0,,0,0.0,0.0
DeeJay Dallas (SEA),RB,0,,,0,,0,0.0,0.0
Adrian Killins Jr. (DEN),RB,0,,,0,,0,0.0,0.0
Salvon Ahmed (MIA),RB,0,,,0,,0,0.0,0.0
Darius Bradwell (LAC),RB,0,,,0,,0,0.0,0.0
Tony Jones Jr. (NO),RB,0,,,0,,0,0.0,0.0
Darius Anderson (IND),RB,0,,,0,,0,0.0,0.0
J.K. Dobbins (BAL),RB,0,,,0,,0,0.0,0.0
Jonathan Taylor (IND),RB,0,,,0,,0,0.0,0.0
Alexander Mattison (MIN),RB,0,,,0,,0,0.0,0.0
Andrew Beck (DEN),RB,0,,,0,,0,0.0,0.0
Tony Pollard (DAL),RB,0,,,0,,0,0.0,0.0
Cullen Gillaspia (NYG),RB,0,,,0,,0,0.0,0.0
Jakob Johnson (NE),RB,0,,,0,,0,0.0,0.0
