PLAYER,POS,TGT,TGT/G,COMPLETION %,RUSHING ATT,RA/G,G,FPTS,FPTS/G
DeAndre Hopkins (ARI),WR,163,10.19,70.55,1,0.06,16,333.5,20.8
Davante Adams (GB),WR,169,11.27,65.68,0,0.0,15,329.6,22.0
Tyreek Hill (KC),WR,137,8.56,63.5,22,1.38,16,328.0,20.5
Julio Jones (TEN),WR,170,10.62,66.47,2,0.12,16,325.8,20.4
Antonio Brown (TB),WR,169,11.27,61.54,0,0.0,15,323.7,21.6
Michael Thomas (NO),WR,147,9.19,85.03,0,0.0,16,315.5,19.7
Adam Thielen (MIN),WR,153,9.56,73.86,5,0.31,16,307.3,19.2
JuJu Smith-Schuster (PIT),WR,166,10.38,66.87,1,0.06,16,296.9,18.6
Mike Evans (TB),WR,139,8.69,61.87,0,0.0,16,284.4,17.8
Stefon Diggs (BUF),WR,148,9.87,68.92,10,0.67,15,266.3,17.8
Robert Woods (LAR),WR,131,8.19,65.65,19,1.19,16,265.6,16.6
Keenan Allen (LAC),WR,137,8.56,70.8,9,0.56,16,260.1,16.3
Brandin Cooks (HOU),WR,116,7.25,68.97,10,0.62,16,243.2,15.2
T.Y. Hilton (IND),WR,120,8.57,63.33,0,0.0,14,239.0,17.1
Odell Beckham Jr. (LAR),WR,124,10.33,62.1,5,0.42,12,230.4,19.2
Tyler Lockett (SEA),WR,71,4.44,80.28,13,0.81,16,222.4,13.9
Tyler Boyd (CIN),WR,108,7.71,70.37,2,0.14,14,221.1,15.8
Jarvis Landry (CLE),WR,149,9.31,54.36,3,0.19,16,217.1,13.6
Amari Cooper (DAL),WR,107,7.13,70.09,2,0.13,15,215.4,14.4
Julian Edelman (FA),WR,108,9.0,68.52,9,0.75,12,207.4,17.3
Kenny Golladay (NYG),WR,118,7.87,59.32,1,0.07,15,207.1,13.8
Calvin Ridley (ATL),WR,92,5.75,69.57,6,0.38,16,206.8,12.9
Emmanuel Sanders (BUF),WR,98,8.17,72.45,4,0.33,12,198.2,16.5
Adam Humphries (WAS),WR,105,6.56,72.38,2,0.12,16,188.7,11.8
Larry Fitzgerald (FA),WR,112,7.0,61.61,0,0.0,16,185.7,11.6
Alshon Jeffery (FA),WR,92,7.08,70.65,0,0.0,13,185.3,14.3
Chris Godwin (TB),WR,95,5.94,62.11,0,0.0,16,185.2,11.6
Corey Davis (NYJ),WR,112,7.0,58.04,6,0.38,16,183.6,11.5
Golden Tate (FA),WR,113,7.53,65.49,4,0.27,15,182.9,12.2
Sterling Shepard (NYG),WR,107,6.69,61.68,3,0.19,16,182.5,11.4
Mohamed Sanu Sr. (SF),WR,94,5.88,70.21,7,0.44,16,182.4,11.4
Mike Williams (LAC),WR,66,4.12,65.15,7,0.44,16,180.2,11.3
Dede Westbrook (MIN),WR,101,6.31,65.35,9,0.56,16,173.6,10.9
Nelson Agholor (NE),WR,97,6.06,65.98,3,0.19,16,165.4,10.3
Zay Jones (LV),WR,102,6.38,54.9,1,0.06,16,165.2,10.3
D.J. Moore (CAR),WR,82,5.12,67.07,13,0.81,16,157.0,9.8
Jordy Nelson (FA),WR,88,5.87,71.59,1,0.07,15,156.7,10.4
Demaryius Thomas (FA),WR,89,5.93,66.29,0,0.0,15,156.7,10.4
Robby Anderson (CAR),WR,93,6.64,53.76,2,0.14,14,156.4,11.2
Allen Robinson II (CHI),WR,94,7.23,58.51,1,0.08,13,153.3,11.8
Taylor Gabriel (FA),WR,93,5.81,72.04,9,0.56,16,151.9,9.5
DeSean Jackson (LV),WR,74,6.17,55.41,6,0.5,12,151.3,12.6
Cole Beasley (BUF),WR,86,5.38,75.58,0,0.0,16,150.2,9.4
A.J. Green (ARI),WR,77,8.56,59.74,0,0.0,9,149.4,16.6
John Brown (JAC),WR,97,6.06,43.3,3,0.19,16,143.9,9.0
Doug Baldwin (FA),WR,73,5.62,68.49,0,0.0,13,141.8,10.9
Josh Gordon (KC),WR,71,5.92,57.75,0,0.0,12,138.7,11.6
Tyrell Williams (FA),WR,64,4.0,64.06,2,0.12,16,137.8,8.6
Curtis Samuel (WAS),WR,65,5.0,60.0,8,0.62,13,136.8,10.5
Courtland Sutton (DEN),WR,84,5.25,50.0,1,0.06,16,136.3,8.5
Cooper Kupp (LAR),WR,55,6.88,72.73,4,0.5,8,135.1,16.9
Willie Snead IV (CAR),WR,95,5.94,65.26,1,0.06,16,134.4,8.4
Kenny Stills (NO),WR,64,4.27,57.81,0,0.0,15,134.4,9.0
Michael Crabtree (FA),WR,100,6.25,54.0,0,0.0,16,132.7,8.3
