Rusher,Team,Avg. Raw Fpts,Avg. Rushing Attempt,Avg. Rushing Yards,Avg. Rushing Share,Avg. Rushing Yards Share,Redzone Looks,yards_gained,touchdown,total_fpts
A.Smith,SF,1.2875,3.75,12.875,14.741249999999999,13.564999999999998,0,103.0,0.0,10.3
C.Simms,TB,0.9272727272727272,2.090909090909091,3.8181818181818183,8.22181818181818,6.087272727272727,1,42.0,1.0,10.2
K.Collins,LV,0.890909090909091,1.6363636363636365,3.4545454545454546,6.568181818181818,2.7100000000000004,1,38.0,1.0,9.8
L.Neal,LAC,0.8000000000000002,2.3333333333333335,8.0,8.248333333333333,8.0375,0,96.0,0.0,9.600000000000001
M.Clayton,BAL,1.55,1.3333333333333333,5.5,4.755,5.111666666666666,1,33.0,1.0,9.3
C.Chambers,MIA,1.3142857142857147,1.7142857142857142,13.142857142857142,6.628571428571428,12.254285714285716,0,92.0,0.0,9.200000000000001
A.Thomas,DAL,1.0222222222222221,4.777777777777778,10.222222222222221,13.843333333333332,9.91888888888889,0,92.0,0.0,9.200000000000001
C.Batch,PIT,4.5,5.5,15.0,15.78,9.575,1,30.0,1.0,9.0
J.Harrington,DET,0.9888888888888889,2.7777777777777777,8.88888888888889,11.478888888888891,9.703333333333333,0,79.0,0.0,8.9
R.Mahe,PHI,1.4500000000000002,3.3333333333333335,14.5,13.878333333333336,11.231666666666667,0,87.0,0.0,8.700000000000001
K.Robinson,MIN,2.9000000000000004,1.3333333333333333,9.0,4.216666666666667,7.95,1,27.0,1.0,8.7
J.Wright,CLE,4.3500000000000005,5.5,13.5,16.345,7.83,1,27.0,1.0,8.7
J.McKie,CHI,4.25,2.0,12.5,6.395,8.69,1,25.0,1.0,8.5
A.Lelie,DEN,2.1,1.25,21.0,3.4325,11.372499999999999,0,84.0,0.0,8.4
E.Graham,TB,2.766666666666667,9.333333333333334,27.666666666666668,31.7,23.650000000000002,0,83.0,0.0,8.3
T.Green,KC,0.5857142857142856,2.5,5.857142857142857,7.390714285714286,4.232857142857143,0,82.0,0.0,8.200000000000001
A.Harris,LA,4.05,6.5,10.5,19.315,8.76,1,21.0,1.0,8.1
L.Weaver,SEA,2.0,4.25,20.0,10.4275,11.0125,0,80.0,0.0,8.0
A.Randle El,PIT,0.78,1.3,7.8,3.599999999999999,5.35,0,78.0,0.0,7.800000000000001
W.Green,CLE,1.3000000000000003,3.3333333333333335,13.0,13.603333333333332,11.226666666666667,0,78.0,0.0,7.800000000000001
R.Carthon,IND,2.6,4.333333333333333,6.0,13.42,5.276666666666666,1,18.0,1.0,7.8
M.Schaub,ATL,1.9000000000000001,2.25,19.0,6.2525,8.209999999999999,0,76.0,0.0,7.6000000000000005
B.Perry,PHI,3.7,8.0,37.0,32.94,41.11,0,74.0,0.0,7.4
D.Wimbush,JAX,3.5999999999999996,1.5,6.0,5.135,5.52,1,12.0,1.0,7.2
K.Holcomb,BUF,0.7888888888888889,2.0,1.2222222222222223,6.80111111111111,0.708888888888889,1,11.0,1.0,7.1
K.Johnson,DEN,2.3,1.3333333333333333,3.0,4.066666666666666,1.9600000000000002,1,9.0,1.0,6.9
