RANK,PLAYER,RUSHING ATT,RUSHING YDS,RUSHING Y/A,RUSHING LG,RUSHING 20+,RUSHING TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,POS,IT,IT/G
1,David Johnson (HOU),293,1239,4.2,58,6,16,80,120,879,11.0,4,3,16,407.8,25.5,25.8%,RB,413,25.8125
2,Ezekiel Elliott (DAL),322,1631,5.1,60,14,15,32,40,363,11.3,1,1,15,325.4,21.7,99.9%,RB,362,24.133333333333333
3,Le'Veon Bell (BAL),261,1268,4.9,44,4,7,75,94,616,8.2,2,1,12,317.4,26.5,10.5%,RB,355,29.583333333333332
4,LeSean McCoy (FA),234,1267,5.4,75,11,13,50,57,356,7.1,1,0,15,299.3,20.0,2.0%,RB,291,19.4
5,DeMarco Murray (FA),293,1287,4.4,75,4,9,53,67,377,7.1,3,1,16,293.8,18.4,0.1%,RB,360,22.5
6,Devonta Freeman (BAL),227,1079,4.8,75,7,11,54,65,462,8.6,2,1,16,284.1,17.8,50.9%,RB,292,18.25
7,Melvin Gordon III (DEN),254,997,3.9,48,7,10,41,57,419,10.2,2,2,13,250.6,19.3,90.3%,RB,311,23.923076923076923
8,Mark Ingram II (NO),205,1043,5.1,75,4,6,46,58,319,6.9,4,2,16,242.2,15.1,68.0%,RB,263,16.4375
9,LeGarrette Blount (FA),299,1161,3.9,44,7,18,7,8,38,5.4,0,1,16,232.9,14.6,0.1%,RB,307,19.1875
10,Jordan Howard (PHI),252,1313,5.2,69,10,6,29,50,298,10.3,1,1,15,230.1,15.3,43.1%,RB,302,20.133333333333333
11,Jay Ajayi (FA),260,1272,4.9,62,10,8,27,35,151,5.6,0,1,15,215.3,14.4,7.0%,RB,295,19.666666666666668
12,Frank Gore (FA),263,1025,3.9,22,1,4,38,47,277,7.3,4,1,16,214.3,13.4,12.1%,RB,310,19.375
13,Latavius Murray (BAL),195,788,4.0,42,5,12,33,43,264,8.0,0,1,14,208.2,14.9,26.1%,RB,238,17.0
14,Isaiah Crowell (FA),198,952,4.8,85,8,7,40,53,319,8.0,0,2,16,204.3,12.8,0.1%,RB,251,15.6875
15,Todd Gurley II (FA),278,885,3.2,24,2,6,43,58,327,7.6,0,1,16,198.2,12.4,0.7%,RB,336,21.0
16,Bilal Powell (FA),131,722,5.5,35,4,3,58,74,388,6.7,2,1,16,197.0,12.3,0.0%,RB,205,12.8125
17,Spencer Ware (FA),214,921,4.3,46,3,3,33,42,447,13.5,2,3,14,193.9,13.9,0.0%,RB,256,18.285714285714285
18,Carlos Hyde (JAC),217,988,4.6,47,7,6,27,33,163,6.0,3,3,13,192.1,14.8,19.2%,RB,250,19.23076923076923
19,Tevin Coleman (NYJ),118,520,4.4,55,5,8,31,40,421,13.6,3,0,13,191.1,14.7,3.0%,RB,158,12.153846153846153
20,Lamar Miller (NO),268,1073,4.0,45,7,5,31,39,188,6.1,1,1,14,191.1,13.7,0.0%,RB,307,21.928571428571427
21,Matt Forte (FA),218,813,3.7,32,5,7,30,43,263,8.8,1,1,14,183.6,13.1,19.1%,RB,261,18.642857142857142
22,Jeremy Hill (FA),222,839,3.8,74,5,9,21,27,174,8.3,0,0,15,176.3,11.8,0.0%,RB,249,16.6
23,Terrance West (FA),193,774,4.0,41,5,5,34,45,236,6.9,1,0,16,171.0,10.7,0.0%,RB,238,14.875
24,Darren Sproles (FA),94,438,4.7,25,1,2,52,71,427,8.2,2,0,15,162.5,10.8,0.1%,RB,165,11.0
25,Theo Riddick (LV),92,357,3.9,42,2,1,53,67,371,7.0,5,0,10,161.8,16.2,0.0%,RB,159,15.9
26,James White (NE),39,166,4.3,16,0,0,60,86,551,9.2,5,0,16,161.7,10.1,9.4%,RB,125,7.8125
27,Jerick McKinnon (KC),159,539,3.4,36,2,2,43,53,255,5.9,2,0,15,148.4,9.9,1.7%,RB,212,14.133333333333333
28,Chris Thompson (FA),68,356,5.2,25,2,3,49,62,349,7.1,2,1,16,147.5,9.2,0.0%,RB,130,8.125
29,Jonathan Stewart (FA),218,824,3.8,47,6,9,8,21,60,7.5,0,2,13,146.4,11.3,0.0%,RB,239,18.384615384615383
30,Duke Johnson Jr. (MIA),73,358,4.9,22,2,1,53,74,514,9.7,0,1,16,145.0,9.1,0.1%,RB,147,9.1875
31,Ryan Mathews (FA),155,661,4.3,30,6,8,13,14,115,8.8,1,2,13,144.6,11.1,0.0%,RB,169,13.0
32,Devontae Booker (NYG),174,612,3.5,18,0,4,31,45,265,8.5,1,3,16,142.7,8.9,66.2%,RB,219,13.6875
33,Rashad Jennings (FA),181,593,3.3,25,3,3,35,42,201,5.7,1,0,13,138.4,10.6,0.0%,RB,223,17.153846153846153
34,T.J. Yeldon (FA),130,465,3.6,16,0,1,50,68,312,6.2,1,1,15,137.7,9.2,0.0%,RB,198,13.2
35,Christine Michael (FA),148,583,3.9,42,3,7,22,29,107,4.9,1,1,15,137.0,9.1,0.0%,RB,177,11.8
