PLAYER,POS,TGT,TGT/G,COMPLETION %,RUSHING ATT,RA/G,G,FPTS,FPTS/G
LeSean McCoy (FA),RB,69,4.6,69.57,273,18.2,15,328.4,21.9
Adrian Peterson (TEN),RB,23,1.92,78.26,208,17.33,12,206.9,17.2
Frank Gore (FA),RB,31,1.94,54.84,282,17.62,16,193.5,12.1
Mark Ingram II (NO),RB,13,1.3,84.62,122,12.2,10,91.0,9.1
Anthony Sherman (FA),RB,9,0.6,88.89,1,0.07,15,15.5,1.0
Dion Lewis (FA),RB,1,0.07,100.0,23,1.53,15,14.9,1.0
Adrian Killins Jr. (DEN),RB,0,,,0,,0,0.0,0.0
Patrick Taylor Jr. (GB),RB,0,,,0,,0,0.0,0.0
Larry Rountree III (LAC),RB,0,,,0,,0,0.0,0.0
DeeJay Dallas (SEA),RB,0,,,0,,0,0.0,0.0
Darius Bradwell (LAC),RB,0,,,0,,0,0.0,0.0
Tony Jones Jr. (NO),RB,0,,,0,,0,0.0,0.0
Darius Anderson (IND),RB,0,,,0,,0,0.0,0.0
Artavis Pierce (CHI),RB,0,,,0,,0,0.0,0.0
Sewo Olonilua (DAL),RB,0,,,0,,0,0.0,0.0
Jason Huntley (PHI),RB,0,,,0,,0,0.0,0.0
Rico Dowdle (DAL),RB,0,,,0,,0,0.0,0.0
Ty'Son Williams (BAL),RB,0,,,0,,0,0.0,0.0
James Robinson (JAC),RB,0,,,0,,0,0.0,0.0
JaMycal Hasty (SF),RB,0,,,0,,0,0.0,0.0
Antonio Gibson (WAS),RB,0,,,0,,0,0.0,0.0
Scottie Phillips (HOU),RB,0,,,0,,0,0.0,0.0
Salvon Ahmed (MIA),RB,0,,,0,,0,0.0,0.0
J.J. Taylor (NE),RB,0,,,0,,0,0.0,0.0
Joshua Kelley (LAC),RB,0,,,0,,0,0.0,0.0
Derrick Gore (KC),RB,0,,,0,,0,0.0,0.0
D'Ernest Johnson (CLE),RB,0,,,0,,0,0.0,0.0
Craig Reynolds (DET),RB,0,,,0,,0,0.0,0.0
Austin Walter (NYJ),RB,0,,,0,,0,0.0,0.0
D'Andre Swift (DET),RB,0,,,0,,0,0.0,0.0
Jonathan Taylor (IND),RB,0,,,0,,0,0.0,0.0
Eno Benjamin (ARI),RB,0,,,0,,0,0.0,0.0
Javon Leake (DET),RB,0,,,0,,0,0.0,0.0
Trey Sermon (SF),RB,0,,,0,,0,0.0,0.0
Darrynton Evans (TEN),RB,0,,,0,,0,0.0,0.0
Michael Warren II (DET),RB,0,,,0,,0,0.0,0.0
Caleb Huntley (ATL),RB,0,,,0,,0,0.0,0.0
Anthony McFarland Jr. (PIT),RB,0,,,0,,0,0.0,0.0
AJ Dillon (GB),RB,0,,,0,,0,0.0,0.0
Travis Etienne Jr. (JAC),RB,0,,,0,,0,0.0,0.0
Ke'Shawn Vaughn (TB),RB,0,,,0,,0,0.0,0.0
LeVante Bellamy (DEN),RB,0,,,0,,0,0.0,0.0
La'Mical Perine (NYJ),RB,0,,,0,,0,0.0,0.0
Clyde Edwards-Helaire (KC),RB,0,,,0,,0,0.0,0.0
Kylin Hill (GB),RB,0,,,0,,0,0.0,0.0
Najee Harris (PIT),RB,0,,,0,,0,0.0,0.0
Cam Akers (LAR),RB,0,,,0,,0,0.0,0.0
Zack Moss (BUF),RB,0,,,0,,0,0.0,0.0
J.K. Dobbins (BAL),RB,0,,,0,,0,0.0,0.0
Malcolm Perry (NE),RB,0,,,0,,0,0.0,0.0
Sandro Platzgummer (NYG),RB,0,,,0,,0,0.0,0.0
Trey Ragas (LV),RB,0,,,0,,0,0.0,0.0
Jaret Patterson (WAS),RB,0,,,0,,0,0.0,0.0
Cameron Scarlett (SEA),RB,0,,,0,,0,0.0,0.0
Nathan Cottrell (JAC),RB,0,,,0,,0,0.0,0.0
Jonathan Ward (ARI),RB,0,,,0,,0,0.0,0.0
Mikey Daniel (CAR),RB,0,,,0,,0,0.0,0.0
Jake Bargas (MIN),RB,0,,,0,,0,0.0,0.0
Reggie Gilliam (BUF),RB,0,,,0,,0,0.0,0.0
Antonio Williams (BUF),RB,0,,,0,,0,0.0,0.0
Chuba Hubbard (CAR),RB,0,,,0,,0,0.0,0.0
Giovanni Ricci (CAR),RB,0,,,0,,0,0.0,0.0
Pete Guerriero (PIT),RB,0,,,0,,0,0.0,0.0
Gabe Nabers (LAC),RB,0,,,0,,0,0.0,0.0
Josh Hokit (SF),RB,0,,,0,,0,0.0,0.0
Mekhi Sargent (LAR),RB,0,,,0,,0,0.0,0.0
Demetric Felton (CLE),RB,0,,,0,,0,0.0,0.0
Deon Jackson (IND),RB,0,,,0,,0,0.0,0.0
Pooka Williams Jr. (CIN),RB,0,,,0,,0,0.0,0.0
Jermar Jefferson (DET),RB,0,,,0,,0,0.0,0.0
Khari Blasingame (TEN),RB,0,,,0,,0,0.0,0.0
Godwin Igwebuike (DET),RB,0,,,0,,0,0.0,0.0
Phillip Lindsay (HOU),RB,0,,,0,,0,0.0,0.0
Jordan Wilkins (JAC),RB,0,,,0,,0,0.0,0.0
Chase Edmonds (ARI),RB,0,,,0,,0,0.0,0.0
Jason Cabinda (DET),RB,0,,,0,,0,0.0,0.0
Sony Michel (LAR),RB,0,,,0,,0,0.0,0.0
Rashaad Penny (SEA),RB,0,,,0,,0,0.0,0.0
John Kelly (CLE),RB,0,,,0,,0,0.0,0.0
Justin Jackson (LAC),RB,0,,,0,,0,0.0,0.0
Bo Scarbrough (LV),RB,0,,,0,,0,0.0,0.0
Nyheim Hines (IND),RB,0,,,0,,0,0.0,0.0
Darrel Williams (KC),RB,0,,,0,,0,0.0,0.0
Donnie Ernsberger (TEN),RB,0,,,0,,0,0.0,0.0
Mike Boone (DEN),RB,0,,,0,,0,0.0,0.0
Ryan Nall (CHI),RB,0,,,0,,0,0.0,0.0
Trenton Cannon (SF),RB,0,,,0,,0,0.0,0.0
Gus Edwards (BAL),RB,0,,,0,,0,0.0,0.0
Buddy Howell (LAR),RB,0,,,0,,0,0.0,0.0
Boston Scott (PHI),RB,0,,,0,,0,0.0,0.0
Nick Bawden (NYJ),RB,0,,,0,,0,0.0,0.0
Jaylen Samuels (HOU),RB,0,,,0,,0,0.0,0.0
Matt Breida (BUF),RB,0,,,0,,0,0.0,0.0
Dare Ogunbowale (JAC),RB,0,,,0,,0,0.0,0.0
Myles Gaskin (MIA),RB,0,,,0,,0,0.0,0.0
Kalen Ballage (PIT),RB,0,,,0,,0,0.0,0.0
Josh Adams (NO),RB,0,,,0,,0,0.0,0.0
Nick Chubb (CLE),RB,0,,,0,,0,0.0,0.0
Royce Freeman (HOU),RB,0,,,0,,0,0.0,0.0
Ronald Jones II (TB),RB,0,,,0,,0,0.0,0.0
Saquon Barkley (NYG),RB,0,,,0,,0,0.0,0.0
Trey Edmunds (PIT),RB,0,,,0,,0,0.0,0.0
Patrick Ricard (BAL),RB,0,,,0,,0,0.0,0.0
Aca'Cedric Ware (TB),RB,0,,,0,,0,0.0,0.0
Trayveon Williams (CIN),RB,0,,,0,,0,0.0,0.0
Darrell Henderson Jr. (LAR),RB,0,,,0,,0,0.0,0.0
Alec Ingold (LV),RB,0,,,0,,0,0.0,0.0
Trevon Wesco (NYJ),RB,0,,,0,,0,0.0,0.0
Ryquell Armstead (GB),RB,0,,,0,,0,0.0,0.0
Benny Snell Jr. (PIT),RB,0,,,0,,0,0.0,0.0
Qadree Ollison (ATL),RB,0,,,0,,0,0.0,0.0
Dexter Williams (CLE),RB,0,,,0,,0,0.0,0.0
Ty Johnson (NYJ),RB,0,,,0,,0,0.0,0.0
Travis Homer (SEA),RB,0,,,0,,0,0.0,0.0
Patrick Laird (MIA),RB,0,,,0,,0,0.0,0.0
Sutton Smith (LV),RB,0,,,0,,0,0.0,0.0
Andrew Beck (DEN),RB,0,,,0,,0,0.0,0.0
Tony Pollard (DAL),RB,0,,,0,,0,0.0,0.0
Cullen Gillaspia (NYG),RB,0,,,0,,0,0.0,0.0
Jakob Johnson (NE),RB,0,,,0,,0,0.0,0.0
Damarea Crockett (DEN),RB,0,,,0,,0,0.0,0.0
Devine Ozigbo (JAC),RB,0,,,0,,0,0.0,0.0
Alexander Mattison (MIN),RB,0,,,0,,0,0.0,0.0
Darwin Thompson (TB),RB,0,,,0,,0,0.0,0.0
Mike Weber (NYG),RB,0,,,0,,0,0.0,0.0
Johnny Stanton (CLE),RB,0,,,0,,0,0.0,0.0
Dontrell Hilliard (TEN),RB,0,,,0,,0,0.0,0.0
Jeff Wilson Jr. (SF),RB,0,,,0,,0,0.0,0.0
Reggie Bonnafon (CAR),RB,0,,,0,,0,0.0,0.0
Elijah Holyfield (CIN),RB,0,,,0,,0,0.0,0.0
Miles Sanders (PHI),RB,0,,,0,,0,0.0,0.0
Devin Singletary (BUF),RB,0,,,0,,0,0.0,0.0
Josh Jacobs (LV),RB,0,,,0,,0,0.0,0.0
David Montgomery (CHI),RB,0,,,0,,0,0.0,0.0
Damien Harris (NE),RB,0,,,0,,0,0.0,0.0
Dalyn Dawkins (DET),RB,0,,,0,,0,0.0,0.0
Elijah Mitchell (SF),RB,0,,,0,,0,0.0,0.0
Chris Evans (CIN),RB,0,,,0,,0,0.0,0.0
Khalil Herbert (CHI),RB,0,,,0,,0,0.0,0.0
Javian Hawkins (TEN),RB,0,,,0,,0,0.0,0.0
Javonte Williams (DEN),RB,0,,,0,,0,0.0,0.0
Michael Carter (NYJ),RB,0,,,0,,0,0.0,0.0
Rhamondre Stevenson (NE),RB,0,,,0,,0,0.0,0.0
Kenneth Gainwell (PHI),RB,0,,,0,,0,0.0,0.0
Gary Brightwell (NYG),RB,0,,,0,,0,0.0,0.0
Gerrid Doaks (MIA),RB,0,,,0,,0,0.0,0.0
Mason Stokke (CAR),RB,0,,,0,,0,0.0,0.0
Spencer Brown (CAR),RB,0,,,0,,0,0.0,0.0
Kene Nwangwu (MIN),RB,0,,,0,,0,0.0,0.0
Jake Funk (LAR),RB,0,,,0,,0,0.0,0.0
JaQuan Hardy (DAL),RB,0,,,0,,0,0.0,0.0
Tory Carter (TEN),RB,0,,,0,,0,0.0,0.0
A.J. Rose Jr. (MIN),RB,0,,,0,,0,0.0,0.0
Nate McCrary (BAL),RB,0,,,0,,0,0.0,0.0
Josh Johnson (SEA),RB,0,,,0,,0,0.0,0.0
Tre Harbison (CLE),RB,0,,,0,,0,0.0,0.0
Taquan Mizzell (NYG),RB,0,,,0,,0,0.0,0.0
Anthony Allen (FA),RB,0,0.0,,3,0.6,5,0.0,0.0
Shane Bannon (KC),RB,0,,,0,,0,0.0,0.0
Da'Rel Scott (FA),RB,2,0.18,100.0,5,0.45,11,0.0,0.0
Shaun Chapas (FA),RB,1,0.33,100.0,0,0.0,3,0.0,0.0
Bruce Miller (FA),RB,15,1.0,73.33,4,0.27,15,0.0,0.0
Evan Royster (FA),RB,13,2.17,69.23,56,9.33,6,0.0,0.0
Bilal Powell (FA),RB,1,0.5,100.0,13,6.5,2,0.0,0.0
Jay Finley (CIN),RB,0,,,0,,0,0.0,0.0
Taiwan Jones (BUF),RB,3,0.3,66.67,16,1.6,10,0.0,0.0
Owen Marecic (FA),RB,6,0.43,83.33,4,0.29,14,0.0,0.0
Roy Helu (FA),RB,59,3.93,83.05,151,10.07,15,0.0,0.0
Alex Green (FA),RB,1,0.25,100.0,3,0.75,4,0.0,0.0
Stevan Ridley (FA),RB,5,0.31,60.0,87,5.44,16,0.0,0.0
Kendall Hunter (FA),RB,26,1.62,61.54,112,7.0,16,0.0,0.0
Delone Carter (FA),RB,8,0.5,62.5,101,6.31,16,0.0,0.0
DeMarco Murray (FA),RB,35,2.69,74.29,164,12.62,13,0.0,0.0
Nick Bellore (SEA),RB,0,0.0,,0,0.0,16,0.0,0.0
Alfonso Smith (FA),RB,5,0.33,60.0,30,2.0,15,0.0,0.0
Henry Hynoski (FA),RB,16,1.45,75.0,0,0.0,11,0.0,0.0
Tyler Clutts (FA),RB,10,0.62,80.0,0,0.0,16,0.0,0.0
DuJuan Harris (FA),RB,2,0.4,50.0,9,1.8,5,0.0,0.0
Phillip Tanner (FA),RB,2,0.22,100.0,22,2.44,9,0.0,0.0
Armond Smith (FA),RB,1,0.33,0.0,3,1.0,3,0.0,0.0
Isaac Odim (LAC),RB,0,,,0,,0,0.0,0.0
Chad Spann (HOU),RB,0,,,0,,0,0.0,0.0
Shane Vereen (FA),RB,0,0.0,,15,3.0,5,0.0,0.0
Ryan Torain (FA),RB,9,1.12,66.67,59,7.38,8,0.0,0.0
