PLAYER,POS,TGT,TGT/G,COMPLETION %,RUSHING ATT,RA/G,G,FPTS,FPTS/G
Michael Thomas (NO),WR,185,11.56,80.54,1,0.06,16,374.6,23.4
Chris Godwin (TB),WR,121,8.64,71.07,1,0.07,14,276.1,19.7
Julio Jones (TEN),WR,157,10.47,63.06,2,0.13,15,274.1,18.3
Cooper Kupp (LAR),WR,134,8.38,70.15,2,0.12,16,270.5,16.9
DeAndre Hopkins (ARI),WR,150,10.0,69.33,2,0.13,15,269.5,18.0
Keenan Allen (LAC),WR,149,9.31,69.8,3,0.19,16,261.5,16.3
Julian Edelman (FA),WR,153,9.56,65.36,8,0.5,16,256.3,16.0
Allen Robinson II (CHI),WR,154,9.62,63.64,1,0.06,16,254.9,15.9
Kenny Golladay (NYG),WR,116,7.25,56.03,0,0.0,16,248.0,15.5
Amari Cooper (DAL),WR,119,7.44,66.39,1,0.06,16,246.5,15.4
DeVante Parker (MIA),WR,128,8.0,56.25,0,0.0,16,246.2,15.4
Jarvis Landry (CLE),WR,138,8.62,60.14,1,0.06,16,237.4,14.8
Tyler Lockett (SEA),WR,110,6.88,74.55,4,0.25,16,235.2,14.7
Robert Woods (LAR),WR,139,9.27,64.75,17,1.13,15,232.9,15.5
Mike Evans (TB),WR,118,9.08,56.78,0,0.0,13,232.7,17.9
D.J. Moore (CAR),WR,135,9.0,64.44,6,0.4,15,230.5,15.4
D.J. Chark Jr. (JAC),WR,118,7.87,61.86,2,0.13,15,225.8,15.1
Tyler Boyd (CIN),WR,148,9.25,60.81,4,0.25,16,222.9,13.9
Courtland Sutton (DEN),WR,124,7.75,58.06,3,0.19,16,222.4,13.9
John Brown (JAC),WR,115,7.67,62.61,2,0.13,15,219.8,14.7
A.J. Brown (TEN),WR,84,5.25,61.9,3,0.19,16,217.1,13.6
Davante Adams (GB),WR,127,10.58,65.35,0,0.0,12,212.7,17.7
Michael Gallup (DAL),WR,113,8.07,58.41,0,0.0,14,212.7,15.2
Stefon Diggs (BUF),WR,94,6.27,67.02,5,0.33,15,212.1,14.1
Odell Beckham Jr. (LAR),WR,133,8.31,55.64,3,0.19,16,201.3,12.6
Jamison Crowder (NYJ),WR,122,7.62,63.93,1,0.06,16,197.7,12.4
Calvin Ridley (ATL),WR,93,7.15,67.74,2,0.15,13,197.0,15.2
Marvin Jones Jr. (JAC),WR,91,7.0,68.13,2,0.15,13,193.9,14.9
Terry McLaurin (WAS),WR,93,6.64,62.37,0,0.0,14,191.9,13.7
Emmanuel Sanders (BUF),WR,97,5.71,68.04,0,0.0,17,190.3,11.2
Deebo Samuel (SF),WR,81,5.4,70.37,14,0.93,15,189.1,12.6
Tyreek Hill (KC),WR,89,7.42,65.17,8,0.67,12,188.3,15.7
D.K. Metcalf (SEA),WR,100,6.25,58.0,2,0.12,16,187.1,11.7
Cole Beasley (BUF),WR,106,7.07,63.21,0,0.0,15,184.8,12.3
Larry Fitzgerald (FA),WR,109,6.81,68.81,0,0.0,16,177.4,11.1
