RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,RUSHING ATT,RUSHING YDS,RUSHING TD,FL,G,FPTS,FPTS/G,ROST,POS
1,Cooper Kupp (LAR),145,191,1947,13.4,59,0,16,4,18,0,0,17,439.5,25.9,100.0%,WR
2,Davante Adams (GB),123,169,1553,12.6,59,0,11,0,0,0,0,16,344.3,21.5,100.0%,WR
3,Deebo Samuel (SF),77,121,1405,18.2,83,0,6,59,365,8,2,16,339.0,21.2,98.8%,WR
4,Justin Jefferson (MIN),108,167,1616,15.0,56,0,10,6,14,0,1,17,330.4,19.4,99.9%,WR
5,Ja'Marr Chase (CIN),81,128,1455,18.0,82,0,13,7,21,0,1,17,304.6,17.9,98.5%,WR
6,Tyreek Hill (KC),111,159,1239,11.2,75,0,9,9,96,0,1,17,296.5,17.4,100.0%,WR
7,Stefon Diggs (BUF),103,164,1225,11.9,61,0,10,0,0,0,0,17,285.5,16.8,100.0%,WR
8,Diontae Johnson (PIT),107,169,1161,10.9,50,0,8,5,53,0,2,16,274.4,17.2,98.1%,WR
9,Mike Evans (TB),74,114,1035,14.0,46,0,14,1,10,0,0,16,262.5,16.4,97.8%,WR
10,Hunter Renfrow (LV),103,128,1038,10.1,54,0,9,3,3,0,1,17,259.1,15.2,89.8%,WR
11,Keenan Allen (LAC),106,157,1138,10.7,42,0,6,0,0,0,0,16,257.8,16.1,99.3%,WR
12,Mike Williams (LAC),76,129,1146,15.1,72,0,9,0,0,0,0,16,246.6,15.4,91.9%,WR
13,Jaylen Waddle (MIA),104,140,1015,9.8,57,0,6,2,3,1,1,16,245.8,15.4,94.6%,WR
14,D.K. Metcalf (SEA),75,129,967,12.9,84,0,12,1,6,0,0,17,244.3,14.4,98.9%,WR
15,Chris Godwin (TB),98,127,1103,11.3,44,0,5,4,21,1,2,14,242.4,17.3,67.1%,WR
16,Tyler Lockett (SEA),73,107,1175,16.1,69,0,8,2,9,0,0,16,241.4,15.1,97.5%,WR
17,Michael Pittman Jr. (IND),88,129,1082,12.3,57,0,6,5,44,0,0,17,238.6,14.0,92.6%,WR
18,DJ Moore (CAR),93,163,1157,12.4,64,0,4,8,48,0,1,17,237.5,14.0,95.7%,WR
