PLAYER,POS,TGT,TGT/G,COMPLETION %,RUSHING ATT,RA/G,G,FPTS,FPTS/G
Antonio Brown (TB),WR,154,10.27,68.83,3,0.2,15,307.3,20.5
Jordy Nelson (FA),WR,152,9.5,63.82,0,0.0,16,304.7,19.0
Mike Evans (TB),WR,173,10.81,55.49,0,0.0,16,304.1,19.0
Odell Beckham Jr. (LAR),WR,169,10.56,59.76,1,0.06,16,296.6,18.5
T.Y. Hilton (IND),WR,155,9.69,58.71,0,0.0,16,273.8,17.1
Julio Jones (TEN),WR,129,9.21,64.34,0,0.0,14,259.9,18.6
Michael Thomas (NO),WR,121,8.07,76.03,0,0.0,15,255.7,17.0
Doug Baldwin (FA),WR,125,7.81,75.2,3,0.19,16,253.6,15.9
Davante Adams (GB),WR,121,7.56,61.98,0,0.0,16,246.7,15.4
Brandin Cooks (HOU),WR,117,7.31,66.67,6,0.38,16,246.3,15.4
Larry Fitzgerald (FA),WR,150,9.38,71.33,2,0.12,16,244.9,15.3
Michael Crabtree (FA),WR,145,9.06,61.38,0,0.0,16,239.3,15.0
Jarvis Landry (CLE),WR,131,8.19,71.76,5,0.31,16,231.5,14.5
Amari Cooper (DAL),WR,132,8.25,62.88,1,0.06,16,230.9,14.4
Julian Edelman (FA),WR,159,9.94,61.64,12,0.75,16,230.3,14.4
Demaryius Thomas (FA),WR,144,9.0,62.5,0,0.0,16,226.3,14.1
Golden Tate (FA),WR,135,8.44,67.41,10,0.62,16,223.1,13.9
Tyrell Williams (FA),WR,119,7.44,57.98,0,0.0,16,216.9,13.6
Terrelle Pryor Sr. (FA),WR,140,8.75,55.0,8,0.5,16,213.4,13.3
Emmanuel Sanders (BUF),WR,137,8.56,57.66,1,0.06,16,212.6,13.3
Rishard Matthews (FA),WR,108,6.75,60.19,0,0.0,16,211.5,13.2
Mike Wallace (FA),WR,116,7.25,62.07,5,0.31,16,202.8,12.7
Pierre Garcon (FA),WR,114,7.12,69.3,0,0.0,16,201.1,12.6
Allen Robinson II (CHI),WR,151,9.44,48.34,0,0.0,16,199.3,12.5
Tyreek Hill (KC),WR,83,5.19,73.49,24,1.5,16,199.0,12.4
DeAndre Hopkins (ARI),WR,151,9.44,51.66,0,0.0,16,197.4,12.3
Kelvin Benjamin (FA),WR,118,7.38,53.39,0,0.0,16,197.1,12.3
Kenny Britt (FA),WR,111,7.4,61.26,0,0.0,15,196.2,13.1
Adam Thielen (MIN),WR,92,5.75,75.0,2,0.12,16,195.2,12.2
Stefon Diggs (BUF),WR,112,8.62,75.0,3,0.23,13,193.3,14.9
Willie Snead IV (CAR),WR,104,6.93,69.23,0,0.0,15,191.5,12.8
Jamison Crowder (NYJ),WR,99,6.19,67.68,2,0.12,16,191.5,12.0
Cole Beasley (BUF),WR,98,6.12,76.53,1,0.06,16,189.0,11.8
A.J. Green (ARI),WR,100,10.0,66.0,0,0.0,10,186.4,18.6
Brandon LaFell (FA),WR,107,6.69,59.81,1,0.06,16,186.0,11.6
Sterling Shepard (NYG),WR,105,6.56,61.9,3,0.19,16,184.4,11.5
Steve Smith (FA),WR,101,7.21,69.31,0,0.0,14,183.9,13.1
DeSean Jackson (LV),WR,100,6.67,56.0,0,0.0,15,180.5,12.0
Dez Bryant (FA),WR,96,7.38,52.08,0,0.0,13,180.0,13.8
Cameron Meredith (FA),WR,97,6.93,68.04,1,0.07,14,179.5,12.8
Anquan Boldin (FA),WR,95,5.94,70.53,0,0.0,16,173.4,10.8
Marqise Lee (FA),WR,105,6.56,60.0,6,0.38,16,172.4,10.8
Marvin Jones Jr. (JAC),WR,103,6.87,53.4,1,0.07,15,172.3,11.5
Jordan Matthews (SF),WR,117,8.36,62.39,0,0.0,14,171.4,12.2
Quincy Enunwa (FA),WR,105,6.56,55.24,1,0.06,16,168.9,10.6
Kenny Stills (NO),WR,81,5.06,51.85,0,0.0,16,168.6,10.5
Dontrelle Inman (FA),WR,97,6.06,59.79,0,0.0,16,163.0,10.2
Ted Ginn Jr. (FA),WR,95,5.94,56.84,14,0.88,16,159.0,9.9
Brandon Marshall (FA),WR,128,8.53,46.09,0,0.0,15,156.7,10.4
