Receiver,Team,Avg. Raw Fpts,Avg. Targets,Avg. Air Yards,Avg. Target Share,Avg. Air Yards Share,Redzone Looks,Avg. WOPR,total_fpts
R.Wayne,IND,17.09473684210527,9.263157894736842,98.0,24.07894736842105,28.73684210526315,19,56.23,324.8
L.Fitzgerald,ARI,18.005555555555556,9.38888888888889,105.11111111111111,25.810555555555553,36.69388888888889,18,64.4,324.1
S.Rice,MIN,17.533333333333328,7.777777777777778,99.61111111111111,22.27166666666666,38.61277777777778,16,60.44,315.6
D.Clark,IND,16.45263157894737,8.31578947368421,60.05263157894737,21.93842105263158,17.973684210526315,8,45.49,312.6
A.Johnson,HOU,19.506249999999998,10.75,120.125,29.265,42.2575,12,73.48,312.1
M.Austin,DAL,17.08888888888889,7.888888888888889,76.11111111111111,23.040000000000006,30.612777777777776,12,55.99,307.6
R.Moss,NE,17.49411764705882,8.647058823529411,116.94117647058823,22.692352941176477,38.08,22,60.69,297.4
W.Welker,NE,20.12857142857143,11.571428571428571,65.07142857142857,33.74285714285714,24.087142857142858,1,67.48,281.8
B.Marshall,DEN,18.246666666666666,10.333333333333334,91.4,30.77466666666667,39.134,14,73.56,273.7
M.Colston,NO,14.273684210526316,6.842105263157895,73.21052631578948,20.179473684210528,27.15526315789474,18,49.28,271.2
S.Smith,NYG,16.9375,9.8125,110.125,29.809375000000003,38.42125000000001,9,71.61,271.0
R.White,ATL,16.64375,10.3125,113.375,29.715000000000003,36.7575,11,70.3,266.3
A.Gates,LAC,15.294117647058826,7.352941176470588,67.82352941176471,23.302941176470586,23.023529411764706,11,51.07,260.0
V.Jackson,LAC,16.05,7.25,121.9375,23.505,40.938125,15,63.91,256.8
V.Davis,SF,15.781250000000002,8.0625,75.9375,24.9925,33.123125,10,60.67,252.5
H.Ward,PIT,15.481249999999998,8.5625,78.25,25.429375000000004,25.08,10,55.7,247.7
D.Jackson,PHI,15.256250000000001,7.8125,108.6875,22.056250000000002,37.463750000000005,11,59.31,244.10000000000002
C.Ochocinco,CIN,13.852941176470589,7.882352941176471,103.17647058823529,27.115294117647064,43.72058823529412,11,71.28,235.5
J.Witten,DAL,13.083333333333336,7.888888888888889,54.388888888888886,23.288888888888888,21.481111111111105,1,49.97,235.5
S.Holmes,PIT,14.6125,8.625,94.125,26.178749999999997,31.919375,8,61.61,233.8
G.Jennings,GB,13.670588235294119,7.823529411764706,101.23529411764706,22.650588235294116,31.642941176470593,8,56.13,232.4
B.Celek,PHI,13.529411764705886,6.882352941176471,46.8235294117647,20.360588235294117,16.853529411764704,10,42.34,230.0
D.Mason,BAL,12.777777777777779,8.0,110.5,26.109444444444446,40.24277777777778,13,67.33,230.0
A.Collie,IND,11.721052631578948,6.105263157894737,59.21052631578947,15.67421052631579,17.585263157894737,12,35.82,222.7
D.Driver,GB,12.964705882352941,6.9411764705882355,88.76470588235294,19.962352941176473,26.69764705882353,10,48.63,220.4
A.Boldin,ARI,14.526666666666669,8.533333333333333,73.66666666666667,23.533333333333335,25.793333333333337,3,53.36,217.9
T.Gonzalez,ATL,12.85625,8.4375,67.625,24.170624999999994,23.50625,10,52.71,205.7
P.Garcon,IND,12.094117647058823,7.352941176470588,95.0,18.777058823529412,27.86,10,47.67,205.60000000000002
S.Smith,CAR,13.506666666666668,8.6,105.8,29.65666666666667,39.48933333333333,11,72.13,202.60000000000002
V.Shiancoe,MIN,11.055555555555559,4.777777777777778,36.666666666666664,13.826666666666666,13.953888888888889,11,30.51,199.0
K.Winslow,TB,12.3375,8.0,75.8125,25.02375,27.069999999999997,7,56.48,197.4
C.Johnson,DET,13.957142857142857,9.785714285714286,125.0,26.78,42.07285714285715,23,69.62,195.4
M.Sims-Walker,JAX,12.793333333333333,7.4,81.73333333333333,22.779999999999998,29.903333333333332,10,55.1,191.9
H.Miller,PIT,11.931249999999999,6.125,34.0625,18.268124999999998,11.37125,6,35.36,190.9
J.Cotchery,NYJ,11.205882352941176,6.764705882352941,75.17647058823529,28.21294117647059,32.71705882352941,6,65.22,190.5
