RANK,PLAYER,RUSHING ATT,RUSHING YDS,RUSHING Y/A,RUSHING LG,RUSHING 20+,RUSHING TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,POS,IT,IT/G
1,Jonathan Taylor (IND),332,1811,5.5,83,0,18,40,51,360,9.0,2,2,17,373.1,21.9,100.0%,RB,383,22.529411764705884
2,Austin Ekeler (LAC),206,911,4.4,28,0,12,70,94,647,9.2,8,3,16,343.8,21.5,99.9%,RB,300,18.75
3,Najee Harris (PIT),307,1200,3.9,37,0,7,74,94,467,6.3,3,0,17,300.7,17.7,99.9%,RB,401,23.58823529411765
4,Joe Mixon (CIN),292,1205,4.1,32,0,13,42,48,314,7.5,3,1,16,287.9,18.0,98.1%,RB,340,21.25
5,James Conner (ARI),202,752,3.7,35,0,15,37,39,375,10.1,3,0,15,257.7,17.2,94.6%,RB,241,16.066666666666666
6,Leonard Fournette (TB),180,812,4.5,47,0,8,69,84,454,6.6,2,0,14,255.6,18.3,74.8%,RB,264,18.857142857142858
7,Ezekiel Elliott (DAL),237,1002,4.2,47,0,10,47,65,287,6.1,2,1,17,252.1,14.8,99.7%,RB,302,17.764705882352942
8,Alvin Kamara (NO),240,898,3.7,30,0,4,47,67,439,9.3,5,0,13,234.7,18.1,100.0%,RB,307,23.615384615384617
9,Cordarrelle Patterson (ATL),153,618,4.0,39,0,6,52,69,548,10.5,5,0,16,234.6,14.7,95.1%,RB,222,13.875
10,Antonio Gibson (WAS),258,1037,4.0,27,0,7,42,52,294,7.0,3,4,16,229.1,14.3,95.9%,RB,310,19.375
11,Aaron Jones (GB),171,799,4.7,57,0,4,52,65,391,7.5,6,1,15,229.0,15.3,98.9%,RB,236,15.733333333333333
12,Josh Jacobs (LV),217,872,4.0,28,0,9,54,64,348,6.4,0,2,15,226.0,15.1,98.0%,RB,281,18.733333333333334
13,Nick Chubb (CLE),228,1259,5.5,70,0,8,20,25,174,8.7,1,1,14,215.3,15.4,99.8%,RB,253,18.071428571428573
14,Damien Harris (NE),202,929,4.6,64,0,15,18,20,132,7.3,0,2,15,210.1,14.0,89.8%,RB,222,14.8
15,D'Andre Swift (DET),151,617,4.1,57,0,5,62,78,452,7.3,2,1,13,208.9,16.1,97.2%,RB,229,17.615384615384617
