PLAYER,POS,TGT,TGT/G,COMPLETION %,RUSHING ATT,RA/G,G,FPTS,FPTS/G
David Johnson (HOU),RB,120,7.5,66.67,293,18.31,16,407.8,25.5
Ezekiel Elliott (DAL),RB,40,2.67,80.0,322,21.47,15,325.4,21.7
Le'Veon Bell (BAL),RB,94,7.83,79.79,261,21.75,12,317.4,26.5
LeSean McCoy (FA),RB,57,3.8,87.72,234,15.6,15,299.3,20.0
DeMarco Murray (FA),RB,67,4.19,79.1,293,18.31,16,293.8,18.4
Devonta Freeman (BAL),RB,65,4.06,83.08,227,14.19,16,284.1,17.8
Melvin Gordon III (DEN),RB,57,4.38,71.93,254,19.54,13,250.6,19.3
Mark Ingram II (NO),RB,58,3.62,79.31,205,12.81,16,242.2,15.1
LeGarrette Blount (FA),RB,8,0.5,87.5,299,18.69,16,232.9,14.6
Jordan Howard (PHI),RB,50,3.33,58.0,252,16.8,15,230.1,15.3
Jay Ajayi (FA),RB,35,2.33,77.14,260,17.33,15,215.3,14.4
Frank Gore (FA),RB,47,2.94,80.85,263,16.44,16,214.3,13.4
Latavius Murray (BAL),RB,43,3.07,76.74,195,13.93,14,208.2,14.9
Isaiah Crowell (FA),RB,53,3.31,75.47,198,12.38,16,204.3,12.8
Todd Gurley II (FA),RB,58,3.62,74.14,278,17.38,16,198.2,12.4
Bilal Powell (FA),RB,74,4.62,78.38,131,8.19,16,197.0,12.3
Spencer Ware (FA),RB,42,3.0,78.57,214,15.29,14,193.9,13.9
Carlos Hyde (JAC),RB,33,2.54,81.82,217,16.69,13,192.1,14.8
Tevin Coleman (NYJ),RB,40,3.08,77.5,118,9.08,13,191.1,14.7
Lamar Miller (NO),RB,39,2.79,79.49,268,19.14,14,191.1,13.7
Matt Forte (FA),RB,43,3.07,69.77,218,15.57,14,183.6,13.1
Jeremy Hill (FA),RB,27,1.8,77.78,222,14.8,15,176.3,11.8
Terrance West (FA),RB,45,2.81,75.56,193,12.06,16,171.0,10.7
Darren Sproles (FA),RB,71,4.73,73.24,94,6.27,15,162.5,10.8
Theo Riddick (LV),RB,67,6.7,79.1,92,9.2,10,161.8,16.2
James White (NE),RB,86,5.38,69.77,39,2.44,16,161.7,10.1
Jerick McKinnon (KC),RB,53,3.53,81.13,159,10.6,15,148.4,9.9
Chris Thompson (FA),RB,62,3.88,79.03,68,4.25,16,147.5,9.2
Jonathan Stewart (FA),RB,21,1.62,38.1,218,16.77,13,146.4,11.3
Duke Johnson Jr. (MIA),RB,74,4.62,71.62,73,4.56,16,145.0,9.1
Ryan Mathews (FA),RB,14,1.08,92.86,155,11.92,13,144.6,11.1
Devontae Booker (NYG),RB,45,2.81,68.89,174,10.88,16,142.7,8.9
Rashad Jennings (FA),RB,42,3.23,83.33,181,13.92,13,138.4,10.6
T.J. Yeldon (FA),RB,68,4.53,73.53,130,8.67,15,137.7,9.2
Christine Michael (FA),RB,29,1.93,75.86,148,9.87,15,137.0,9.1
Robert Kelley (FA),RB,18,1.2,66.67,168,11.2,15,132.6,8.8
Matt Asiata (FA),RB,38,2.38,84.21,121,7.56,16,132.5,8.3
Tim Hightower (FA),RB,26,1.62,84.62,133,8.31,16,126.8,7.9
Mike Gillislee (FA),RB,11,0.73,81.82,101,6.73,15,125.6,8.4
Giovani Bernard (TB),RB,51,5.1,76.47,91,9.1,10,122.3,12.2
Jalen Richard (LV),RB,39,2.44,74.36,83,5.19,16,115.6,7.2
Shaun Draughn (FA),RB,39,2.44,74.36,74,4.62,16,108.9,6.8
Robert Turbin (FA),RB,35,2.33,74.29,47,3.13,15,108.3,7.2
