Rusher,Team,Avg. Raw Fpts,Avg. Rushing Attempt,Avg. Rushing Yards,Avg. Rushing Share,Avg. Rushing Yards Share,Redzone Looks,yards_gained,touchdown,total_fpts
A.Foster,HOU,16.1,20.4375,101.0,77.71687499999999,82.08500000000001,16,1616.0,16.0,257.6
R.Mendenhall,PIT,13.278947368421052,20.263157894736842,79.10526315789474,67.21210526315791,66.0778947368421,17,1503.0,17.0,252.3
M.Turner,ATL,12.882352941176473,20.235294117647058,82.94117647058823,69.78176470588237,75.11588235294118,13,1410.0,13.0,219.0
C.Johnson,TEN,12.649999999999999,19.75,85.25,78.543125,77.73875,11,1364.0,11.0,202.4
A.Peterson,MIN,13.453333333333331,18.866666666666667,86.53333333333333,70.04599999999999,71.43266666666669,12,1298.0,12.0,201.8
J.Charles,KC,11.22941176470588,14.058823529411764,91.11764705882354,43.20764705882353,60.08882352941176,6,1549.0,6.0,190.9
P.Hillis,CLE,11.481250000000001,16.875,73.5625,64.898125,69.1175,11,1177.0,11.0,183.7
B.Green-Ellis,NE,10.770588235294122,14.0,61.8235294117647,49.033529411764704,49.66176470588235,13,1051.0,13.0,183.10000000000002
A.Bradshaw,NYG,10.73125,17.3125,77.1875,58.42062499999999,55.926874999999995,8,1237.0,8.0,171.7
M.Jones-Drew,JAX,12.028571428571427,21.357142857142858,94.57142857142857,66.43285714285715,63.69357142857143,5,1324.0,6.0,168.4
R.Rice,BAL,9.27222222222222,18.666666666666668,72.72222222222223,61.68555555555555,68.42500000000001,6,1309.0,6.0,166.9
S.Jackson,LA,10.00625,20.625,77.5625,78.736875,81.61062499999998,6,1241.0,6.0,160.10000000000002
C.Benson,CIN,9.95625,20.125,69.4375,76.171875,71.674375,7,1113.0,8.0,159.3
M.Forte,CHI,8.772222222222222,15.5,67.72222222222223,59.11222222222221,62.73555555555554,6,1219.0,6.0,157.9
D.McFadden,LV,12.13076923076923,17.153846153846153,89.0,57.80615384615385,54.23000000000001,7,1157.0,7.0,157.7
L.McCoy,PHI,9.662500000000001,13.6875,70.375,52.46874999999999,51.053124999999994,7,1126.0,7.0,154.60000000000002
L.Tomlinson,NYJ,8.527777777777779,14.11111111111111,58.611111111111114,44.84611111111111,42.49111111111111,8,1055.0,8.0,153.5
L.Blount,TB,10.976923076923075,15.461538461538462,77.46153846153847,55.88307692307691,56.18846153846154,6,1007.0,7.0,142.7
M.Tolbert,LAC,9.313333333333336,12.2,49.0,43.32733333333333,41.974,11,737.0,11.0,139.7
B.Jacobs,NYG,8.51875,9.1875,51.4375,30.6775,35.948750000000004,9,823.0,9.0,136.3
M.Vick,PHI,10.06153846153846,8.307692307692308,54.46153846153846,33.56615384615385,37.291538461538465,10,708.0,10.0,130.8
M.Lynch,BUF,7.166666666666667,12.5,48.333333333333336,51.60055555555555,50.20055555555555,7,870.0,7.0,129.0
T.Jones,KC,7.476470588235294,14.705882352941176,53.588235294117645,41.22941176470588,29.692352941176463,6,911.0,6.0,127.10000000000001
F.Jackson,BUF,7.668749999999999,13.9375,57.9375,53.619375000000005,54.167500000000004,5,927.0,5.0,122.7
S.Greene,NYJ,6.355555555555557,12.777777777777779,53.55555555555556,39.36333333333333,39.46611111111111,3,964.0,3.0,114.4
M.Bush,LV,8.107142857142858,11.285714285714286,46.785714285714285,33.64214285714285,31.673571428571424,8,655.0,8.0,113.5
R.Mathews,LAC,9.125000000000002,13.083333333333334,56.25,45.64416666666667,52.19833333333333,7,675.0,7.0,109.5
K.Moreno,DEN,8.3,14.0,59.92307692307692,57.0976923076923,56.54538461538462,5,779.0,5.0,107.9
T.Hightower,ARI,6.475,9.625,46.0,50.247499999999995,48.434375,5,736.0,5.0,103.60000000000001
R.Brown,MIA,6.462500000000001,12.5625,45.875,44.778749999999995,44.041875000000005,5,734.0,5.0,103.4
F.Gore,SF,9.390909090909092,18.454545454545453,77.54545454545455,76.13636363636364,76.60818181818182,3,853.0,3.0,103.30000000000001
C.Ivory,NO,8.466666666666667,11.416666666666666,59.666666666666664,47.36666666666667,52.04833333333334,5,716.0,5.0,101.60000000000001
R.Torain,WAS,9.819999999999999,16.4,74.2,70.687,72.499,4,742.0,4.0,98.2
B.Jackson,GB,4.794736842105263,10.31578947368421,38.473684210526315,39.349999999999994,37.17947368421052,3,731.0,3.0,91.10000000000001
D.Woodhead,NE,5.953333333333334,7.4,39.53333333333333,27.760666666666665,32.88066666666666,5,593.0,5.0,89.30000000000001
J.Stewart,CAR,6.357142857142857,12.714285714285714,55.0,48.15428571428571,49.51928571428572,2,770.0,2.0,89.0
F.Jones,DAL,5.375,11.5625,50.0,43.82625000000001,45.065,1,800.0,1.0,86.0
J.Best,DET,5.299999999999999,11.4,37.0,45.74333333333333,43.916666666666664,4,555.0,4.0,79.5
J.Addai,IND,8.833333333333336,14.333333333333334,61.666666666666664,58.46555555555555,66.34444444444445,4,555.0,4.0,79.5
R.Williams,MIA,4.956250000000001,9.9375,42.0625,34.716875,37.915625000000006,2,673.0,2.0,79.3
W.McGahee,BAL,4.635294117647059,6.705882352941177,25.176470588235293,22.548823529411766,20.26294117647059,6,428.0,6.0,78.80000000000001
A.Rodgers,GB,4.052631578947367,4.105263157894737,21.57894736842105,16.626315789473683,22.63315789473684,6,410.0,6.0,77.0
R.Jennings,JAX,5.825,7.0,38.25,22.751666666666665,25.0975,4,459.0,4.0,69.9
J.Forsett,SEA,3.7333333333333334,7.0,30.666666666666668,30.66722222222223,34.007222222222225,2,552.0,2.0,67.2
M.Morris,DET,6.36,9.0,33.6,35.499,24.836000000000002,5,336.0,5.0,63.6
M.Goodson,CAR,5.266666666666667,8.583333333333334,37.666666666666664,31.8325,28.205000000000002,3,452.0,3.0,63.2
D.Brown,IND,5.141666666666667,10.75,41.416666666666664,46.70083333333333,49.22999999999999,2,497.0,2.0,61.7
M.Barber,DAL,4.723076923076923,8.692307692307692,28.76923076923077,35.85846153846153,32.92769230769231,4,374.0,4.0,61.4
C.Taylor,CHI,3.405555555555556,7.0,17.38888888888889,24.45833333333333,17.435,5,313.0,5.0,61.3
J.Kuhn,GB,3.68125,5.625,18.0625,21.810624999999998,18.049375,5,289.0,5.0,58.900000000000006
