RANK,PLAYER,RUSHING ATT,RUSHING YDS,RUSHING Y/A,RUSHING LG,RUSHING 20+,RUSHING TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,POS,IT,IT/G
1,Saquon Barkley (NYG),261,1307,5.0,78,16,11,91,121,721,7.9,4,0,16,385.8,24.1,98.1%,RB,382,23.875
2,Christian McCaffrey (CAR),219,1098,5.0,59,6,7,107,124,867,8.1,6,1,16,385.5,24.1,99.9%,RB,343,21.4375
3,Todd Gurley II (FA),256,1251,4.9,36,11,17,59,81,580,9.8,4,1,14,372.1,26.6,0.7%,RB,337,24.071428571428573
4,Alvin Kamara (NO),194,883,4.6,49,1,14,81,105,709,8.8,4,0,15,354.2,23.6,100.0%,RB,299,19.933333333333334
5,Ezekiel Elliott (DAL),304,1435,4.7,41,11,6,77,95,567,7.4,3,1,15,329.2,21.9,99.9%,RB,399,26.6
6,James Conner (ARI),215,973,4.5,30,9,12,55,71,497,9.0,1,2,13,280.0,21.5,94.8%,RB,286,22.0
7,James White (NE),94,425,4.5,27,5,5,87,123,751,8.6,7,0,16,276.6,17.3,9.4%,RB,217,13.5625
8,Melvin Gordon III (DEN),175,885,5.1,34,9,10,50,66,490,9.8,4,0,12,275.5,23.0,90.3%,RB,241,20.083333333333332
9,David Johnson (HOU),258,940,3.6,53,2,7,50,76,446,8.9,3,2,16,246.7,15.4,25.8%,RB,334,20.875
10,Joe Mixon (CIN),237,1168,4.9,51,11,8,43,55,296,6.9,1,0,14,243.4,17.4,99.7%,RB,292,20.857142857142858
11,Tarik Cohen (CHI),99,444,4.5,32,7,3,71,90,725,10.2,5,3,16,233.9,14.6,4.2%,RB,189,11.8125
12,Kareem Hunt (CLE),181,824,4.6,45,7,7,26,35,378,14.5,7,0,11,230.2,20.9,89.1%,RB,216,19.636363636363637
13,Phillip Lindsay (HOU),192,1037,5.4,65,8,9,35,47,241,6.9,1,0,15,222.8,14.9,10.8%,RB,239,15.933333333333334
14,Kenyan Drake (LV),120,535,4.5,54,4,4,53,73,477,9.0,5,1,16,206.2,12.9,67.1%,RB,193,12.0625
15,Chris Carson (SEA),247,1151,4.7,61,8,9,20,24,163,8.2,0,2,14,201.4,14.4,90.0%,RB,271,19.357142857142858
16,Derrick Henry (TEN),215,1059,4.9,99,4,12,15,18,99,6.6,0,1,16,201.3,12.6,86.5%,RB,233,14.5625
17,Nick Chubb (CLE),192,996,5.2,92,11,8,20,29,149,7.5,2,0,16,194.5,12.2,99.6%,RB,221,13.8125
18,Tevin Coleman (NYJ),167,800,4.8,65,8,4,32,44,276,8.6,5,0,16,193.6,12.1,3.0%,RB,211,13.1875
19,Adrian Peterson (TEN),251,1042,4.2,90,5,7,20,26,208,10.4,1,2,16,189.0,11.8,59.8%,RB,277,17.3125
20,Jordan Howard (PHI),250,935,3.7,42,5,9,20,27,145,7.3,0,1,16,180.0,11.3,43.1%,RB,277,17.3125
21,Marlon Mack (IND),195,908,4.7,49,7,9,17,26,103,6.1,1,2,12,178.1,14.8,3.0%,RB,221,18.416666666666668
22,T.J. Yeldon (FA),104,414,4.0,20,1,1,55,77,487,8.9,4,1,14,173.1,12.4,0.0%,RB,181,12.928571428571429
23,Lamar Miller (NO),210,973,4.6,97,6,5,25,35,163,6.5,1,1,14,172.6,12.3,0.0%,RB,245,17.5
24,Aaron Jones (GB),133,729,5.5,67,4,8,26,35,206,7.9,1,1,12,171.5,14.3,99.9%,RB,168,14.0
25,Austin Ekeler (LAC),106,554,5.2,41,4,3,39,53,404,10.4,3,1,14,168.8,12.1,99.9%,RB,159,11.357142857142858
26,Matt Breida (BUF),153,814,5.3,66,10,3,27,31,261,9.7,2,1,14,162.5,11.6,0.2%,RB,184,13.142857142857142
27,Nyheim Hines (IND),85,314,3.7,18,0,2,63,81,425,6.7,2,0,16,160.9,10.1,60.4%,RB,166,10.375
28,Dion Lewis (FA),155,517,3.3,36,2,1,59,67,400,6.8,1,1,16,160.7,10.0,2.0%,RB,222,13.875
29,Jalen Richard (LV),55,259,4.7,30,3,1,68,81,607,8.9,0,2,16,156.6,9.8,0.2%,RB,136,8.5
30,Dalvin Cook (MIN),133,615,4.6,70,4,2,40,49,305,7.6,2,2,11,152.0,13.8,100.0%,RB,182,16.545454545454547
31,Peyton Barber (LV),234,871,3.7,28,4,5,20,29,92,4.6,1,1,16,150.3,9.4,1.1%,RB,263,16.4375
32,Mark Ingram II (NO),138,645,4.7,38,3,6,21,27,170,8.1,1,1,12,142.5,11.9,68.0%,RB,165,13.75
33,Isaiah Crowell (FA),143,685,4.8,77,6,6,21,28,152,7.2,0,0,13,140.7,10.8,0.1%,RB,171,13.153846153846153
34,Kerryon Johnson (FA),118,641,5.4,71,6,3,32,39,213,6.7,1,1,10,139.4,13.9,0.1%,RB,157,15.7
35,Sony Michel (LAR),209,931,4.5,34,4,6,7,11,50,7.1,0,1,13,139.1,10.7,30.0%,RB,220,16.923076923076923
