Rusher,Team,Avg. Raw Fpts,Avg. Rushing Attempt,Avg. Rushing Yards,Avg. Rushing Share,Avg. Rushing Yards Share,Redzone Looks,yards_gained,touchdown,total_fpts
D.Murray,DAL,16.683333333333334,24.22222222222222,113.5,79.53055555555555,80.38111111111112,15,2043.0,16.0,300.3
M.Lynch,SEA,13.28421052631579,18.05263157894737,85.47368421052632,55.626315789473686,51.88105263157896,15,1624.0,15.0,252.4
J.Forsett,BAL,10.65,15.38888888888889,79.72222222222223,55.34777777777778,64.95166666666665,8,1437.0,8.0,191.70000000000002
E.Lacy,GB,10.627777777777778,15.88888888888889,72.94444444444444,58.643888888888895,60.721666666666664,9,1313.0,10.0,191.3
L.Bell,PIT,11.506250000000001,18.125,85.0625,67.64312499999998,78.23,8,1361.0,8.0,184.1
J.Hill,CIN,10.417647058823531,13.823529411764707,68.88235294117646,44.33588235294117,48.351176470588236,10,1171.0,10.0,177.10000000000002
A.Foster,HOU,13.27692307692308,20.0,95.84615384615384,57.95615384615385,66.80461538461537,8,1246.0,8.0,172.60000000000002
L.McCoy,PHI,10.118750000000002,19.5,82.4375,67.65187499999999,66.88,5,1319.0,5.0,161.9
L.Miller,MIA,9.86875,13.5,68.6875,56.950624999999995,58.860625,8,1099.0,8.0,157.9
J.Charles,KC,10.486666666666668,13.733333333333333,68.86666666666666,56.314666666666675,60.656666666666666,9,1033.0,9.0,157.3
A.Morris,WAS,9.712499999999999,16.5625,67.125,67.10750000000002,64.339375,8,1074.0,8.0,155.4
M.Ingram,NO,11.569230769230767,17.384615384615383,74.15384615384616,66.69076923076923,65.18307692307691,9,964.0,9.0,150.4
C.Anderson,DEN,9.393333333333334,13.133333333333333,61.93333333333333,49.02133333333334,54.29999999999999,8,929.0,8.0,140.9
M.Forte,CHI,8.75,16.6875,64.875,76.13625,72.88,6,1040.0,6.0,140.0
R.Wilson,SEA,7.131578947368421,7.105263157894737,49.21052631578947,21.28210526315789,27.90315789473684,7,935.0,7.0,135.5
F.Gore,SF,8.4125,15.9375,69.125,54.07125,49.122499999999995,4,1106.0,4.0,134.60000000000002
J.Bell,DET,8.26875,14.75,56.4375,60.390625,63.72999999999999,7,903.0,7.0,132.3
