PLAYER,POS,TGT,TGT/G,COMPLETION %,RUSHING ATT,RA/G,G,FPTS,FPTS/G
Jonathan Taylor (IND),RB,51,3.0,78.43,332,19.53,17,373.1,21.9
Austin Ekeler (LAC),RB,94,5.88,74.47,206,12.88,16,343.8,21.5
Najee Harris (PIT),RB,94,5.53,78.72,307,18.06,17,300.7,17.7
Joe Mixon (CIN),RB,48,3.0,87.5,292,18.25,16,287.9,18.0
James Conner (ARI),RB,39,2.6,94.87,202,13.47,15,257.7,17.2
Leonard Fournette (TB),RB,84,6.0,82.14,180,12.86,14,255.6,18.3
Ezekiel Elliott (DAL),RB,65,3.82,72.31,237,13.94,17,252.1,14.8
Alvin Kamara (NO),RB,67,5.15,70.15,240,18.46,13,234.7,18.1
Cordarrelle Patterson (ATL),RB,69,4.31,75.36,153,9.56,16,234.6,14.7
Antonio Gibson (WAS),RB,52,3.25,80.77,258,16.12,16,229.1,14.3
Aaron Jones (GB),RB,65,4.33,80.0,171,11.4,15,229.0,15.3
Josh Jacobs (LV),RB,64,4.27,84.38,217,14.47,15,226.0,15.1
Nick Chubb (CLE),RB,25,1.79,80.0,228,16.29,14,215.3,15.4
Damien Harris (NE),RB,20,1.33,90.0,202,13.47,15,210.1,14.0
D'Andre Swift (DET),RB,78,6.0,79.49,151,11.62,13,208.9,16.1
Dalvin Cook (MIN),RB,49,3.77,69.39,249,19.15,13,206.3,15.9
Javonte Williams (DEN),RB,53,3.12,81.13,203,11.94,17,204.9,12.1
Devin Singletary (BUF),RB,50,2.94,80.0,188,11.06,17,197.8,11.6
David Montgomery (CHI),RB,51,3.64,82.35,225,16.07,14,196.0,14.0
Darrel Williams (KC),RB,57,3.35,82.46,144,8.47,17,196.0,11.5
Melvin Gordon III (DEN),RB,38,2.38,73.68,203,12.69,16,195.2,12.2
Derrick Henry (TEN),RB,20,2.5,90.0,219,27.38,8,193.3,24.2
AJ Dillon (GB),RB,37,2.18,91.89,187,11.0,17,185.6,10.9
James Robinson (JAC),RB,46,3.29,67.39,164,11.71,14,173.9,12.4
Myles Gaskin (MIA),RB,63,3.71,77.78,173,10.18,17,173.6,10.2
Elijah Mitchell (SF),RB,20,1.67,95.0,207,17.25,12,165.0,13.8
Darrell Henderson Jr. (LAR),RB,40,3.33,72.5,149,12.42,12,163.4,13.6
Tony Pollard (DAL),RB,46,3.07,84.78,130,8.67,15,162.6,10.8
Michael Carter (NYJ),RB,55,3.93,65.45,147,10.5,14,154.4,11.0
Saquon Barkley (NYG),RB,57,4.07,71.93,162,11.57,14,148.6,10.6
Devonta Freeman (BAL),RB,42,2.62,80.95,133,8.31,16,146.6,9.2
Sony Michel (LAR),RB,33,1.94,63.64,208,12.24,17,146.3,8.6
Devontae Booker (FA),RB,45,2.81,88.89,145,9.06,16,144.1,9.0
Chase Edmonds (ARI),RB,53,4.42,81.13,116,9.67,12,143.3,11.9
Mike Davis (ATL),RB,58,3.41,75.86,138,8.12,17,138.2,8.1
Chuba Hubbard (CAR),RB,37,2.31,67.57,172,10.75,16,137.6,8.6
J.D. McKissic (WAS),RB,53,4.82,81.13,48,4.36,11,127.9,11.6
Christian McCaffrey (CAR),RB,41,5.86,90.24,99,14.14,7,127.5,18.2
Alexander Mattison (MIN),RB,39,2.44,82.05,134,8.38,16,125.9,7.9
Brandon Bolden (NE),RB,49,3.06,83.67,44,2.75,16,124.1,7.8
Kenneth Gainwell (PHI),RB,50,3.12,66.0,68,4.25,16,123.4,7.7
Rashaad Penny (SEA),RB,8,0.8,75.0,119,11.9,10,121.7,12.2
Jamaal Williams (DET),RB,28,2.15,92.86,153,11.77,13,119.8,9.2
Miles Sanders (PHI),RB,34,2.83,76.47,137,11.42,12,117.2,9.8
Ty Johnson (NYJ),RB,55,3.67,61.82,61,4.07,15,117.0,7.8
Clyde Edwards-Helaire (KC),RB,23,2.3,82.61,119,11.9,10,116.5,11.7
Rhamondre Stevenson (NE),RB,18,1.5,77.78,133,11.08,12,114.9,9.6
Nyheim Hines (IND),RB,57,3.35,70.18,56,3.29,17,112.6,6.6
Kareem Hunt (CLE),RB,27,3.38,81.48,78,9.75,8,110.0,13.8
Mark Ingram II (NO),RB,35,2.5,77.14,160,11.43,14,108.6,7.8
Zack Moss (BUF),RB,32,2.46,71.88,96,7.38,13,105.2,8.1
Rex Burkhead (HOU),RB,32,2.13,78.12,122,8.13,15,104.3,7.0
D'Ernest Johnson (CLE),RB,25,1.92,76.0,100,7.69,13,104.1,8.0
Latavius Murray (BAL),RB,13,0.93,76.92,119,8.5,14,103.6,7.4
Kenyan Drake (LV),RB,40,3.33,75.0,63,5.25,12,102.5,8.5
Boston Scott (PHI),RB,16,1.45,81.25,87,7.91,11,98.6,9.0
D'Onta Foreman (TEN),RB,11,1.22,81.82,133,14.78,9,93.9,10.4
Ameer Abdullah (CAR),RB,53,3.12,71.7,51,3.0,17,89.5,5.3
Justin Jackson (LAC),RB,25,1.79,88.0,68,4.86,14,86.2,6.2
Samaje Perine (CIN),RB,31,2.07,87.1,55,3.67,15,83.2,5.5
David Johnson (HOU),RB,42,3.23,76.19,67,5.15,13,81.3,6.3
Ronald Jones II (TB),RB,13,0.87,76.92,101,6.73,15,79.2,5.3
Khalil Herbert (CHI),RB,16,1.0,87.5,103,6.44,16,78.9,4.9
Kyle Juszczyk (SF),RB,38,2.53,78.95,8,0.53,15,73.8,4.9
Jeremy McNichols (FA),RB,38,2.92,73.68,41,3.15,13,73.6,5.7
Dontrell Hilliard (TEN),RB,26,3.25,73.08,56,7.0,8,72.7,9.1
Alex Collins (SEA),RB,10,0.91,90.0,108,9.82,11,68.8,6.3
Jordan Howard (PHI),RB,5,0.71,40.0,86,12.29,7,62.5,8.9
Travis Homer (SEA),RB,20,1.43,80.0,21,1.5,14,61.8,4.4
Damien Williams (CHI),RB,23,1.92,69.57,40,3.33,12,60.7,5.1
DeeJay Dallas (SEA),RB,23,1.35,91.3,33,1.94,17,60.1,3.5
Giovani Bernard (TB),RB,29,2.9,79.31,8,0.8,10,59.1,5.9
Duke Johnson Jr. (MIA),RB,5,1.0,80.0,71,14.2,5,59.1,11.8
Derrick Gore (KC),RB,9,1.12,88.89,51,6.38,8,56.1,7.0
Jaret Patterson (WAS),RB,12,0.86,83.33,68,4.86,14,55.9,4.0
Jeff Wilson Jr. (SF),RB,8,0.89,87.5,79,8.78,9,51.5,5.7
Tevin Coleman (NYJ),RB,16,1.45,68.75,84,7.64,11,51.5,4.7
Demetric Felton (CLE),RB,21,1.4,85.71,7,0.47,15,50.5,3.4
Dare Ogunbowale (JAC),RB,21,1.62,61.9,43,3.31,13,50.1,3.9
Peyton Barber (LV),RB,13,1.3,76.92,55,5.5,10,49.9,5.0
Chris Evans (CIN),RB,17,1.89,88.24,17,1.89,9,49.8,5.5
JaMycal Hasty (SF),RB,29,2.64,79.31,16,1.45,11,49.5,4.5
Chris Carson (SEA),RB,6,1.5,100.0,54,13.5,4,48.1,12.0
Carlos Hyde (FA),RB,22,1.83,54.55,72,6.0,12,45.8,3.8
Phillip Lindsay (MIA),RB,5,0.36,80.0,88,6.29,14,45.4,3.2
Matt Breida (BUF),RB,9,1.29,77.78,26,3.71,7,42.7,6.1
Ty'Son Williams (BAL),RB,12,1.5,75.0,35,4.38,8,41.9,5.2
Salvon Ahmed (MIA),RB,19,1.73,63.16,54,4.91,11,38.6,3.5
Le'Veon Bell (FA),RB,7,0.88,71.43,39,4.88,8,38.1,4.8
Ke'Shawn Vaughn (TB),RB,8,1.33,50.0,36,6.0,6,36.6,6.1
Elijhaa Penny (NYG),RB,13,1.0,69.23,24,1.85,13,35.9,2.8
Jerick McKinnon (KC),RB,20,2.22,65.0,12,1.33,9,35.9,4.0
Craig Reynolds (DET),RB,8,1.6,87.5,55,11.0,5,35.2,7.0
Royce Freeman (HOU),RB,16,1.33,62.5,56,4.67,12,34.6,2.9
C.J. Ham (MIN),RB,18,1.2,94.44,7,0.47,15,32.9,2.2
James White (NE),RB,14,4.67,85.71,10,3.33,3,31.2,10.4
Ty Montgomery (NO),RB,26,1.86,61.54,15,1.07,14,29.9,2.1
Corey Clement (DAL),RB,7,0.64,85.71,33,3.0,11,28.9,2.6
Trey Sermon (SF),RB,4,0.67,75.0,41,6.83,6,28.3,4.7
Eno Benjamin (ARI),RB,7,0.88,85.71,34,4.25,8,28.0,3.5
Adrian Peterson (SEA),RB,4,1.0,100.0,38,9.5,4,26.6,6.7
Jermar Jefferson (DET),RB,5,1.0,80.0,15,3.0,5,25.7,5.1
Alec Ingold (LV),RB,12,1.71,83.33,2,0.29,7,24.6,3.5
Jalen Richard (FA),RB,14,1.56,85.71,9,1.0,9,23.2,2.6
Kene Nwangwu (MIN),RB,5,0.56,80.0,13,1.44,9,23.0,2.6
Malcolm Brown (MIA),RB,5,0.83,60.0,33,5.5,6,22.5,3.8
Tony Jones Jr. (NO),RB,8,0.8,62.5,54,5.4,10,22.1,2.2
Patrick Ricard (BAL),RB,13,1.62,61.54,2,0.25,8,20.7,2.6
Jonathan Williams (WAS),RB,6,1.2,66.67,17,3.4,5,20.7,4.1
Qadree Ollison (ATL),RB,6,1.0,66.67,21,3.5,6,19.7,3.3
Austin Walter (NYJ),RB,3,0.75,66.67,26,6.5,4,19.0,4.8
J.J. Taylor (NE),RB,4,0.8,100.0,19,3.8,5,18.5,3.7
Godwin Igwebuike (DET),RB,10,0.67,70.0,18,1.2,15,18.0,1.2
Keith Smith (ATL),RB,10,0.77,90.0,9,0.69,13,17.7,1.4
Patrick Taylor Jr. (GB),RB,2,0.4,100.0,23,4.6,5,17.2,3.4
