Receiver,Team,Avg. Raw Fpts,Avg. Targets,Avg. Air Yards,Avg. Target Share,Avg. Air Yards Share,Redzone Looks,Avg. WOPR,total_fpts
A.Brown,PIT,20.40555555555556,10.333333333333334,104.0,28.915000000000003,36.635000000000005,23,69.02,367.3
J.Jones,ATL,19.429411764705883,9.058823529411764,123.29411764705883,26.546470588235287,39.90529411764707,9,67.75,330.3
J.Nelson,GB,18.205555555555556,9.11111111111111,114.33333333333333,24.261111111111106,32.474999999999994,23,59.12,327.70000000000005
O.Beckham,NYG,17.911764705882355,10.588235294117647,113.94117647058823,28.41588235294118,38.42058823529412,19,69.52,304.5
M.Evans,TB,18.781249999999996,10.9375,160.1875,30.481875,43.86000000000001,26,76.42,300.5
D.Adams,GB,15.610526315789475,7.7894736842105265,90.73684210526316,19.896315789473682,25.434736842105263,18,47.65,296.6
D.Baldwin,SEA,16.399999999999995,8.166666666666666,73.0,24.10722222222222,24.23,17,53.12,295.20000000000005
J.Edelman,NE,15.157894736842104,10.31578947368421,98.3157894736842,29.022631578947365,32.61631578947369,11,66.37,288.0
T.Hilton,IND,17.0,9.8125,118.625,27.461875,39.941874999999996,9,69.15,272.0
M.Thomas,NO,17.313333333333333,8.066666666666666,64.06666666666666,19.483333333333338,22.466666666666665,8,44.95,259.7
J.Landry,MIA,14.882352941176471,8.647058823529411,54.11764705882353,28.41176470588235,22.692941176470587,1,58.5,253.0
L.Fitzgerald,ARI,15.331250000000002,9.375,71.875,23.418124999999996,19.02375,10,48.44,245.3
B.Cooks,NO,16.220000000000002,7.8,101.46666666666667,18.755999999999997,32.396,5,50.81,243.3
M.Crabtree,LV,14.28235294117647,9.058823529411764,92.88235294117646,24.210588235294118,33.05882352941177,21,59.46,242.8
T.Kelce,KC,13.788235294117648,7.352941176470588,52.11764705882353,21.742941176470588,22.98705882352941,8,48.71,234.4
A.Cooper,LV,13.629411764705882,8.529411764705882,85.11764705882354,22.415294117647054,27.59705882352941,9,52.94,231.7
D.Thomas,DEN,14.281250000000002,9.0625,92.5625,26.418124999999996,30.373124999999995,8,60.89,228.5
G.Tate,DET,13.43529411764706,8.294117647058824,66.11764705882354,23.345882352941175,24.96470588235294,6,52.49,228.4
D.Hopkins,HOU,12.583333333333336,9.38888888888889,107.38888888888889,26.514999999999997,35.72166666666667,14,64.78,226.5
Ty.Williams,LAC,13.556250000000002,7.4375,85.1875,21.348125,27.579375,10,51.33,216.9
R.Matthews,TEN,13.343750000000002,6.8125,89.1875,22.304375000000004,31.390624999999996,13,55.43,213.5
E.Sanders,DEN,14.146666666666667,9.133333333333333,112.2,26.96266666666667,36.604000000000006,14,66.07,212.2
D.Bryant,DAL,15.128571428571428,7.857142857142857,107.07142857142857,25.439999999999998,40.354285714285716,14,66.41,211.8
J.Graham,SEA,11.733333333333334,5.666666666666667,51.833333333333336,17.258333333333333,18.305555555555557,14,38.7,211.2
K.Rudolph,MIN,13.0625,8.3125,53.5,22.843125,22.588749999999997,11,50.08,209.0
R.Cobb,GB,12.9375,6.75,48.9375,16.63875,14.18625,11,34.89,207.0
G.Olsen,CAR,12.84375,8.25,87.875,23.761250000000004,25.468749999999996,11,53.47,205.5
T.Pryor,CLE,12.61875,8.875,123.0,24.871250000000003,40.42312499999999,15,65.6,201.9
P.Garcon,WAS,12.568750000000001,7.125,73.5625,20.251875000000002,23.001875000000005,9,46.48,201.10000000000002
K.Benjamin,CAR,12.475000000000003,7.375,89.25,21.256875,25.3725,14,49.65,199.60000000000002
K.Britt,LA,13.213333333333333,7.4,84.33333333333333,22.56933333333333,35.07666666666667,7,58.41,198.2
M.Wallace,BAL,12.36875,7.3125,88.375,17.615625,27.463750000000005,8,45.65,197.9
A.Robinson,JAX,12.343750000000002,9.5,123.0625,24.28125,38.71249999999999,16,63.52,197.5
C.Beasley,DAL,11.576470588235296,6.117647058823529,36.411764705882355,20.351764705882353,14.522352941176473,3,40.69,196.8
A.Thielen,MIN,12.23125,5.75,61.8125,15.568750000000003,25.566875000000003,4,41.25,195.7
J.Crowder,WAS,12.106250000000001,6.1875,50.125,16.19625,16.01875,10,35.51,193.7
S.Diggs,MIN,14.792307692307693,8.615384615384615,73.15384615384616,23.686923076923076,29.412307692307692,4,56.12,192.3
C.Hogan,NE,10.677777777777775,4.5,64.11111111111111,12.374444444444444,22.492777777777775,6,34.31,192.2
D.Johnson,ARI,12.006250000000001,7.5625,33.0625,19.257499999999997,9.093125,7,35.25,192.10000000000002
S.Shepard,NYG,11.975000000000001,7.125,68.0625,18.564375,22.153750000000002,12,43.35,191.60000000000002
J.White,NE,9.936842105263157,5.684210526315789,9.31578947368421,15.361052631578948,2.386315789473684,2,24.71,188.8
M.Bennett,NE,9.889473684210527,4.631578947368421,25.36842105263158,13.166842105263157,8.800526315789476,8,25.91,187.9
D.Walker,TEN,12.466666666666667,6.8,64.4,22.925333333333334,22.97333333333334,9,50.47,187.0
A.Green,CIN,18.64,10.0,123.6,30.433000000000003,41.471000000000004,6,74.68,186.4
B.LaFell,CIN,11.637499999999998,6.6875,66.9375,20.525624999999998,27.750625,11,50.21,186.2
W.Snead,NO,12.366666666666664,6.933333333333334,48.46666666666667,17.141333333333332,15.934666666666665,7,36.87,185.5
M.Jones,DET,11.50625,6.875,96.25,19.18125,36.069375,11,54.02,184.10000000000002
Z.Ertz,PHI,13.114285714285714,7.571428571428571,60.857142857142854,18.32,20.84642857142857,8,42.07,183.60000000000002
M.Sanu,ATL,10.2,5.333333333333333,43.0,15.662777777777778,14.133333333333335,10,33.39,183.60000000000002
K.Stills,MIA,10.694117647058823,5.0588235294117645,72.6470588235294,17.078823529411764,30.968823529411765,7,47.3,181.8
D.Jackson,WAS,12.033333333333333,6.666666666666667,99.26666666666667,18.108666666666668,30.50466666666666,8,48.52,180.5
S.Smith,BAL,12.87857142857143,7.428571428571429,62.357142857142854,18.606428571428573,21.642857142857142,5,43.06,180.3
C.Meredith,CHI,12.77142857142857,6.928571428571429,68.57142857142857,19.242142857142856,21.96,8,44.24,178.8
A.Boldin,DET,10.458823529411767,5.9411764705882355,34.05882352941177,16.743529411764708,14.295294117647057,10,35.12,177.8
J.Witten,DAL,10.762500000000001,6.5,42.875,20.35375,17.285,8,42.63,172.2
J.Matthews,PHI,12.242857142857142,8.5,80.92857142857143,23.377142857142854,30.504285714285718,11,56.42,171.4
C.Brate,TB,11.4,5.4,52.6,15.35,14.725999999999999,10,33.33,171.0
D.Pitta,BAL,10.681249999999999,7.5625,46.5625,17.51125,15.243125000000001,4,36.94,170.9
J.Reed,WAS,14.216666666666667,7.5,53.666666666666664,19.430000000000003,17.20333333333333,10,41.19,170.60000000000002
Q.Enunwa,NYJ,10.481250000000001,6.5625,58.625,19.243125,19.358125000000005,9,42.42,167.7
M.Lee,JAX,10.381250000000001,6.5625,75.625,17.321250000000003,24.00625,5,42.79,166.10000000000002
D.Parker,MIA,10.24375,5.875,69.0625,19.405625,27.740624999999998,10,48.53,163.9
T.Hill,KC,9.623529411764705,5.235294117647059,38.76470588235294,15.642941176470588,17.512941176470587,3,35.72,163.6
D.Inman,LAC,10.187500000000002,6.0625,66.375,16.956875,22.241875,6,41.0,163.0
B.Marshall,NYJ,10.813333333333334,8.533333333333333,106.8,24.90066666666667,35.08533333333333,14,61.91,162.2
T.Gabriel,ATL,10.333333333333334,4.266666666666667,46.2,13.68,17.676666666666666,1,32.89,155.0
T.Ginn,CAR,9.575000000000001,5.9375,73.0625,17.120625,20.23125,4,39.84,153.2
L.Bell,PIT,10.935714285714285,7.285714285714286,-1.4285714285714286,20.091428571428573,-0.5935714285714289,4,29.72,153.1
C.Fiedorowicz,HOU,8.941176470588234,5.764705882352941,40.88235294117647,16.95941176470588,14.565294117647062,10,35.63,152.0
A.Gates,LAC,11.523076923076925,7.230769230769231,59.15384615384615,20.09538461538462,19.446923076923074,10,43.76,149.8
E.Rogers,PIT,9.35,5.25,47.1875,14.160000000000004,14.244374999999998,4,31.21,149.60000000000002
J.Kerley,SF,9.29375,7.1875,61.75,24.433124999999997,26.0975,3,54.92,148.7
J.Doyle,IND,9.2125,4.6875,29.1875,13.183125,9.421249999999999,6,26.37,147.4
A.Jeffery,CHI,12.174999999999999,7.833333333333333,105.83333333333333,23.021666666666665,34.689166666666665,12,58.81,146.10000000000002
D.Freeman,ATL,8.055555555555554,4.333333333333333,6.611111111111111,13.005555555555553,1.9622222222222223,2,20.88,145.0
