PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,AVG
L.Murray,NO,44.12,15.79,60.0,33.33,32.0,,37.93,26.67,27.03,30.0,33.33,43.18,13.89,20.0,23.53,26.67,,11.43,,,,29.93125
L.Jackson,BAL,23.33,43.24,42.86,21.88,8.33,24.32,,34.04,34.21,39.29,39.39,,35.14,27.27,27.03,32.5,20.37,45.71,28.12,,,31.001764705882344
T.Cohen,CHI,25.0,15.62,8.0,,,,,,,,,,,,,,,,,,,16.206666666666667
M.Gaskin,MIA,32.14,31.82,61.11,45.45,48.48,72.0,,72.0,,,,,75.0,,,56.0,35.0,,,,,52.9
C.Akers,LA,35.0,7.69,,,25.71,,,31.03,,34.48,25.0,32.14,67.74,80.56,78.95,,70.0,65.12,94.74,,,49.85846153846155
T.Ervin,GB,9.38,,3.85,,,,,,25.81,4.0,,,,,,,,,,,,10.76
A.Gibson,WAS,25.0,54.17,40.91,59.09,78.57,37.5,51.28,,66.67,50.0,47.06,55.56,9.52,,,52.63,70.37,60.87,,,,50.61333333333333
B.Scott,PHI,52.94,14.81,8.33,7.14,6.25,10.0,44.44,55.56,,12.5,20.0,13.33,8.0,8.33,,6.9,51.72,,,,,21.35
K.Cousins,MIN,16.67,,6.06,10.0,4.76,,,,,3.03,3.45,12.5,7.89,15.15,10.71,,16.13,,,,,9.668181818181818
R.Burkhead,NE,16.67,23.08,15.79,31.43,,19.23,18.18,17.65,29.27,15.38,16.67,,,,,,,,,,,20.335
D.Prescott,DAL,11.11,15.62,28.57,15.0,6.9,,,,,,,,,,,,,,,,,15.440000000000001
D.Singletary,BUF,28.12,43.48,61.9,75.0,50.0,43.48,29.63,36.84,10.53,22.22,,36.67,66.67,25.93,33.33,32.26,12.0,14.29,43.75,33.33,,36.812105263157896
D.Booker,LV,12.9,8.57,13.64,,20.0,,12.5,11.11,30.77,39.02,19.23,35.71,64.0,18.18,7.32,25.0,21.74,,,,,22.646
M.Ingram,BAL,33.33,24.32,33.33,25.0,45.83,13.51,,,,17.86,6.06,,16.22,,,,16.67,,,,,23.213
R.Wilson,SEA,15.0,16.67,23.08,15.38,31.25,,20.0,21.43,11.76,36.36,32.26,20.0,31.82,2.78,23.08,12.5,18.52,16.0,,,,20.46411764705882
J.Taylor,NE,9.52,3.85,28.95,,,,,,,,,,,,4.55,25.0,,,,,,14.374
M.Mack,IND,18.18,,,,,,,,,,,,,,,,,,,,,18.18
C.Edmonds,ARI,16.67,9.38,11.11,17.39,10.0,14.29,15.15,,67.57,22.22,11.11,17.65,28.57,16.28,36.67,,16.67,,,,,20.715333333333334
M.Trubisky,CHI,10.71,12.5,4.0,,,,,4.35,,,,18.75,9.68,17.39,19.05,6.06,12.9,15.79,,,,11.925454545454546
T.Bridgewater,CAR,13.33,,9.52,17.14,11.11,27.59,14.29,22.73,8.33,18.75,,7.14,,14.29,14.81,17.14,15.0,,,,,15.083571428571426
J.McKinnon,SF,12.0,10.34,40.0,70.0,5.26,16.22,8.11,13.64,70.59,72.0,,9.09,,,,3.33,,,,,,27.54833333333333
F.Gore,NYJ,40.0,72.41,51.72,54.17,32.14,50.0,50.0,40.0,66.67,,62.5,78.26,2.94,34.78,74.19,41.18,,,,,,50.06399999999999
P.Lindsay,DEN,26.92,,,,,62.16,27.27,37.5,36.36,21.05,48.48,27.27,42.42,36.67,39.29,,,,,,,36.85363636363637
J.Edelman,NE,2.38,,2.63,,,,,,,,,,,,,,,,,,,2.505
M.Stafford,DET,17.24,4.76,3.7,13.64,,12.82,4.76,7.69,,,23.53,3.45,9.09,6.67,7.41,,9.09,,,,,9.526923076923078
D.Williams,KC,20.59,,6.45,4.0,5.0,,,,,,,,,,,,,,,,,9.01
M.Breida,MIA,17.86,31.82,8.33,13.64,27.27,24.0,,16.0,,,11.76,32.0,,,28.57,,,,,,,21.125
J.Taylor,IND,40.91,65.0,41.94,44.74,66.67,80.0,,27.5,28.57,24.14,57.89,,44.83,64.52,69.57,64.29,81.08,70.97,,,,54.53875
J.White,NE,11.9,,,8.57,,15.38,,5.88,4.88,,20.83,16.67,,10.34,9.09,16.67,,,,,,12.021
D.Jones,NYG,20.0,16.67,33.33,24.0,7.41,26.92,18.18,12.5,17.14,25.0,,14.29,,,,8.33,32.14,,,,,19.685384615384613
J.Williams,GB,21.88,25.0,23.08,30.77,,19.05,70.37,68.0,,32.0,27.78,43.59,20.0,32.26,3.7,,26.32,,33.33,43.75,,32.55499999999999
C.Carson,SEA,30.0,56.67,53.85,61.54,50.0,,16.67,,,,,26.67,59.09,33.33,57.69,66.67,40.74,64.0,,,,47.45538461538461
R.Fitzpatrick,MIA,21.43,13.64,19.44,27.27,9.09,4.0,,,,,11.76,12.0,,,,,,,,,,14.828750000000001
C.Patterson,CHI,14.29,21.88,16.0,17.65,21.43,4.0,17.65,4.35,15.0,70.59,,12.5,32.26,26.09,2.38,,12.9,5.26,,,,18.389374999999998
G.Minshew,JAX,21.74,14.81,17.65,,,,,,,,,,,,,,,,,,,18.066666666666666
A.Lazard,GB,3.12,,3.85,,,,,,,,,,,,,,,,,,,3.4850000000000003
C.Clement,PHI,35.29,,8.33,7.14,,,7.41,18.52,,4.17,,6.67,,,,,3.45,,,,,11.3725
T.Coleman,SF,16.0,48.28,,,,,,13.64,,,,,9.52,,8.33,6.67,,,,,,17.073333333333334
D.Haskins,WAS,19.44,8.33,9.09,13.64,,,,,,,,,,14.29,14.29,,,,,,,13.179999999999998
G.Edwards,BAL,13.33,27.03,19.05,28.12,29.17,37.84,,34.04,28.95,25.0,9.09,32.14,18.92,21.21,24.32,37.5,22.22,22.86,31.25,,,25.668888888888887
J.Goff,LA,10.0,17.95,6.25,13.04,8.57,5.26,11.76,,,17.24,5.0,17.86,12.9,11.11,5.26,24.14,,9.3,5.26,,,11.306249999999999
