PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,AVG
K.Vaughn,TB,,,,11.11,,14.29,,,,,,,,3.85,11.11,57.69,,16.67,,,,19.12
C.Board,NYG,,,,4.0,,,,,,,,,,,,,,,,,,4.0
J.Stidham,NE,,,,5.71,,,9.09,,,,,,4.65,3.45,,,,,,,,5.7250000000000005
A.Cooper,DAL,,,,5.0,3.45,,3.85,,3.23,,,,3.57,,9.09,,,,,,,4.698333333333333
S.Carlson,CLE,,,,2.44,,,,,,,,,,,,,,,,,,2.44
A.Ingold,LV,,,,4.35,,,,2.22,,,,,,,2.44,,,,,,,3.0033333333333334
R.Gage,ATL,,,,4.0,,,,,,,,,,,,,3.85,,,,,3.925
A.Roberts,BUF,,,,4.17,,,,,,,,,,,,,,,,,,4.17
D.Mooney,CHI,,,,5.88,,,,,,,,,,4.35,2.38,3.03,,,,,,3.9099999999999997
B.Rypien,DEN,,,,15.62,,,,,,,,,,,,,,,,,,15.62
A.Killins,PHI,,,,3.57,,,,,,,,,,,,,,,,,,3.57
E.Engram,NYG,,,,,7.41,,9.09,4.17,,,,,,,,8.33,,,,,,7.25
K.Allen,WAS,,,,,7.14,8.33,10.26,,,,,,,,,,,,,,,8.576666666666666
R.McCloud,PIT,,,,,6.25,,,,,5.0,3.7,,,,,,,,,,,4.983333333333333
D.Duvernay,BAL,,,,,4.17,,,,2.63,,,,,,,2.5,1.85,,,,,2.7875
J.Flacco,NYJ,,,,,14.29,4.55,,,,,4.17,,,,,,,,,,,7.669999999999999
M.Boone,MIN,,,,,4.76,7.69,,,,,,,,6.06,,5.88,16.13,,,,,8.104
B.Berrios,NYJ,,,,,3.57,,,,,,,,,,,,8.0,,,,,5.785
T.Johnson,LAC,,,,,3.12,,6.06,,,,,,,,,,,,,,,4.59
A.Janovich,CLE,,,,,6.06,,,,,,,,,,,,,,,,,6.06
E.Penny,NYG,,,,,3.7,,,,2.86,2.78,,,6.45,,4.76,,,,,,,4.109999999999999
R.Anderson,CAR,,,,,3.7,,,,,,,,,9.52,3.7,,,,,,,5.64
A.Dulin,IND,,,,,5.56,,,,,,,,,,,3.57,,,,,,4.5649999999999995
K.Cole Sr.,JAX,,,,,5.0,,,,,,,,,,,,,,,,,5.0
M.Thomas,CIN,,,,,3.57,,,,,,,,,,,,,,,,,3.57
C.Fejedelem,MIA,,,,,3.03,,,,,,,,,,,4.0,,,,,,3.5149999999999997
M.Brown,BAL,,,,,4.17,,,,,,,,,,,,,5.71,,,,4.9399999999999995
A.Smith,WAS,,,,,7.14,,,,,7.69,8.82,8.33,,,,,3.7,,,,,7.136
T.Wesco,NYJ,,,,,3.57,,,,,,,,,,,,,,,,,3.57
A.Dalton,DAL,,,,,3.45,7.41,11.54,,,,9.38,16.67,3.57,4.0,9.09,14.71,25.93,,,,,10.575
T.Cannon,CAR,,,,,7.41,10.34,7.14,,,,,10.71,,4.76,,,,,,,,8.072
J.Guyton,LAC,,,,,3.12,,,,,,,,,,3.45,,,,,,,3.285
Darr.Williams,KC,,,,,,13.04,,15.0,,,,,27.27,,7.32,47.62,,,54.17,52.0,11.76,28.5225
T.Burton,IND,,,,,,6.67,,2.5,,,,,,,,,,,,,,4.585
T.Johnson,NYJ,,,,,,13.64,,12.0,,,,8.7,64.71,34.78,9.68,5.88,44.0,,,,,24.17375
R.Dowdle,DAL,,,,,,11.11,,,,,,,,,18.18,,,,,,,14.645
D.Spencer,DEN,,,,,,2.7,,,,,,,,,,3.57,3.12,,,,,3.1300000000000003
A.Abdullah,MIN,,,,,,15.38,,,,,,,5.26,9.09,,5.88,,,,,,8.9025
B.Gabbert,TB,,,,,,8.57,,,20.0,8.11,,,,,,7.69,,,,,,11.0925
M.Hall,DET,,,,,,2.56,,,,,,,,,,,,,,,,2.56
S.Perine,CIN,,,,,,3.12,4.76,31.25,,33.33,27.78,,17.65,33.33,9.76,39.39,47.37,,,,,24.774
D.Slayton,NYG,,,,,,3.85,,,2.86,,,,,,,,,,,,,3.355
M.Rudolph,PIT,,,,,,8.11,,,,,11.11,,,,,,5.0,,,,,8.073333333333332
C.Henne,KC,,,,,,,18.18,5.0,,,,,,,,,11.76,,8.33,,,10.817499999999999
L.Bell,KC,,,,,,,27.27,30.0,36.36,,25.93,25.0,50.0,8.33,36.59,33.33,,,8.33,,,28.113999999999997
D.Jackson,PHI,,,,,,,3.7,,,,,,,,,,,,,,,3.7
M.Valdes-Scantling,GB,,,,,,,3.7,4.0,,,,,4.0,,,,5.26,,,,,4.24
T.Pope,LAC,,,,,,,3.03,26.32,,,11.54,4.17,,,,,,,,,,11.265
D.Washington,KC,,,,,,,13.64,,,,,,,,,,,,,,,13.64
J.Landry,CLE,,,,,,,9.09,,,,2.5,,,,,,3.23,,,,,4.94
J.Meyers,NE,,,,,,,4.55,,,,,,,,,,3.45,,,,,4.0
M.Hartsfield,CAR,,,,,,,14.29,,,,,,,,,,,,,,,14.29
J.Heath,LV,,,,,,,4.17,,,,,,,,,,,,,,,4.17
O.Zaccheaus,ATL,,,,,,,3.85,,,,,,,,,,,,,,,3.85
B.DiNucci,DAL,,,,,,,3.85,14.29,,,,,,,,,,,,,,9.07
E.Stick,LAC,,,,,,,3.03,,,,,,,,,,,,,,,3.03
D.Foreman,TEN,,,,,,,,17.24,16.13,21.88,2.86,8.89,,,,,,,,,,13.4
A.Morris,NYG,,,,,,,,33.33,25.71,22.22,,9.52,25.81,17.65,33.33,25.0,17.86,,,,,23.38111111111111
J.Reagor,PHI,,,,,,,,3.7,,,,,4.0,2.78,3.23,,,,,,,3.4275
G.Olszewski,NE,,,,,,,,2.94,7.32,,,3.33,,,,,,,,,,4.53
N.Bellore,SEA,,,,,,,,3.57,,,,,,,,,,,,,,3.57
Q.Ollison,ATL,,,,,,,,2.78,,,,,,,,,,,,,,2.78
M.Williams,LAC,,,,,,,,2.63,,,,,,,,,,,,,,2.63
T.Tagovailoa,MIA,,,,,,,,8.0,28.0,18.75,,,10.71,25.0,7.14,12.0,30.0,,,,,17.450000000000003
C.Jones,DAL,,,,,,,,2.86,,,,,,,,,,,,,,2.86
M.Perry,MIA,,,,,,,,4.0,,3.12,,,,,2.38,,,,,,,3.1666666666666665
C.Wilson,DAL,,,,,,,,5.71,,,,5.56,,,,,,,,,,5.635
K.Ballage,LAC,,,,,,,,,46.88,62.07,61.54,,46.67,26.92,27.59,20.0,37.14,,,,,41.10125
J.Luton,JAX,,,,,,,,,3.7,,,,,,,,,,,,,3.7
S.Ahmed,MIA,,,,,,,,,28.0,65.62,70.59,,,,54.76,24.0,30.0,,,,,45.495000000000005
G.Gilbert,DAL,,,,,,,,,9.68,,,,,,,,,,,,,9.68
D.Harris,IND,,,,,,,,,9.52,,5.26,4.55,3.45,,,,,,,,,5.694999999999999
B.Mingo,CHI,,,,,,,,,5.0,,,,,,,,,,,,,5.0
D.Washington,NO,,,,,,,,,13.51,,,6.82,,,,,,,4.0,,,8.11
M.Taylor,GB,,,,,,,,,3.23,,,,,,,,,,,,,3.23
D.Williams,GB,,,,,,,,,6.45,,,,,,,,,,,,,6.45
J.Lovett,GB,,,,,,,,,9.68,,,,,,,,,,,,,9.68
C.Daniel,DET,,,,,,,,,3.7,,,,,,3.7,,,,,,,3.7
A.Collins,SEA,,,,,,,,,11.76,50.0,,,,,,,18.52,,,,,26.76
B.Powell,ATL,,,,,,,,,3.12,,7.14,,,,,,,,,,,5.13
D.Foster,ARI,,,,,,,,,2.7,,,,,,,3.7,,,,,,3.2
D.Amendola,DET,,,,,,,,,3.7,,,,,,,,,,,,,3.7
M.Skura,BAL,,,,,,,,,2.63,,,,,,,,,,,,,2.63
P.Laird,MIA,,,,,,,,,4.0,6.25,,4.0,10.71,16.67,4.76,,,,,,,7.7316666666666665
J.Winston,NO,,,,,,,,,8.11,13.33,,,,,,,3.33,,,,,8.256666666666666
J.Smith,TEN,,,,,,,,,,3.12,,,,2.5,,,,,,,,2.81
S.Williams,CIN,,,,,,,,,,4.76,,6.67,,,,,,,,,,5.715
T.Williams,CIN,,,,,,,,,,23.81,,6.67,,40.0,4.88,6.06,21.05,,,,,17.07833333333333
M.Pittman,IND,,,,,,,,,,3.45,,,,3.23,,,2.7,3.23,,,,3.1525
R.Smith,CAR,,,,,,,,,,18.75,23.53,25.0,,9.52,14.81,20.0,50.0,,,,,23.087142857142858
A.Pierce,CHI,,,,,,,,,,17.65,,,,,,6.06,3.23,,,,,8.979999999999999
A.Walter,SF,,,,,,,,,,4.0,,,,,,,,,,,,4.0
D.Washington,MIA,,,,,,,,,,6.25,,52.0,,54.17,,,,,,,,37.473333333333336
R.Nall,CHI,,,,,,,,,,5.88,,,,,,6.06,,5.26,,,,5.733333333333333
A.Brown,TB,,,,,,,,,,2.7,5.56,,,,,,,3.33,,,,3.8633333333333333
B.Scarbrough,SEA,,,,,,,,,,,19.35,,,,,,,,,,,19.35
D.Moore,CAR,,,,,,,,,,,2.94,,,,3.7,,,,,,,3.3200000000000003
R.Finley,CIN,,,,,,,,,,,5.56,,,,24.39,,,,,,,14.975
D.Byrd,NE,,,,,,,,,,,4.17,,,,,,3.45,,,,,3.81
L.Thomas,WAS,,,,,,,,,,,2.94,2.78,,,,5.26,,,,,,3.66
T.Higbee,LA,,,,,,,,,,,5.0,,,,,,,,,,,5.0
P.Walker,CAR,,,,,,,,,,,14.71,,,,,,,,,,,14.71
T.Long,LAC,,,,,,,,,,,3.85,,,,,,,,,,,3.85
W.Gallman Jr.,NYG,,,,,,,,,,,,57.14,51.61,70.59,42.86,50.0,39.29,,,,,51.915
J.Hill,BAL,,,,,,,,,,,,32.14,,3.03,,,3.7,,,,,12.956666666666669
T.McSorley,BAL,,,,,,,,,,,,10.71,,6.06,,,,,,,,8.385
N.Peterman,LV,,,,,,,,,,,,7.14,,,,,,,,,,7.14
C.McCoy,NYG,,,,,,,,,,,,11.9,6.45,,9.52,,,,,,,9.290000000000001
B.Allen,CIN,,,,,,,,,,,,26.67,11.76,13.33,,6.06,5.26,,,,,12.616
K.Hinton,DEN,,,,,,,,,,,,6.06,,,,,,,,,,6.06
E.St. Brown,GB,,,,,,,,,,,,2.56,,,,,,,,,,2.56
M.Glennon,JAX,,,,,,,,,,,,8.0,12.0,,,,5.88,,,,,8.626666666666667
J.Williams,DET,,,,,,,,,,,,3.45,,,,,,,,,,3.45
J.Akins,HOU,,,,,,,,,,,,4.35,,,,,,,,,,4.35
T.Brooks-James,ATL,,,,,,,,,,,,9.38,,,,,,,,,,9.38
M.Thomas,NO,,,,,,,,,,,,2.27,,,,,,,,,,2.27
J.Cabinda,DET,,,,,,,,,,,,3.45,,,,,,,,,,3.45
M.Schaub,ATL,,,,,,,,,,,,9.38,,,,,,,,,,9.38
L.Woodside,TEN,,,,,,,,,,,,6.67,,2.5,7.69,,,,,,,5.62
J.Howard,PHI,,,,,,,,,,,,,16.0,,,10.34,,,,,,13.17
T.Lewis,NO,,,,,,,,,,,,,2.78,,,,3.33,,,,,3.0549999999999997
Du.Johnson,HOU,,,,,,,,,,,,,10.53,29.63,,,,,,,,20.08
D.Ogunbowale,JAX,,,,,,,,,,,,,8.0,,9.09,87.5,82.35,,,,,46.735
D.Moncrief,NE,,,,,,,,,,,,,2.33,,,,,,,,,2.33
T.Smith,NO,,,,,,,,,,,,,2.78,,,,,,,,,2.78
J.Jefferson,MIN,,,,,,,,,,,,,2.63,,,,,,,,,2.63
B.Howell,HOU,,,,,,,,,,,,,,40.74,23.81,,,,,,,32.275
P.Hart,SEA,,,,,,,,,,,,,,2.78,,,,,,,,2.78
C.Sims,WAS,,,,,,,,,,,,,,3.57,,,,,,,,3.57
A.Hooker,TEN,,,,,,,,,,,,,,2.5,,,,,,,,2.5
J.Wims,CHI,,,,,,,,,,,,,,4.35,,,,,,,,4.35
S.Diggs,BUF,,,,,,,,,,,,,,3.7,,,,,,,,3.7
G.Smith,SEA,,,,,,,,,,,,,,5.56,,,,,,,,5.56
M.Mariota,LV,,,,,,,,,,,,,,,21.95,,,,,,,21.95
T.Huntley,BAL,,,,,,,,,,,,,,,10.81,,11.11,,9.38,,,10.433333333333335
S.Phillips,HOU,,,,,,,,,,,,,,,9.52,,,,,,,9.52
R.Penny,SEA,,,,,,,,,,,,,,,7.69,12.5,22.22,,,,,14.136666666666665
N.Brown,DAL,,,,,,,,,,,,,,,4.55,,,,,,,4.55
C.Moore,DET,,,,,,,,,,,,,,,3.7,,,,,,,3.7
B.Bell,DAL,,,,,,,,,,,,,,,4.55,,,,,,,4.55
D.Hopkins,ARI,,,,,,,,,,,,,,,3.33,,,,,,,3.33
B.Zylstra,CAR,,,,,,,,,,,,,,,3.7,,,,,,,3.7
A.Cole,LV,,,,,,,,,,,,,,,2.44,,,,,,,2.44
Z.Ertz,PHI,,,,,,,,,,,,,,,3.23,,,,,,,3.23
T.Hockenson,DET,,,,,,,,,,,,,,,3.7,,,,,,,3.7
K.Allen,LAC,,,,,,,,,,,,,,,3.45,,,,,,,3.45
T.Heinicke,WAS,,,,,,,,,,,,,,,,15.79,,26.09,,,,20.939999999999998
C.Beathard,SF,,,,,,,,,,,,,,,,10.0,12.5,,,,,11.25
D.Blough,DET,,,,,,,,,,,,,,,,6.67,,,,,,6.67
J.Crowder,NYJ,,,,,,,,,,,,,,,,2.94,,,,,,2.94
E.Sanders,NO,,,,,,,,,,,,,,,,2.22,,,,,,2.22
L.Bellamy,DEN,,,,,,,,,,,,,,,,10.71,3.12,,,,,6.915000000000001
B.Perriman,NYJ,,,,,,,,,,,,,,,,2.94,,,,,,2.94
J.Reynolds,LA,,,,,,,,,,,,,,,,3.45,,,,,,3.45
C.Reynolds,JAX,,,,,,,,,,,,,,,,6.25,,,,,,6.25
Di.Johnson,PIT,,,,,,,,,,,,,,,,7.14,,,,,,7.14
D.Ozigbo,JAX,,,,,,,,,,,,,,,,6.25,,,,,,6.25
C.Kmet,CHI,,,,,,,,,,,,,,,,3.03,,,,,,3.03
M.Barkley,BUF,,,,,,,,,,,,,,,,9.68,12.0,,,,,10.84
A.Williams,BUF,,,,,,,,,,,,,,,,,48.0,,,,,48.0
J.Wolford,LA,,,,,,,,,,,,,,,,,20.0,2.33,,,,11.165
T.Stevens,CAR,,,,,,,,,,,,,,,,,20.0,,,,,20.0
J.Dobbs,PIT,,,,,,,,,,,,,,,,,10.0,,,,,10.0
S.Sims,WAS,,,,,,,,,,,,,,,,,3.7,4.35,,,,4.025
T.Jones,NO,,,,,,,,,,,,,,,,,10.0,,,,,10.0
N.Sudfeld,PHI,,,,,,,,,,,,,,,,,6.9,,,,,6.9
T.Godwin,JAX,,,,,,,,,,,,,,,,,5.88,,,,,5.88
M.Sanu,DET,,,,,,,,,,,,,,,,,4.55,,,,,4.55
J.Hightower,PHI,,,,,,,,,,,,,,,,,3.45,,,,,3.45
D.Carter,CHI,,,,,,,,,,,,,,,,,,5.26,,,,5.26
D.Watt,PIT,,,,,,,,,,,,,,,,,,12.5,,,,12.5
C.Godwin,TB,,,,,,,,,,,,,,,,,,,,4.17,,4.17
