PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,AVG
T.McLaurin,WAS,,,,,,,,10.71,,,,,,,,,,,,,,,10.71
S.Phillips,HOU,,,,,,,,25.0,2.74,,,,,,,,,,,,,,13.870000000000001
Am.Rodgers,GB,,,,,,,,7.28,,,,,,,,,,,,,,,7.28
B.Howell,LA,,,,,,,,6.67,,,,,,,,,,,,,,,6.67
R.McCloud,PIT,,,,,,,,8.7,,,9.09,,,,,,,,,,,,8.895
D.Blough,DET,,,,,,,,10.53,,,,,,,,,,,,,,,10.53
R.Nall,CHI,,,,,,,,2.27,,,,,,,,,,,,,,,2.27
L.Perine,NYJ,,,,,,,,3.09,,,,,,35.9,,,,,,,,,19.494999999999997
T.Siemian,NO,,,,,,,,1.32,,,14.68,6.82,,,,,,-0.51,,,,,5.5775
C.Rush,DAL,,,,,,,,2.56,,-5.26,,,,,,0.0,,-2.34,,,,,-1.2599999999999998
A.McFarland,PIT,,,,,,,,0.87,,,,3.92,,,,,,,,,,,2.395
J.Jeudy,DEN,,,,,,,,0.0,,3.12,,,,,,,,,,,,,1.56
M.White,NYJ,,,,,,,,-1.03,,,,,,,,,,,,,,,-1.03
J.Smith,NYJ,,,,,,,,-1.03,,,,,,,,,,,,,,,-1.03
A.Peterson,TEN,,,,,,,,,30.43,31.82,38.83,,,,,,,,,,,,33.693333333333335
D.Foreman,TEN,,,,,,,,,42.03,45.45,24.27,40.37,,46.08,53.73,18.89,66.67,55.65,,47.14,,,44.028
T.Taylor,HOU,,,,,,,,,31.51,,33.73,31.25,17.86,,,,,,,,,,28.5875
J.Johnson,NYJ,,,,,,,,,20.45,,,0.0,,,,,,,,,,,10.225
J.Washington,PIT,,,,,,,,,12.38,,,,,,,,,,,,,,12.38
J.Jefferson,MIN,,,,,,,,,8.4,-3.88,3.33,,4.0,-1.65,,,,3.85,,,,,2.341666666666667
K.Nwangwu,MIN,,,,,,,,,6.87,,,10.45,0.0,,25.0,12.12,,3.85,,,,,9.715
A.Roberts,LAC,,,,,,,,,10.11,,2.52,,,,3.12,,,,,,,,5.25
C.Streveler,ARI,,,,,,,,,1.23,6.15,,,,,,,,,,,,,3.6900000000000004
S.Ehlinger,IND,,,,,,,,,0.38,,3.41,,-0.42,,,,,,,,,,1.1233333333333333
C.Newton,CAR,,,,,,,,,,8.43,41.44,7.81,,51.65,47.02,62.69,5.68,,,,,,32.10285714285714
M.Rudolph,PIT,,,,,,,,,,24.83,,,,,,13.08,,,,,,,18.955
J.Wilson,SF,,,,,,,,,,17.95,29.24,2.4,,56.0,67.9,54.22,,,,,,,37.95166666666667
A.Wilson,MIA,,,,,,,,,,31.67,-2.61,,,,0.55,,,,,,,,9.870000000000001
A.Rodgers,GB,,,,,,,,,,7.55,22.11,0.0,,0.0,11.46,-0.92,4.6,5.74,,,,,6.317500000000001
P.Taylor,GB,,,,,,,,,,6.6,11.58,,,,,,10.34,43.44,,,,,17.99
J.Cabinda,DET,,,,,,,,,,0.87,12.5,,,,,,,,,,,,6.685
D.Webb,BUF,,,,,,,,,,-2.16,,,,,,,,,,,,,-2.16
T.Kelce,KC,,,,,,,,,,,3.17,,,,,,-0.65,,,,,,1.26
D.Hilliard,TEN,,,,,,,,,,,33.98,48.52,,12.75,24.38,22.22,22.73,45.97,,,,,30.078571428571426
Q.Ollison,ATL,,,,,,,,,,,85.0,,5.79,17.97,4.84,,19.79,30.65,,,,,27.340000000000003
D.Johnson,MIA,,,,,,,,,,,15.65,,,,58.47,45.35,66.22,60.0,,,,,49.138
J.Ross,NYG,,,,,,,,,,,24.24,,,,,,,,,,,,24.24
T.Boyd,CIN,,,,,,,,,,,8.81,,,9.3,,,,,3.61,,,,7.239999999999999
De.Jackson,IND,,,,,,,,,,,4.55,,7.98,,,,0.0,,,,,,4.176666666666667
J.Grant,CHI,,,,,,,,,,,11.96,0.0,,3.65,14.78,,,,,,,,7.5975
M.Evans,TB,,,,,,,,,,,10.64,,,,,,,,,,,,10.64
Z.Pascal,IND,,,,,,,,,,,3.41,,5.04,,,,,,,,,,4.225
J.Palmer,LAC,,,,,,,,,,,3.77,,,,,,,,,,,,3.77
H.Renfrow,LV,,,,,,,,,,,6.94,1.4,,,,,,-2.3,,,,,2.013333333333333
P.Laird,MIA,,,,,,,,,,,3.48,,,,,,,,,,,,3.48
