PLAYER,POS,FPTS,C,F,STD,VOR,VALUERANK,AVG,ADPRANK,SLEEPERSCORE,ECR,CI,IJ%,PGM,IPG%,D
Christian McCaffrey,RB,361.4871109999999,388.0,334.82,18.79993087975802,268.13723099999993,1.0,,,,5.8,6,78%,1.90,8.5%,3
Dalvin Cook,RB,312.4666539999999,334.2,290.62,15.398505052903149,219.1167739999999,2.0,2.0,2.0,0.0,4.9,12,95%,3.00,16.2%,2
Derrick Henry,RB,305.21635850000007,309.41,301.1,2.941591842349607,211.86647850000008,3.0,4.0,4.0,1.0,3.5,4,90%,2.10,12.7%,5
Travis Kelce,TE,276.3922850000001,314.0,239.3,26.353657919324498,199.23799900000006,4.0,8.4,7.0,3.0,18.1,8,75%,2.00,7.8%,5
Austin Ekeler,RB,276.220613,293.3,259.24,12.033494766452138,182.87073300000003,5.0,10.4,10.0,5.0,4.7,10,94%,2.90,15.3%,5
Lamar Jackson,QB,372.3237499999999,375.45,369.2,2.202625918648012,163.70120999999986,6.0,44.8,43.0,37.0,66.8,5,8%,0.40,0.5%,5
Darren Waller,TE,235.60645100000002,271.1,200.12,25.26778312584227,158.452165,7.0,22.4,22.0,15.0,44.3,9,51%,1.70,4.1%,5
Calvin Ridley,WR,267.619213,300.7,234.71,23.30748770386098,151.17555299999998,8.0,18.4,19.0,11.0,36.5,3,53%,2.80,4.3%,5
DeAndre Hopkins,WR,264.170826,309.2,218.68,31.774776150237845,147.72716599999995,9.0,17.2,16.0,7.0,37.3,14,59%,2.10,5.1%,5
D'Andre Swift,RB,233.4280875,250.5,216.25,12.105453916720503,140.07820750000002,10.0,36.8,37.0,27.0,16.9,5,85%,2.60,10.6%,4
Chris Carson,RB,229.9275665,240.2,219.69,7.2824733559813115,136.57768650000003,11.0,,,,122.2,2,78%,1.60,8.5%,5
Robert Woods,WR,230.30683099999996,250.7,209.51,14.584749678600554,113.86317099999995,12.0,,,,81.0,8,88%,2.80,11.7%,5
Alvin Kamara,RB,204.3390603333333,311.7566666666667,94.95666666666665,81.69889416803855,110.9891803333333,13.0,3.0,3.0,-10.0,12.4,5,90%,2.30,12.7%,3
Allen Robinson,WR,226.33684800000003,257.6,195.36,21.951820356063777,109.89318800000002,14.0,,,,73.8,9,95%,2.90,16.2%,4
Julio Jones,WR,215.64844800000006,240.0,191.76,17.043606397452862,99.20478800000005,15.0,46.2,45.0,30.0,176.6,32,93%,1.90,14.5%,5
Davante Adams,WR,212.81489666666667,317.78000000000003,107.64666666666665,75.59114022561985,96.37123666666666,16.0,6.6,6.0,-10.0,9.8,10,94%,3.00,15.3%,5
Aaron Jones,RB,186.85746733333335,277.7033333333333,97.57,71.36513890954697,93.50758733333335,17.0,9.4,8.0,-9.0,35.9,9,90%,3.30,12.7%,5
Mike Evans,WR,208.19143599999998,233.8,182.68,18.01384208484975,91.74777599999997,18.0,35.4,35.0,17.0,37.8,10,58%,1.70,5%,5
Chris Godwin,WR,206.468067,231.4,181.22,17.802593720396786,90.02440699999998,19.0,,,,33.3,7,81%,2.80,9.3%,5
Joe Mixon,RB,183.11650500000002,259.41,106.00999999999999,61.888644730798354,89.76662500000002,20.0,20.8,21.0,1.0,8.0,7,91%,2.40,13.2%,3
Ezekiel Elliott,RB,182.63491000000002,267.2166666666667,98.14999999999999,67.02449302732308,89.28503000000002,21.0,5.8,5.0,-16.0,39.7,7,78%,2.30,8.5%,5
Saquon Barkley,RB,180.24677133333333,271.9533333333334,88.68666666666667,71.6594775443644,86.89689133333333,22.0,9.6,9.0,-13.0,30.3,7,86%,2.20,10.9%,1
TJ Hockenson,TE,163.017417,189.9,136.21,18.929019223090005,85.86313099999998,23.0,,,,63.5,5,58%,1.40,5%,5
Jonathan Taylor,RB,178.34927666666667,261.90000000000003,93.43333333333334,68.24069505580238,84.99939666666667,24.0,10.4,11.0,-13.0,1.0,3,60%,1.20,5.2%,5
Tyreek Hill,WR,200.51012866666667,309.77000000000004,90.63666666666666,82.09997716779422,84.06646866666667,25.0,10.6,13.0,-12.0,12.2,7,50%,1.40,4%,5
Stefon Diggs,WR,199.39365800000002,300.27,100.40333333333332,74.82589276333525,82.94999800000001,26.0,14.0,14.0,-12.0,15.4,7,42%,1.60,3.2%,5
Najee Harris,RB,174.26132400000003,254.65666666666667,94.25666666666666,64.8109737830487,80.91144400000003,27.0,15.6,15.0,-12.0,10.1,5,88%,1.90,11.7%,0
Nick Chubb,RB,174.02737333333334,250.28333333333333,99.21666666666665,59.5939985688395,80.67749333333335,28.0,10.4,12.0,-16.0,23.1,3,71%,1.00,7%,4
Brandin Cooks,WR,195.804379,218.2,173.31,15.858232934168889,79.360719,29.0,92.8,90.0,61.0,45.6,5,40%,1.30,3%,5
Ryan Fitzpatrick,QB,283.16198399999996,284.4,281.92,0.866401975842609,74.53944399999992,30.0,,,,280.2,8,38%,1.00,2.8%,5
DJ Chark,WR,190.88576799999996,201.7,179.78,7.732224539560133,74.44210799999995,31.0,,,,148.9,9,93%,3.10,14.5%,4
Odell Beckham,WR,190.861123,213.4,167.71,16.115369507208666,74.41746299999998,32.0,,,,80.7,16,65%,2.30,6%,2
Antonio Gibson,RB,167.01257999999999,246.03,89.69666666666667,63.25954602314745,73.66269999999999,33.0,17.6,17.0,-16.0,25.8,3,47%,0.50,3.7%,5
Kareem Hunt,RB,166.628627,179.8,153.14,9.462970567684925,73.278747,34.0,57.2,57.0,23.0,79.2,6,33%,0.90,2.3%,5
Raheem Mostert,RB,164.240754,167.06,161.4,2.002683567487384,70.89087400000001,35.0,,,,159.4,10,94%,3.60,15.3%,2
Logan Thomas,TE,147.32315250000005,162.4,132.11,10.808053398704304,70.16886650000004,36.0,,,,134.7,4,33%,1.20,2.3%,5
Laviska Shenault,WR,184.52577649999998,192.2,176.81,5.423161241798708,68.08211649999997,37.0,,,,161.8,4,76%,3.70,8.1%,2
Daniel Jones,QB,275.014541,277.4,272.62,1.6935243692722486,66.39200099999996,38.0,,,,194.3,6,79%,2.20,8.8%,4
George Kittle,TE,141.27429666666666,220.78,60.846666666666664,58.08325694450061,64.12001066666664,39.0,26.8,26.0,-13.0,30.6,10,95%,3.00,16.2%,4
Clyde Edwards-Helaire,RB,156.80941333333334,236.66666666666666,77.93333333333332,61.031385578334834,63.45953333333334,40.0,24.2,25.0,-15.0,53.4,6,95%,3.20,16.2%,2
Josh Allen,QB,270.80584533333337,388.3933333333334,153.45999999999998,96.73353814653755,62.18330533333332,41.0,30.0,29.0,-12.0,19.0,6,42%,1.70,3.2%,4
Justin Jefferson,WR,174.2073783333333,263.31666666666666,84.71666666666665,65.78411957624202,57.7637183333333,42.0,23.4,23.0,-19.0,10.6,3,63%,1.90,5.7%,5
Kenyan Drake,RB,151.03824,153.3,148.74,1.6143559280406545,57.68836,43.0,,,,243.6,9,56%,1.00,4.7%,5
Mike Williams,WR,173.923036,182.3,165.37,6.004137080605674,57.47937599999999,44.0,123.0,120.0,76.0,93.7,7,95%,2.60,16.2%,2
Patrick Mahomes,QB,265.746425,385.8966666666667,147.43,97.70387705167782,57.123884999999945,45.0,,,,38.0,5,15%,0.60,1%,5
Robert Tonyan,TE,134.237252,156.2,112.16,15.486076586679271,57.082966,46.0,,,,179.7,3,64%,1.50,5.8%,5
Miles Sanders,RB,150.43135666666663,225.98333333333335,75.58333333333333,58.885053879321255,57.08147666666663,47.0,38.2,38.0,-9.0,65.0,8,95%,3.20,16.2%,5
DK Metcalf,WR,173.28930666666668,261.6333333333334,85.5,67.17172052688178,56.84564666666667,48.0,,,,33.7,2,26%,0.60,1.8%,2
Curtis Samuel,WR,173.03725,191.2,154.6,12.917308134340528,56.59358999999999,49.0,118.2,116.0,67.0,153.2,6,82%,2.60,9.6%,5
Gus Edwards,RB,149.42808399999998,183.1,115.81,23.956547960921746,56.078203999999985,50.0,,,,236.4,4,20%,1.00,1.3%,5
David Montgomery,RB,147.45175333333336,220.95000000000002,75.28333333333333,53.21102517005328,54.10187333333336,51.0,30.2,30.0,-21.0,31.6,4,67%,0.90,6.3%,5
AJ Brown,WR,170.18913333333336,250.61666666666667,90.61666666666667,59.064114531244776,53.74547333333335,52.0,,,,21.4,5,41%,1.20,3.1%,5
Mark Andrews,TE,130.72412133333333,191.0233333333333,70.22333333333333,44.05741639296953,53.569835333333316,53.0,50.6,49.0,-4.0,22.4,4,41%,0.60,3.1%,5
Michael Thomas,WR,167.4091135,183.7,151.29,11.56215007845071,50.96545349999998,54.0,,,,88.7,5,88%,2.50,11.7%,5
Chase Edmonds,RB,144.2966,204.53333333333333,82.8,47.52157595586334,50.94672000000001,55.0,62.0,62.0,7.0,81.5,9,95%,3.00,16.2%,5
Leonard Fournette,RB,143.51841250000004,144.3,142.75,0.5494458957383833,50.16853250000004,56.0,86.4,82.0,26.0,44.2,11,93%,2.80,14.5%,5
Josh Jacobs,RB,142.6323933333333,211.6,74.73333333333333,53.37466238669972,49.28251333333331,57.0,36.4,36.0,-21.0,46.3,7,73%,1.80,7.4%,4
Trey Sermon,RB,142.05318399999996,143.02,141.1,0.6766805613759033,48.70330399999996,58.0,87.2,83.0,25.0,159.3,6,93%,3.00,14.5%,0
Cole Beasley,WR,163.70266999999998,172.6,154.8,6.334023829375758,47.259009999999975,59.0,143.8,142.0,83.0,128.1,5,35%,0.70,2.5%,5
Will Fuller,WR,162.43348400000002,181.4,143.52,13.355024179002596,45.98982400000001,60.0,,,,146.3,15,95%,2.60,16.2%,2
Myles Gaskin,RB,139.1536416666667,208.12333333333336,68.32333333333334,55.31853878289747,45.80376166666669,61.0,49.8,48.0,-13.0,125.3,4,93%,2.60,14.5%,2
Darrell Henderson,RB,138.4471333333333,210.66666666666666,66.86666666666666,56.07314633389339,45.09725333333331,62.0,,,,110.9,8,91%,2.50,13.2%,5
Keenan Allen,WR,161.50295,247.71333333333334,73.91333333333334,63.9691570038401,45.05928999999999,63.0,27.4,27.0,-36.0,26.6,12,72%,2.30,7.2%,3
Corey Davis,WR,161.2115915,181.0,141.71,14.029978594232697,44.76793149999999,64.0,,,,145.3,11,95%,2.20,16.2%,5
DeVante Parker,WR,161.0605065,188.4,133.23,19.30202676251792,44.616846499999994,65.0,134.2,134.0,69.0,99.3,17,90%,2.90,12.7%,3
Kyler Murray,QB,253.17961999999997,370.74666666666667,133.74666666666664,93.77084846628354,44.55707999999993,66.0,40.2,40.0,-26.0,56.3,4,22%,0.70,1.5%,5
Amari Cooper,WR,160.62676166666665,237.54333333333332,83.07666666666667,58.13639470833392,44.183101666666644,67.0,41.2,41.0,-26.0,55.4,13,65%,1.70,6%,5
Mike Davis,RB,136.89631333333332,206.35,67.81666666666666,54.867682588991,43.546433333333326,68.0,56.8,56.0,-12.0,176.4,4,73%,1.30,7.4%,5
Terry McLaurin,WR,157.7829603333333,237.99,76.85666666666667,62.09128931391426,41.3393003333333,69.0,29.6,28.0,-41.0,57.8,6,89%,2.60,12.2%,5
Dak Prescott,QB,248.72788266666666,355.0933333333333,141.69333333333336,85.54715277094076,40.105342666666616,70.0,56.0,55.0,-15.0,79.1,6,8%,0.50,0.5%,3
Jared Goff,QB,248.57321099999993,260.7,236.49,8.580018193423536,39.950670999999886,71.0,238.0,251.0,180.0,215.4,4,5%,0.30,0.3%,5
David Johnson,RB,132.453376,134.19,130.7,1.231649827517549,39.10349599999999,72.0,129.8,131.0,59.0,166.6,6,49%,1.20,3.9%,4
CeeDee Lamb,WR,154.78304566666665,235.99666666666667,74.86333333333333,60.019451479726534,38.339385666666644,73.0,32.8,33.0,-40.0,23.3,4,40%,1.00,3%,5
James Conner,RB,131.675429,148.5,115.24,11.83844731102686,38.32554900000001,74.0,100.8,97.0,23.0,61.5,10,74%,2.40,7.6%,5
Cooper Kupp,WR,153.54268666666667,229.1,77.96666666666667,55.62013429868759,37.09902666666666,75.0,46.0,44.0,-31.0,5.4,5,90%,2.80,12.7%,5
Tee Higgins,WR,153.46865,217.08333333333334,89.88333333333333,46.4382388340776,37.02498999999999,76.0,64.8,64.0,-12.0,35.8,6,91%,3.30,13.2%,5
James Robinson,RB,129.87660666666667,206.88333333333333,52.61666666666667,55.25015807847431,36.526726666666676,77.0,,,,86.4,3,66%,1.80,6.1%,5
Tyler Lockett,WR,152.119935,233.23000000000002,70.23,61.24939999498588,35.67627499999999,78.0,49.2,47.0,-31.0,45.3,5,70%,2.00,6.8%,5
Russell Wilson,QB,242.16730166666667,355.9066666666667,130.96666666666667,91.66636649750915,33.54476166666663,79.0,55.6,54.0,-25.0,100.4,3,5%,0.20,0.3%,5
DJ Moore,WR,149.43648,224.1,73.43333333333334,56.75665721000528,32.99281999999998,80.0,53.4,52.0,-28.0,44.3,4,24%,0.50,1.6%,5
JD McKissic,RB,124.648379,144.0,105.02,13.746317725207687,31.298499000000007,81.0,,,,122.5,2,7%,0.40,0.4%,5
James White,RB,123.21899999999998,139.5,107.1,11.45713432757075,29.86911999999998,82.0,,,,145.4,4,53%,1.30,4.3%,5
Diontae Johnson,WR,146.10938199999998,219.58,70.58,55.01587939148183,29.665721999999974,83.0,51.8,51.0,-32.0,28.6,6,88%,3.00,11.7%,5
Adam Thielen,WR,145.099072,222.89333333333335,68.76,57.85043049205938,28.655412,84.0,50.6,50.0,-34.0,68.0,7,68%,1.10,6.5%,5
Blake Jarwin,TE,105.09533,115.1,95.21,6.989601837093442,27.94104399999999,85.0,219.0,227.0,142.0,238.2,3,66%,1.80,6.1%,2
Kyle Pitts,TE,105.08779399999999,154.99666666666667,53.929999999999986,37.21275471427337,27.933507999999975,86.0,47.0,46.0,-40.0,44.7,4,77%,2.30,8.3%,0
Justin Herbert,QB,232.79305033333335,339.6566666666667,123.72333333333331,86.96021071525197,24.17051033333331,87.0,62.2,63.0,-24.0,55.3,3,16%,0.90,1%,2
Ja'Marr Chase,WR,140.48450933333334,205.95333333333335,74.48666666666666,49.994325340952685,24.040849333333327,88.0,74.4,73.0,-15.0,12.9,1,24%,0.50,1.6%,5
Sterling Shepard,WR,140.0767455,167.6,112.57,19.28995606399169,23.63308549999998,89.0,,,,123.9,14,76%,1.80,8.1%,3
Justin Fields,QB,231.82915899999998,234.4,229.29,1.8058655411516709,23.206618999999932,90.0,140.8,139.0,49.0,113.3,6,13%,3.70,0.8%,5
Damien Harris,RB,116.06721733333333,163.50666666666666,69.30666666666666,36.472013462243886,22.717337333333333,91.0,72.0,71.0,-20.0,71.9,8,89%,2.60,12.2%,1
Aaron Rodgers,QB,230.8634813333333,337.16,126.22666666666667,83.8735974868286,22.240941333333268,92.0,54.4,53.0,-39.0,73.7,10,17%,0.60,1.1%,5
Tyler Higbee,TE,98.91234266666666,147.08666666666667,49.62,36.951100464333216,21.758056666666647,93.0,,,,136.6,,,,,
Elijah Moore,WR,138.20019049999996,143.7,132.73,3.8865887550922786,21.756530499999954,94.0,145.6,144.0,50.0,51.7,2,24%,1.00,1.6%,5
Javonte Williams,RB,114.72570333333334,172.24666666666667,57.333333333333336,43.30360682900303,21.375823333333344,95.0,60.6,60.0,-35.0,22.3,1,53%,1.20,4.3%,5
Adam Trautman,TE,97.70968000000002,99.9,95.5,1.5608851007040865,20.555394000000007,96.0,207.5,210.0,114.0,202.2,2,22%,0.80,1.5%,5
Noah Fant,TE,97.19246233333332,150.49666666666667,43.09666666666667,39.0052777352875,20.03817633333331,97.0,84.2,81.0,-16.0,114.7,6,76%,1.90,8.1%,5
Deebo Samuel,WR,135.59323966666668,198.97,73.70333333333333,45.5688877182558,19.149579666666668,98.0,88.0,84.0,-14.0,21.4,12,90%,2.70,12.7%,1
Brandon Aiyuk,WR,132.96557400000003,200.94000000000003,64.87333333333333,49.937268649748866,16.521914000000024,99.0,60.8,61.0,-38.0,82.8,4,76%,2.10,8.1%,5
Nelson Agholor,WR,132.184484,156.7,108.14,17.103289570540046,15.74082399999999,100.0,176.2,170.0,70.0,199.6,6,71%,2.10,7%,5
Gabriel Davis,WR,131.51516,134.6,128.45,2.166489193234069,15.0715,101.0,204.6,203.0,102.0,119.2,2,11%,0.70,0.7%,5
Robby Anderson,WR,131.14730166666666,197.21666666666667,64.61666666666666,49.37963548616752,14.703641666666655,102.0,77.4,76.0,-26.0,159.6,4,59%,1.60,5.1%,5
Chase Claypool,WR,131.061464,198.09666666666666,64.89666666666666,51.14083035767272,14.617803999999992,103.0,69.2,68.0,-35.0,81.9,3,24%,1.10,1.6%,5
Tyler Boyd,WR,130.12840333333335,193.41666666666666,67.81666666666666,46.96068637790539,13.684743333333344,104.0,91.2,87.0,-17.0,139.4,3,68%,1.60,6.5%,5
Jameis Winston,QB,222.26949800000006,270.8,172.58,34.75589193457702,13.646958000000012,105.0,,,,169.1,7,19%,0.70,1.2%,5
Mike Gesicki,TE,90.17124666666666,141.79999999999998,39.26666666666667,36.67783528571202,13.016960666666648,106.0,109.8,107.0,1.0,98.7,2,33%,0.70,2.3%,5
Kenny Golladay,WR,129.268908,198.21,59.276666666666664,51.92898920571761,12.825248000000002,107.0,74.8,74.0,-33.0,152.8,10,95%,3.10,16.2%,3
Dallas Goedert,TE,89.22403,139.0,39.6,35.90819457392839,12.069743999999986,108.0,99.2,96.0,-12.0,72.3,6,50%,0.90,4%,5
Trey Lance,QB,220.31872800000002,224.4,216.16,2.9188437680040393,11.696187999999978,109.0,149.0,147.0,38.0,101.3,3,5%,0.30,0.3%,5
Courtland Sutton,WR,127.71018900000001,192.37,59.97,49.501619297698525,11.266529000000006,110.0,79.6,78.0,-32.0,91.6,5,33%,0.90,2.3%,1
Joe Burrow,QB,218.92974600000005,306.91333333333336,132.98,72.296520071454,10.307206000000008,111.0,111.2,110.0,-1.0,70.7,8,76%,1.70,8.1%,0
Parris Campbell,WR,126.10601999999997,126.8,125.4,0.4940463132136471,9.662359999999964,112.0,223.6,231.0,119.0,212.3,9,39%,2.30,2.9%,0
Jalen Hurts,QB,216.1270713333334,315.9266666666667,114.79333333333334,79.56092513590254,7.504531333333347,113.0,97.0,95.0,-18.0,97.1,2,8%,0.40,0.5%,5
Jamison Crowder,WR,123.60320300000001,150.9,96.01,19.522075107958965,7.159542999999999,114.0,228.2,237.0,123.0,212.1,13,88%,2.80,11.7%,5
Jerry Jeudy,WR,123.09675333333334,187.36,58.693333333333335,47.86149309071427,6.653093333333331,115.0,72.4,72.0,-43.0,64.9,5,90%,3.00,12.7%,5
Jarvis Landry,WR,122.53102733333334,187.39333333333335,58.26,47.09322834513269,6.087367333333333,116.0,103.4,99.0,-17.0,111.2,8,62%,1.60,5.5%,5
Michael Gallup,WR,122.44448,186.29999999999998,58.9,48.07747353521814,6.00081999999999,117.0,,,,101.3,5,89%,2.30,12.2%,5
Ronald Jones,RB,98.15907866666667,138.80666666666664,56.13999999999999,32.92826516960822,4.809198666666674,118.0,,,,129.7,7,81%,3.00,9.3%,4
Austin Hooper,TE,81.64426600000002,124.19666666666667,37.99666666666666,32.090397130313676,4.489980000000003,119.0,174.2,167.0,48.0,190.9,4,29%,0.60,2%,5
Evan Engram,TE,81.25899366666667,121.53666666666668,41.336666666666666,29.099384186182892,4.1047076666666555,120.0,159.8,156.0,36.0,145.7,9,93%,2.40,14.5%,4
Zack Moss,RB,97.43482666666667,144.41333333333333,49.73333333333333,38.33970423315119,4.084946666666667,121.0,106.6,104.0,-17.0,159.8,6,90%,2.50,12.7%,1
Jared Cook,TE,81.142384,125.82,35.95333333333333,31.81064429102116,3.9880979999999937,122.0,165.4,161.0,39.0,206.0,9,64%,1.70,5.8%,5
Ryan Tannehill,QB,210.998583,310.37666666666667,109.17666666666666,80.46974293959396,2.376042999999953,123.0,93.4,92.0,-31.0,122.7,4,12%,0.20,0.7%,5
Michael Carter,RB,95.40327333333333,138.54666666666665,52.333333333333336,33.208308974792565,2.0533933333333323,124.0,93.4,91.0,-33.0,61.1,3,31%,0.60,2.2%,5
Rob Gronkowski,TE,78.71956666666668,121.05333333333334,36.72,31.30673531308133,1.5652806666666663,125.0,125.6,125.0,0.0,100.8,21,95%,3.90,16.2%,3
Marvin Jones,WR,117.99874533333332,180.71333333333334,55.580000000000005,44.65017379465032,1.5550853333333094,126.0,,,,189.6,9,90%,2.90,12.7%,3
Melvin Gordon,RB,94.874925,150.77,40.63666666666666,40.49452570304256,1.5250450000000058,127.0,,,,95.4,12,93%,3.50,14.5%,5
Rondale Moore,WR,117.48817099999998,136.6,98.54,13.48959251663144,1.0445109999999715,128.0,177.0,173.0,45.0,111.1,4,82%,3.30,9.6%,0
Giovani Bernard,RB,93.98047499999997,103.1,84.85,6.427781355131412,0.6305949999999712,129.0,174.4,169.0,40.0,305.8,13,28%,0.40,1.9%,5
Devin Singletary,RB,93.46535733333334,130.11333333333334,55.78,30.11381142726303,0.1154773333333452,130.0,112.4,112.0,-18.0,92.0,1,90%,3.20,12.7%,5
Tarik Cohen,RB,93.40616599999998,103.48,83.1,7.197271660875671,0.05628599999998585,131.0,206.5,204.0,73.0,280.4,1,11%,0.40,0.7%,5
Jamaal Williams,RB,93.34988,136.36,49.95999999999999,35.049700647874296,0.0,133.5,116.4,113.0,-20.5,144.0,9,83%,2.10,9.9%,5
Jonnu Smith,TE,77.15428600000001,122.90666666666668,31.24,32.85018028286711,0.0,133.5,123.0,121.0,-12.5,167.6,8,92%,3.10,13.8%,5
Tyrod Taylor,QB,208.62254000000004,214.4,202.7,4.142552829886427,0.0,133.5,289.5,348.0,214.5,,11,55%,2.00,4.6%,5
Randall Cobb,WR,116.44366000000001,139.7,92.85,16.62924498599981,0.0,133.5,199.6,199.0,65.5,281.6,16,95%,2.40,16.2%,4
DeVonta Smith,WR,116.03813066666666,170.54,61.20666666666667,40.5953466555936,-0.40552933333334806,136.0,77.0,75.0,-61.0,62.3,5,92%,4.30,13.8%,0
Marquise Brown,WR,115.04586333333333,176.42999999999998,52.696666666666665,44.550952220715025,-1.3977966666666788,137.0,123.2,122.0,-15.0,73.7,8,93%,3.00,14.5%,5
Cole Kmet,TE,74.918138,109.90333333333335,39.57,27.03835581789652,-2.2361480000000142,138.0,187.4,184.0,46.0,127.5,2,52%,1.60,4.2%,4
Sammy Watkins,WR,114.17777300000002,119.02,109.4,3.403411037543214,-2.265886999999992,139.0,236.0,249.0,110.0,288.0,21,95%,2.60,16.2%,3
Anthony Firkser,TE,74.56482,117.40666666666665,31.139999999999997,30.689380987110905,-2.589466000000016,140.0,215.4,222.0,82.0,254.4,1,13%,0.50,0.8%,5
Michael Pittman,WR,111.06798333333333,164.45666666666668,57.38999999999999,39.09226190607363,-5.375676666666678,141.0,,,,51.0,6,93%,2.80,14.5%,4
Hunter Henry,TE,71.12411000000002,111.93333333333334,30.733333333333334,29.714787413697465,-6.030175999999997,142.0,153.2,150.0,8.0,132.8,7,54%,1.40,4.5%,2
Will Dissly,TE,71.02891,71.45,70.6,0.3001340732072948,-6.125376000000017,143.0,421.0,457.0,314.0,,,,,,
Dan Arnold,TE,70.6245195,79.9,61.31,6.548164818987054,-6.529766500000008,144.0,270.5,310.0,166.0,227.8,,,,,
Donald Parham,TE,70.56961999999999,76.8,64.4,4.373861572523754,-6.584666000000027,145.0,,,,294.2,,,,,
Jaylen Waddle,WR,109.52158999999999,155.15,64.28333333333332,34.9540974268748,-6.922070000000019,146.0,107.4,105.0,-41.0,25.3,2,47%,1.60,3.7%,0
Zach Ertz,TE,69.57384100000002,103.93666666666667,35.87,24.63133545107503,-7.580444999999997,147.0,165.2,160.0,13.0,126.5,10,88%,4.40,11.7%,5
Terrace Marshall,WR,107.392334,124.1,90.51,11.927677987875256,-9.051326000000003,148.0,,,,153.6,,,,,
Matthew Stafford,QB,199.46174233333335,295.75333333333333,103.33333333333333,77.86538006982768,-9.160797666666696,149.0,88.2,85.0,-64.0,87.5,16,14%,1.00,0.9%,5
Darnell Mooney,WR,105.14745333333332,158.75,52.01666666666667,39.26125157855374,-11.296206666666691,150.0,128.6,129.0,-21.0,75.8,3,66%,1.70,6.1%,5
Dawson Knox,TE,65.72707666666666,97.83999999999999,33.173333333333325,23.889166968144785,-11.427209333333352,151.0,274.0,323.0,172.0,92.8,3,31%,0.60,2.2%,5
Breshad Perriman,WR,104.496545,122.9,85.8,13.25822355419364,-11.94711500000001,152.0,257.0,286.0,134.0,,12,89%,3.20,12.2%,2
Latavius Murray,RB,80.74095999999999,123.76666666666665,37.96666666666666,32.1462260278552,-12.608920000000012,153.0,194.2,192.0,39.0,266.2,9,28%,0.30,1.9%,3
Kirk Cousins,QB,195.83382333333333,285.8966666666667,103.43,71.5432865099624,-12.788716666666716,154.0,157.8,153.0,-1.0,113.8,1,5%,0.20,0.3%,5
Mecole Hardman,WR,103.45636,154.6966666666667,53.23,38.41527096387813,-12.987300000000005,155.0,132.8,133.0,-22.0,191.6,1,48%,1.70,3.8%,5
Darius Slayton,WR,103.44854000000001,126.4,80.22,16.306902800605638,-12.99512,156.0,286.5,345.0,189.0,223.6,5,79%,2.90,8.8%,5
Nyheim Hines,RB,80.047216,124.42,35.62,32.605477300744184,-13.302663999999993,157.0,124.0,124.0,-33.0,140.7,3,43%,1.20,3.3%,5
Jordan Akins,TE,63.509280333333336,100.59666666666668,27.063333333333333,27.059293129694773,-13.645005666666677,158.0,186.0,180.0,22.0,,3,83%,2.50,9.9%,5
Tony Pollard,RB,79.01928399999998,119.73,38.33,30.26827550831636,-14.330596000000014,159.0,132.6,132.0,-27.0,83.6,1,49%,1.00,3.9%,5
Jakobi Meyers,WR,101.71859066666667,156.45333333333335,48.18666666666667,39.002575651649835,-14.725069333333337,160.0,145.0,143.0,-17.0,112.5,1,19%,0.60,1.2%,5
Trevor Lawrence,QB,193.66438266666665,288.02000000000004,102.55333333333333,75.18815440799915,-14.95815733333339,161.0,128.0,128.0,-33.0,142.4,4,10%,0.50,0.6%,5
Baker Mayfield,QB,193.50449,284.93333333333334,101.39999999999998,73.47570751658075,-15.11805000000004,162.0,,,,183.1,8,6%,0.20,0.4%,5
Darrynton Evans,RB,77.780875,81.0,74.5,2.2939791813299006,-15.569005000000004,163.0,,,,231.8,5,33%,1.70,2.3%,1
TY Hilton,WR,100.309097,144.89000000000001,56.69,35.348409533309855,-16.134563000000014,164.0,,,,278.0,17,90%,3.10,12.7%,5
Russell Gage,WR,100.10211866666667,156.99333333333334,43.52666666666667,40.60064396260136,-16.34154133333334,165.0,148.8,146.0,-19.0,132.0,7,62%,1.30,5.5%,5
Hayden Hurst,TE,60.71899499999999,93.62333333333333,28.156666666666663,22.82137099387272,-16.43529100000002,166.0,246.7,266.0,100.0,270.0,1,20%,0.50,1.3%,5
Matt Ryan,QB,192.07901,283.28000000000003,101.27999999999999,72.01585333869133,-16.543530000000032,167.0,141.8,140.0,-27.0,159.2,3,5%,0.20,0.3%,5
AJ Dillon,RB,75.96663866666665,109.72666666666667,41.92666666666666,27.369008979242974,-17.383241333333345,168.0,105.8,101.0,-67.0,55.0,5,59%,1.90,5.1%,5
Qadree Ollison,RB,74.82842,81.8,67.94,4.942037559913927,-18.521460000000005,169.0,273.0,320.0,151.0,,,,,,
Phillip Lindsay,RB,74.80088899999998,111.35666666666667,37.95666666666666,29.28981812692882,-18.548991000000015,170.0,146.2,145.0,-25.0,202.1,6,94%,3.00,15.3%,5
Maxx Williams,TE,58.54727,60.5,56.6,1.3766475754890932,-18.607016000000016,171.0,,,,,12,34%,0.50,2.4%,2
Malcolm Brown,RB,74.00589699999999,90.4,57.93,11.421226843487133,-19.34398300000001,172.0,218.3,225.0,53.0,236.2,5,66%,1.60,6.1%,5
Tua Tagovailoa,QB,188.875089,281.07,96.00333333333333,71.85940912098098,-19.74745100000004,173.0,158.6,154.0,-19.0,134.6,8,85%,2.40,10.6%,2
Derek Carr,QB,188.5446566666667,280.3533333333333,96.42,72.60306558743393,-20.077883333333347,174.0,186.4,182.0,8.0,141.2,9,22%,0.60,1.5%,5
