PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,AVG
T.Jones,NO,28.21,17.65,5.26,7.69,,,,,,,13.64,64.0,,13.64,,8.7,3.57,15.22,,,,,17.757999999999996
M.Davis,ATL,57.69,42.86,60.0,46.43,44.83,,18.18,45.0,36.0,16.67,18.75,17.24,17.39,30.56,26.09,38.89,36.36,50.0,,,,,35.46705882352941
M.Gaskin,MIA,39.13,25.0,48.15,12.5,55.56,25.0,51.72,52.17,80.0,63.64,69.7,41.03,60.0,,23.81,10.0,31.25,2.33,,,,,40.646470588235296
J.Williams,DEN,50.0,43.33,32.43,41.18,44.44,47.83,28.57,42.86,41.46,44.44,,42.42,74.19,38.46,44.12,43.75,51.85,42.86,,,,,44.364117647058826
N.Harris,PIT,76.19,71.43,93.33,93.75,65.71,80.0,,81.25,68.75,83.87,66.67,53.33,84.0,83.33,70.59,76.0,90.32,36.67,60.0,,,,74.17722222222223
J.Allen,BUF,36.0,16.67,,15.0,39.29,39.13,,37.5,35.71,8.33,21.43,25.0,24.0,63.16,11.11,42.86,34.09,15.15,20.69,45.83,,,29.497222222222224
C.Hyde,JAX,56.25,12.5,27.59,,16.13,,,47.37,77.78,8.33,,21.43,36.0,12.5,,,,,,,,,31.588
C.Edwards-Helaire,KC,60.87,72.22,56.67,43.75,30.43,,,,,,46.15,,58.33,33.33,45.0,25.71,,,,25.93,25.0,,43.61583333333332
Ty.Taylor,HOU,9.76,3.57,,,,,,,,,,,,,,,,,,,,,6.665
D.Swift,DET,45.83,42.11,51.85,32.0,45.83,72.22,46.43,66.67,,84.62,60.87,15.79,,,,,18.18,26.92,,,,,46.87076923076923
J.Winston,NO,15.38,17.65,13.16,,26.09,,25.81,12.5,,,,,,,,,,,,,,,18.43166666666667
N.Hines,IND,29.03,3.85,33.33,6.06,15.38,15.38,24.24,5.0,20.0,7.41,8.7,5.0,6.25,,,9.09,7.69,,,,,,13.093999999999998
E.Elliott,DAL,61.11,51.61,41.46,58.82,53.85,54.84,,66.67,61.11,39.47,56.25,42.86,54.17,36.11,53.33,32.14,52.94,56.25,57.14,,,,51.67388888888889
L.Fournette,TB,64.29,52.38,30.77,66.67,48.0,70.97,48.39,53.33,,84.62,37.04,62.96,76.47,65.52,42.86,,,,,92.86,,,59.808666666666674
M.Mariota,LV,4.76,,,,,,3.45,,5.0,,,5.71,,,4.0,,11.11,11.76,,,,,6.541428571428571
L.Rountree,LAC,27.59,5.0,18.18,32.35,,,,20.0,3.7,26.32,7.69,,,,,,,,,,,,17.60375
S.Barkley,NYG,50.0,46.43,57.14,61.9,8.0,,,,,,46.15,48.15,64.71,59.26,62.5,55.56,52.5,44.0,,,,,50.48461538461538
C.Claypool,PIT,4.76,7.14,,,,,,6.25,6.25,,11.11,,4.0,4.17,5.88,,,10.0,,,,,6.617777777777778
