Date,Team,Acquired,Relinquished,Notes
1963-09-03,Jets (AFL),,• Ed Cooke (G.),placed on IR
1963-09-03,Jets (AFL),,• Will Renfro,placed on IR
1963-09-10,Eagles,,• Mike Woulfe,placed on IR (AP)
1963-09-10,Lions,• Bob Scholtz,,"""reactivated"""
1963-12-04,Packers,,• Ray Nitschke,placed on IR with fractured right wrist
1964-08-24,Colts,,• Jimmy Maples / Butch Maples,placed on IR
1964-08-24,Giants,,• Ed Adamchick,placed on IR
1964-08-25,Oilers (AFL),,• Jim Herron,placed on IR
1964-08-31,Bills (AFL),,• Dave Behrman,placed on injured deferred list with knee injury
1965-10-29,Giants,• Glen Condron,,"""reactivated"""
1965-10-29,Steelers,• Myron Pottios,,"""added to roster"""
1965-12-09,Colts,,• Joe Unitas,placed on IR
1965-12-17,Colts,,• Gary Cuozzo,placed on IR
1966-08-10,Chargers (AFL),,• Pat Shea,placed on IR
1966-08-24,Dolphins (AFL),,• Eddie Wilson (a),placed on IR with torn ligament in left knee
1966-09-01,Cardinals,,• Fred Heron,placed on IR with knee injury
1966-09-06,Giants,,• Bill Swain,placed on IR recovering from surgery on knee
1966-09-06,Giants,,• Tucker Frederickson,placed on IR recovering from surgery on knee
1966-09-06,Redskins,,• Richard Marshall (a) / Rich Marshall,placed on reserve list
1966-09-23,Packers,,• Bob Long (Andrew),placed on IR
1966-11-01,Packers,,• Allen Brown,placed on IR
1966-11-01,Packers,• Bob Long (Andrew),,activated from IR
1966-11-03,Rams,,• Henry Dyer,placed on IR with knee injury
1966-11-03,Rams,• Bucky Pope,,activated
1966-11-05,Redskins,• Bill Clay / Billy Clay,,"""activated"""
1966-11-05,Redskins,• Tom Barrington,,"""activated"""
1966-11-10,Cardinals,• Jim Hart,,activated
1966-11-11,Browns,,• John Morrow,placed on IR
1966-11-11,Cowboys,,• William Sandeman / Bill Sandeman,placed on IR
1966-11-11,Eagles,,• Mike Morgan (a),placed on IR with knee injury
1966-11-11,Steelers,,• Jim Bradshaw,placed on IR with ankle injury
1966-11-11,Steelers,• Bob Hohn / Bobby Hohn,,activated
1967-07-01,Chiefs (AFL),,• Aaron Brown (Lewis),placed on IR with thigh injury (out for season) (date approximate)
1967-08-22,Cardinals,,• Charley Johnson / Charlie Johnson,reported for army duty
1967-08-23,Falcons,• Andy Bowling,,"""reactivated"""
1967-08-29,Steelers,,• Amos Bullocks,placed on IR
1967-08-29,Steelers,,• Earl Gros,placed on IR
1967-09-05,Giants,,• Larry Vargo / Larry Varge,placed on IR
1967-09-06,Rams,,• Roosevelt Grier / Rosey Grier,placed on IR
1967-09-07,Rams,,• Jeff Jordan,placed on IR (MiamiNews)
1967-09-07,Vikings,,• Bobby Bryant,placed on IR
1967-09-11,Giants,,• Tom Kennedy (Patrick),placed on IR with separated sholder and broken collarbone (AP)
1967-09-20,Lions,• Gail Cogdill,,activated
1967-09-21,Bears,,• Jim Cadile,placed on IR with knee injury
1967-10-01,Packers,• Bob Long (Andrew),,activated from IR
1967-10-01,Packers,• Lionel Aldridge,,activated from IR
1967-10-05,Bills (AFL),• Wray Carlton,,"""returned to roster"""
1967-10-05,Steelers,,• Marshall Cropper,placed on IR
1967-10-06,Browns,,• Ron Duncan (a),placed on IR with torn ligaments in right knee
1967-10-28,Bears,,• Al Dodd,placed on IR with right wrist injury
1967-11-07,Lions,,• Lew Kamanu / Lew Kamany,placed on IR
1967-12-07,Lions,,• Pat Studstill,placed on IR with ankle injury and sore leg
