Date,Team,Acquired,Relinquished,Notes
1986-10-18,Bills,,• Greg Bell,placed on IR with pulled pelvic muscle
1986-10-18,Bills,• Ron Pitts,,activated
1986-10-18,Bills,• Tim Vogler,,activated from IR
1986-10-18,Dolphins,,• Ronnie Lee (V.),placed on IR
1986-10-18,Dolphins,• Glenn Blackwood,,activated from IR
1986-10-18,Dolphins,• Jon Giesler,,activated from IR
1986-10-18,Redskins,,• Rick Badanjek,placed on IR with hamstring injury (out for season)
1986-10-18,Redskins,• Clarence Verdin,,activated from IR
1986-10-20,Browns,,• Johnnie Davis / Johnny Davis,placed on IR
1986-10-20,Cardinals,• Eric Swanson,,activated
1986-10-20,Colts,,• Albert Bentley,placed on IR with ankle injury
1986-10-20,Colts,,• Lamonte Hunley,placed on IR
1986-10-20,Falcons,,• Bobby Butler,placed on IR with fractured leg (out for season)
1986-10-20,Jets,,• Dennis Bligen,placed on IR with knee injury
1986-10-20,Jets,• Freeman McNeil,,activated from IR
1986-10-21,Browns,,• Earnest Byner,placed on IR with ankle injury
1986-10-21,Seahawks,,• Blair Bush,placed on IR with knee injury (out for season)
1986-10-22,Broncos,,• Mark Cooper,placed on IR with foot injury
1986-10-22,Broncos,• Winford Hood,,activated
1986-10-22,Jets,,• Reggie McElroy,placed on IR
1986-10-22,Seahawks,,• Sean Salisbury,placed on IR
1986-10-23,Buccaneers,,• John Cannon,placed on IR with leg injury
1986-10-23,Dolphins,,• Johnny Taylor,placed on IR with ankle injury
1986-10-24,Cardinals,• Roy Green,,activated from IR
1986-10-24,Chiefs,,• Mark Robinson,placed on IR
1986-10-24,Falcons,,• Kenny Johnson,placed on IR
1986-10-24,Patriots,,• Mike Ruth,placed on IR with hip injury
1986-10-24,Patriots,• Clayton Weishuhn,,activated from IR
1986-10-24,Steelers,• Craig Wolfley,,activated from IR
1986-10-25,Chiefs,• Leonard Griffin,,activated from IR
1986-10-25,Cowboys,• Kevin Brooks,,activated from IR
1986-10-25,Steelers,,• Randy Rasmussen (b. 1960-09-27),placed on IR with surgery on left knee
1986-10-27,Lions,• Oscar Smith (b),,activated from IR
1986-10-27,Saints,• Guido Merkens,,activated from IR
1986-10-27,Vikings,• Grant Feasel,,activated from IR
1986-10-31,Falcons,,• Eric Sanders,placed on IR
1986-10-31,Rams,• Alvin Wright,,activated from IR
1986-11-01,Dolphins,• Mike Charles,,activated from IR
1986-11-01,Falcons,• Stacey Bailey,,activated from IR
1986-11-01,Raiders,• Mike Wise,,activated from IR
1986-11-01,Redskins,• Kelvin Bryant,,activated from IR
1986-11-01,Vikings,,• Gerald Robinson,placed on IR
1986-11-04,Chargers,,• Buford McGee,placed on IR recovering from arthroscopic surgery on both knees
1986-11-04,Colts,,• Ben Utt,placed on IR with knee and lower back injuries
1986-11-04,Eagles,• Bob Landsee,,activated from IR
1986-11-05,Redskins,,• Derek Holloway / Derek Holoway,placed on IR
1986-11-06,49ers,• Joe Montana,,activated from IR
1986-11-07,49ers,• Bill Ring,,activated from IR
1986-11-07,Lions,,• Oscar Smith (b),placed on IR
1986-11-07,Steelers,,• Jesse Britt,placed on IR
1986-11-07,Steelers,• John Stallworth,,activated from IR
1986-11-08,Chargers,• Curtis Adams,,activated from IR
1986-11-08,Chiefs,• John Alt,,activated from reserve/physically unable to perform list
1986-11-08,Redskins,• Monte Coleman,,activated from IR
1986-11-08,Saints,• Bobby Hebert,,activated from IR
1986-11-10,Bengals,• Lewis Billups,,activated from IR
1986-11-10,Bengals,• Robert Jackson (b. 1958-10-10),,activated from IR
1986-11-10,Bills,,• Walter Broughton,placed on IR
1986-11-10,Browns,• Terry Greer,,activated from IR
1986-11-10,Buccaneers,,• Jerry Bell,placed on IR
1986-11-10,Buccaneers,,• Leonard Harris,placed on IR
1986-11-10,Buccaneers,,• Nathan Wonsley,placed on IR
1986-11-12,Dolphins,,• Bob Baumhower,placed on IR with groin injury
1986-11-12,Falcons,,• Mick Luckhurst,placed on IR
1986-11-12,Oilers,,• Butch Woolfolk,placed on IR
1986-11-13,Patriots,• Reggie Dupard,,activated from IR
1986-11-13,Rams,,• Chuck Scott,placed on IR
1986-11-14,Broncos,,• Steve Sewell,placed on IR
1986-11-14,Seahawks,,• Jeff Bryant,placed on IR with ankle injury
1986-11-14,Seahawks,• Alonzo Mitz,,activated from IR
1986-11-15,Bills,• Dale Hellestrae,,activated from IR
1986-11-15,Falcons,• Brett Miller,,activated from IR
1986-11-15,Giants,• Stacy Robinson,,activated from IR
1986-11-15,Packers,• Mark Cannon,,activated from IR
1986-11-17,Falcons,,• David Archer,placed on IR with separated shoulder (out for season)
1986-11-19,Colts,,• Robbie Martin,placed on IR
1986-11-19,Packers,,• Jessie Clark,placed on IR
1986-11-19,Packers,,• Jessie Clark,placed on IR with elbow injury (out for season)
1986-11-19,Patriots,,• Clayton Weishuhn,placed on IR
1986-11-20,Jets,,• Mark Gastineau,placed on IR with knee injury
1986-11-20,Vikings,,• Curtis Rouse,placed on IR / non-football injury list with injuries suffered in car accident
1986-11-21,Buccaneers,,• Ricky Easmon,placed on IR
1986-11-21,Cardinals,• (Leonard) Ray Brown Jr.,,activated from IR
1986-11-21,Colts,• Albert Bentley,,activated from IR
1986-11-21,Rams,• Damone Johnson,,activated from IR
1986-11-21,Seahawks,• Eddie Anderson,,activated from IR
1986-11-24,49ers,,• Derrick Harmon,placed on IR with broken ankle
1986-11-24,Dolphins,• Ronnie Lee (V.),,activated from IR
1986-11-26,Browns,,• Matt Bahr,placed on IR with knee injury (out for season)
1986-11-26,Eagles,,• Leonard Mitchell,placed on IR with strained right knee
1986-11-26,Packers,,• Mark Cannon,placed on IR with knee injury (out for season)
1986-11-26,Packers,,• Phillip Epps,placed on IR with knee injury (out for season)
1986-11-26,Packers,• Rich Moran,,activated from IR
1986-11-27,Bears,,• Jim McMahon,placed on IR
1986-11-28,Chiefs,,• Carlos Carson,placed on IR
1986-11-28,Chiefs,• David Lutz / Dave Lutz,,activated from IR
1986-11-28,Chiefs,• Tom Baugh,,activated from IR
1986-11-28,Dolphins,,• Paul Lankford,placed on IR with hairline fracture in leg
1986-11-28,Falcons,,• Brett Miller,placed on IR
1986-11-28,Steelers,• Chris Sheffield,,activated from IR
1986-11-28,Vikings,• Gerald Robinson,,activated from IR
1986-11-30,Vikings,• Curtis Rouse,,activated
1986-12-02,Oilers,,• Mike Rozier,placed on IR
1986-12-03,Cardinals,,• Joe Bostic,placed on IR with knee injury (out for season)
1986-12-03,Lions,,• Steve Kenney,placed on IR with back injury
1986-12-03,Saints,,• Van Jakes,placed on IR
1986-12-04,Chargers,• Curt DiGiacomo / Kurt DiGiacomo,,activated from IR
1986-12-05,Chiefs,• Mark Robinson,,activated from IR
1986-12-05,Packers,,• Don Bracken,placed on IR with dislocated elbow (out for season)
1986-12-06,Giants,,• Jeff Hostetler,placed on IR
1986-12-06,Giants,• Erik Howard,,activated from IR
1986-12-06,Packers,• Mike Weddington,,activated from IR
1986-12-09,Dolphins,,• Mike Smith (W.),placed on IR with knee injury
1986-12-09,Redskins,,• Clarence Verdin,placed on IR
1986-12-10,Raiders,,• Lester Hayes,placed on IR with broken bone in left foot
1986-12-10,Seahawks,,• Byron Franklin,placed on IR recovering from surgery on knee
1986-12-11,Lions,,• John Bostic,placed on IR with shoulder injury
1986-12-12,Broncos,,• Clarence Kay,placed on reserve/non-football illness list
1986-12-12,Buccaneers,• John Cannon,,activated from IR
1986-12-12,Jets,• Reggie McElroy,,activated from IR
1986-12-13,Bills,,• Carl Byrum,placed on IR with knee injury (out for season)
1986-12-13,Bills,• Greg Bell,,activated from IR
1986-12-13,Browns,• Rickey Bolden,,activated from IR
1986-12-13,Seahawks,• Jeff Bryant,,activated from IR
1986-12-17,Bills,,• Leonard Burton,placed on IR with knee injury (out for season)
1986-12-17,Broncos,• Steve Sewell,,activated from IR
1986-12-17,Jets,,,placed on IR recovering from reconstructive surgery on knee
1986-12-17,Jets,,• Reggie McElroy,placed on IR recovering from reconstructive surgery on knee
1986-12-17,Lions,,• Jeff Chadwick,placed on IR with Achilles injury (out for season)
1986-12-18,Falcons,,• John Rade,placed on IR
1986-12-19,Buccaneers,,• James Wilder Sr.,placed on IR
1986-12-19,Buccaneers,• Ricky Easmon,,activated from IR
1986-12-19,Lions,• Tim Kearse,,activated from IR
1986-12-19,Raiders,,• Andy Parker,placed on IR
1986-12-19,Raiders,• Derrick Jensen,,activated
1986-12-20,Bills,,• Greg Bell,placed on IR with pulled pelvic muscle (out for season)
1986-12-20,Lions,• Kevin Glover,,activated from IR
1986-12-23,Browns,,• Terry Greer,placed on IR with sprained thumb (out for season)
1987-01-02,Patriots,,• Mel Black,placed on IR (out for season)
1987-01-03,Giants,,• John Washington (Earl),placed on IR
1987-01-07,Broncos,• Clarence Kay,,activated from reserve/non-football illness list
1987-01-10,Browns,• Earnest Byner,,activated from IR
1987-02-01,Bears,• Jim McMahon,,activated from IR
1987-02-01,Buccaneers,• Leonard Harris,,activated from IR
1987-02-01,Redskins,• Clarence Verdin,,activated from IR
1987-02-01,Saints,• Jim Dombrowski,,activated from IR
1987-05-06,Browns,,• Aaron Sam,placed on IR
1987-07-06,Vikings,,• Issiac Holt,placed on reserve/non-football illness list
1987-07-17,Chiefs,,• Ted Nelson,placed on physically unable to perform list
1987-07-24,Chiefs,,• Miguel Medina,placed on IR
1987-07-24,Chiefs,• Ted Nelson,,activated from physically unable to perform list
1987-07-25,Jets,,• Joe Klecko,placed on physically unable to perform list recovering from reconstructive surgery on knee
1987-07-25,Jets,,• Lance Mehl,placed on physically unable to perform list recovering from reconstructive surgery on left knee
1987-07-27,Dolphins,,• Reyna Thompson,placed on physically unable to perform list
1987-07-28,Bengals,,• Doug Aronson,placed on non-football injury list
1987-07-28,Chiefs,,• Ken McAlister,placed on physically unable to perform list
1987-07-28,Dolphins,,• Jon Giesler,placed on physically unable to perform list
1987-07-28,Dolphins,,• Terence Mann / Terance Mann,placed on physically unable to perform list
1987-07-28,Steelers,,• Anthony Henton,placed on physically unable to perform list
1987-07-28,Steelers,,• Errol Tucker / Erroll Tucker,placed on physically unable to perform list
1987-07-28,Steelers,,• Frank Pollard,placed on physically unable to perform list
1987-07-28,Steelers,,• Ray Pinney,placed on physically unable to perform list
1987-07-31,Bills,,• Eugene Marve,placed on physically unable to perform list
1987-07-31,Bills,,• Ray Bentley,placed on physically unable to perform list
1987-07-31,Chargers,,• Dan Fouts,placed on physically unable to perform list
1987-07-31,Colts,,• Chris Hinton,placed on non-football injury list
1987-07-31,Steelers,,• Rich Erenberg,placed on physically unable to perform list
1987-07-31,Steelers,• Frank Pollard,,activated from physically unable to perform list
1987-08-03,Jets,,• Reggie McElroy,placed on physically unable to perform list
1987-08-05,Buccaneers,,• Alex Hoover,placed on IR
1987-08-05,Colts,,• Willie Broughton,placed on IR with knee injury (out for season)
1987-08-05,Eagles,,• Keith Byars,placed on physically unable to perform list
1987-08-10,Bills,• Ray Bentley,,activated from physically unable to perform list
1987-08-10,Vikings,• Issiac Holt,,activated from reserve/non-football illness list
1987-08-10,Falcons,,• Ken Whisenhunt,placed on physically unable to perform list
1987-08-11,Browns,,• Danny Thomas,placed on IR with finger injury
1987-08-11,Browns,,• Ralph Malone,placed on IR with finger injury
1987-08-12,Dolphins,• Reyna Thompson,,activated from physically unable to perform list
1987-08-18,Colts,• Chris Hinton,,activated from non-football injury list
1987-08-19,Chargers,• Dan Fouts,,activated from physically unable to perform list
1987-08-21,Giants,,• Adrian White,placed on IR with bone chip in left knee
1987-08-21,Jets,,• Bill Sanders (b),placed on IR
1987-08-22,Giants,,• Adrian White,placed on IR recovering from arthroscopic surgery on knee to remove bone chip
1987-08-25,Jets,,• Bill Ransdell,placed on IR
1987-08-25,Eagles,,• Ben Tamburello,placed on IR
1987-08-26,Bengals,,• Doug Aronson,placed on IR with Achilles tendon injury
1987-08-27,Bears,,• Dick Chapura,placed on IR with knee injury
1987-08-27,Bears,,• Lew Barnes,placed on IR with broken leg (out for season)
1987-08-27,Cowboys,,• Everett Gay,placed on IR with ankle injury (out for season)
1987-08-27,Saints,,• Bill Leach,placed on IR
1987-08-28,49ers,,• Chuck Thomas,placed on IR
1987-08-28,Bills,• Eugene Marve,,activated from physically unable to perform list
1987-08-28,Saints,,• Jeff Wenzel,placed on IR
1987-08-31,49ers,,• Alex Moyer,placed on IR
1987-08-31,49ers,,• Calvin Nicholas,placed on IR
1987-08-31,49ers,,• John Paye,placed on IR
1987-08-31,49ers,,• John Pratte,placed on IR
1987-08-31,Buccaneers,,• Curt Jarvis,placed on IR
1987-08-31,Buccaneers,,• Mike Simmonds,placed on IR
1987-08-31,Chiefs,,• Andre Garron,placed on IR
1987-08-31,Chiefs,,• Brad Hastings,placed on IR
1987-08-31,Chiefs,,• James Lee (a),placed on IR
1987-08-31,Chiefs,,• Sidney Johnson,placed on IR
1987-08-31,Dolphins,,• David Lilja,placed on IR
1987-08-31,Dolphins,,• Jim Gabrish,placed on IR
1987-08-31,Dolphins,,• Jim Karsatos,placed on IR
1987-08-31,Dolphins,,• Jon Giesler,placed on physically unable to perform list
1987-08-31,Dolphins,,• Mark Veldman,placed on IR
1987-08-31,Dolphins,,• Rickey Isom,placed on IR
1987-08-31,Dolphins,,• Robin Sendlein,placed on IR
1987-08-31,Dolphins,,• Terence Mann / Terance Mann,placed on reserve list
1987-08-31,Eagles,,• Dupre Marshall,placed on IR
1987-08-31,Eagles,,• Paul Carberry,placed on IR
1987-08-31,Eagles,,• Ron Moten,placed on IR
1987-08-31,Eagles,• Keith Byars,,activated from physically unable to perform list
1987-08-31,Falcons,,• Billy Hinson,placed on IR
1987-08-31,Falcons,,• Eddie Meyers,placed on IR
1987-08-31,Falcons,,• Jerry Reese (b),placed on IR
1987-08-31,Falcons,,• Joe Costello,placed on IR
1987-08-31,Falcons,,• John Cox,placed on IR
1987-08-31,Falcons,• Ken Whisenhunt,,activated from physically unable to perform list
1987-08-31,Giants,,• Tim Richardson,placed on IR
1987-08-31,Jets,,• Darryl Caldwell,placed on IR
1987-08-31,Jets,,• Ernest Evans,placed on physically unable to perform list
1987-08-31,Jets,,• Joe Klecko,placed on physically unable to perform list
1987-08-31,Jets,,• Lance Mehl,placed on physically unable to perform list
1987-08-31,Jets,,• Mike Dorundo,placed on physically unable to perform list
1987-08-31,Jets,,• Robert Kearney,placed on IR
1987-08-31,Jets,,• Sid Lewis,placed on IR
1987-08-31,Jets,,• Vince Amoia,placed on physically unable to perform list
1987-08-31,Oilers,,• Mark Dusbabek,placed on IR with shoulder injury (out for season)
1987-08-31,Rams,,• Doug Bartlett,placed on IR
1987-08-31,Saints,,• Todd Steele,placed on IR
1987-08-31,Steelers,,• Conrad Herron,placed on IR
1987-08-31,Steelers,,• Greg Lloyd Sr.,placed on IR
1987-08-31,Steelers,,• Mark Behning,placed on IR with torn Achilles tendon (out for season)
1987-09-01,49ers,,• Brent Jones,placed on IR
1987-09-01,Bengals,,• Leonard Bell,placed on IR with strained Achilles
1987-09-01,Bills,,• Clint Sampson,placed on IR
1987-09-01,Bills,,• Dale Hellestrae,placed on IR
1987-09-01,Bills,,• Fulton Johnson / Flip Johnson,placed on IR
1987-09-01,Bills,,• Greg Christy,placed on IR
1987-09-01,Bills,,• Hal Garner,placed on IR
1987-09-01,Bills,,• Keith McKeller,placed on IR
1987-09-01,Bills,,• Kevin Williams,placed on IR
1987-09-01,Bills,,• Mike Hamby,placed on IR
1987-09-01,Broncos,,• Paul Howard,placed on physically unable to perform list
1987-09-01,Broncos,,• Rafe Wilkinson,placed on IR
1987-09-01,Broncos,,• Richard Reed,placed on IR
1987-09-01,Broncos,,• Sam Graddy,placed on IR with hamstring injury
1987-09-01,Broncos,,• Tony Boddie,placed on IR with knee injury
1987-09-01,Broncos,,• Tyrone Braxton,placed on IR with shoulder injury
1987-09-01,Broncos,,• Warren Marshall,placed on IR
1987-09-01,Broncos,,• Winford Hood,placed on IR
1987-09-01,Browns,,• Albert Bell,placed on IR
1987-09-01,Browns,,• Dave Cullity,placed on IR with elbow injury (out for season)
1987-09-01,Browns,,• Emil Boures,placed on IR
1987-09-01,Browns,,• Jeff Pegues,placed on IR
1987-09-01,Browns,,• Matt Bahr,placed on physically unable to perform list with knee injury
1987-09-01,Browns,,• Robert Stallings,placed on IR
1987-09-01,Browns,,• Steve Lawrence,placed on physically unable to perform list
1987-09-01,Browns,,• Will Hill (a),placed on IR
1987-09-01,Cardinals,,• Adrian McBride,placed on IR
1987-09-01,Cardinals,,• David Galloway,placed on IR recovering from surgery on broken left forearm
1987-09-01,Cardinals,,• Tim McDonald,placed on IR
1987-09-01,Cardinals,,• Tim Peoples,placed on IR
1987-09-01,Cardinals,,• Tim Wofford,placed on physically unable to perform list
1987-09-01,Cowboys,,• John Warren,placed on IR
1987-09-01,Cowboys,,• Karl Powe,placed on IR
1987-09-01,Cowboys,,• Kurt Petersen,placed on IR
1987-09-01,Cowboys,,• Mike Makins,placed on IR
1987-09-01,Cowboys,,• Mike Sherrard,placed on IR
1987-09-01,Cowboys,,• Ray Alexander,placed on IR (out for season)
1987-09-01,Cowboys,,• Ray Perkins (b. 1964-09-25),placed on IR
1987-09-01,Cowboys,,• Steve Savard,placed on IR
1987-09-01,Jets,,• Tom Baldwin (b),placed on IR with stress fracture in left foot (out for season)
1987-09-01,Packers,,• Ben Thomas,placed on IR
1987-09-01,Packers,,• Brent Moore,placed on IR
1987-09-01,Packers,,• Brian Donahue,placed on IR
1987-09-01,Packers,,• Burnell Dent,placed on IR with knee injury
1987-09-01,Packers,,• Dan Knight,placed on IR
1987-09-01,Packers,,• David Greenwood / Dave Greenwood (b),placed on IR
1987-09-01,Packers,,• Eddie Lee Ivery,placed on IR
1987-09-01,Packers,,• Fred Cornwell,placed on IR
1987-09-01,Packers,,• Gregg Harris,placed on IR
1987-09-01,Packers,,• Robbie Bosco,placed on IR
1987-09-01,Packers,,• Thomas Carter,placed on IR
1987-09-01,Packers,,• Tony Leiker (b),placed on IR
1987-09-01,Packers,,• Willie Marshall,placed on IR
1987-09-01,Patriots,,• Benton Reed,placed on IR
1987-09-01,Patriots,,• Cletis Jones,placed on IR
1987-09-01,Patriots,,• Dieter Heren,placed on IR
1987-09-01,Patriots,,• Jim Romano,placed on IR
1987-09-01,Patriots,,• Mike Ruth,placed on IR
1987-09-01,Patriots,,• Phil Mulcahy,placed on IR
1987-09-01,Patriots,,• Tim Jordan,placed on IR
1987-09-01,Patriots,,• Walter Lewis,placed on IR
1987-09-01,Raiders,,• Cris Riehm / Chris Riehm,placed on IR
1987-09-01,Raiders,,• Elliston Stinson / Ellison Stinson,placed on IR
1987-09-01,Raiders,,• Henry Lawrence,placed on IR
1987-09-01,Raiders,,• Jim Plunkett,placed on IR
1987-09-01,Raiders,,• Joe Cormier,placed on IR
1987-09-01,Raiders,,• Shelby Jordan,placed on IR
1987-09-01,Rams,,• Richard Brown (Solomon),placed on IR
1987-09-01,Redskins,,• Alfred Jenkins (b),placed on IR
1987-09-01,Redskins,,• Anthony Jones (Andrew),placed on physically unable to perform list
1987-09-01,Redskins,,• Chris Spachman,placed on IR
1987-09-01,Redskins,,• Greg Grooms,placed on IR
1987-09-01,Redskins,,• Ray Hitchcock,placed on IR
1987-09-01,Saints,,• Eugene Goodlow,placed on IR
1987-09-01,Saints,,• James Geathers / Jumpy Geathers,placed on IR with knee injury
1987-09-01,Saints,,• Jimmy Teal,placed on IR
1987-09-01,Saints,,• Sheldon Andrus,placed on IR
1987-09-01,Seahawks,,• Bob Otto,placed on IR
1987-09-01,Seahawks,,• Gerald Taylor,placed on IR
1987-09-01,Seahawks,,• Keli McGregor,placed on IR
1987-09-01,Seahawks,,• Stan Eisenhooth,placed on IR with fractured hand
1987-09-01,Seahawks,,• Tommie Agee,placed on IR (out for season)
1987-09-01,Vikings,,• Chris Foote,placed on IR with fractured hand
1987-09-02,Cowboys,,• Brian Baldinger,placed on IR with knee injury
1987-09-02,Falcons,,• Elbert Shelley,placed on IR
1987-09-02,Packers,,• Bobby Leopold,placed on IR
1987-09-02,Saints,• Shawn Knight,,activated
1987-09-03,Buccaneers,,• Bobby Bankston,placed on IR with fractured wrist
1987-09-06,Eagles,,• John Klingel,placed on IR
1987-09-06,Eagles,,• Ken Lambiotte,placed on IR
1987-09-06,Eagles,,• Mike McCloskey,placed on IR
1987-09-06,Eagles,,• Steve DeLine,placed on IR
1987-09-06,Eagles,,• Wes Hopkins,placed on physically unable to perform list
1987-09-06,Jets,,• David Norrie,placed on IR
1987-09-06,Oilers,,• Jeff Parks,placed on IR
1987-09-06,Oilers,,• Robert Banks,placed on IR with finger injury (out for season)
1987-09-06,Oilers,,• Wes Neighbors,placed on IR
1987-09-07,49ers,,• Jeff Bregel,placed on IR with knee injury
1987-09-07,49ers,,• Ken Margerum,placed on IR
1987-09-07,49ers,,• Todd Shell,placed on IR
1987-09-07,Bears,,• Jim McMahon,placed on IR
1987-09-07,Bears,,• Larry Rubens,placed on IR
1987-09-07,Bears,,• Tim Wrightman,placed on IR
1987-09-07,Bills,,• Jerry Butler,placed on IR
1987-09-07,Bills,,• Kerry Porter,placed on IR
1987-09-07,Broncos,,• Keith Kartz,placed on IR
1987-09-07,Browns,,• George Winslow,placed on IR
1987-09-07,Browns,,• Larry Mason,placed on IR
1987-09-07,Browns,,• Nick Miller (a),placed on IR
1987-09-07,Browns,,• Steve Bullitt,placed on IR
1987-09-07,Browns,,• Tony Baker (F.),placed on IR with wrist injury (out for season)
1987-09-07,Browns,,• Vyto Kab,placed on IR
1987-09-07,Buccaneers,,• Bruce Hill,placed on IR
1987-09-07,Buccaneers,,• Quentin Walker,placed on IR
1987-09-07,Buccaneers,,• Ray Isom,placed on IR
1987-09-07,Buccaneers,,• Ricky Easmon,placed on IR
1987-09-07,Buccaneers,,• Tom McHale,placed on IR
1987-09-07,Cardinals,,• Mark Garalczyk,placed on IR with pulled thigh muscle
1987-09-07,Chargers,,• Curt DiGiacomo / Kurt DiGiacomo,placed on IR with ankle injury
1987-09-07,Chargers,,• Jeff Walker,placed on IR
1987-09-07,Chargers,,• Keith Baldwin,placed on IR with knee injury
1987-09-07,Chargers,,• Nelson Jones,placed on IR
1987-09-07,Chargers,,• Woody Lowe,placed on IR
1987-09-07,Chiefs,,• Ken McAlister,placed on reserve/physically unable to perform list
1987-09-07,Colts,,• Chris Gambol,placed on IR with back injury
1987-09-07,Colts,,• Chris Goode,placed on IR with abdominal strain
1987-09-07,Colts,,• Chuckie Miller,placed on IR
1987-09-07,Colts,,• John Haines,placed on IR
1987-09-07,Colts,,• Roy Banks,placed on IR with ankle injury
1987-09-07,Cowboys,,• Don Smerek,placed on IR
1987-09-07,Cowboys,,• Glen Titensor,placed on IR
1987-09-07,Cowboys,,• Robert Smith (B.),placed on IR
1987-09-07,Dolphins,,• Andy Hendel,placed on IR
1987-09-07,Dolphins,,• Hugh Green,placed on IR with knee injury
1987-09-07,Falcons,,• Andrew Provence,placed on IR
1987-09-07,Falcons,,• Dan Sharp,placed on IR
1987-09-07,Giants,,• Jeff Hostetler,placed on IR
1987-09-07,Giants,,• Jerome Foster,placed on IR
1987-09-07,Giants,,• Odessa Turner,placed on IR
1987-09-07,Giants,,• Wayne Haddix,placed on IR with knee injury
1987-09-07,Jets,,• Reggie McElroy,placed on reserve/physically unable to perform list
1987-09-07,Lions,,• Bob Cryder,placed on IR
1987-09-07,Lions,,• Carl Bland,placed on IR with knee injury
1987-09-07,Lions,,• Dan Saleaumua,placed on IR
1987-09-07,Lions,,• Devon Mitchell,placed on IR
1987-09-07,Lions,,• Donnie Elder,placed on IR with knee injury
1987-09-07,Packers,,• Dave Croston,placed on IR with elbow injury (out for season)
1987-09-07,Packers,,• Gary Ellerson,placed on IR
1987-09-07,Packers,,• Lorenzo Freeman,placed on IR with ankle injury
1987-09-07,Patriots,,• Trevor Matich,placed on IR with foot injury
1987-09-07,Raiders,,• Chris Woods,placed on IR
1987-09-07,Raiders,,• Gene Branton,placed on IR with knee injury
1987-09-07,Raiders,,• John Gesek,placed on IR with back injury
1987-09-07,Raiders,,• Lester Hayes,placed on IR with strained tendon in left foot
1987-09-07,Raiders,,• Mike Wise,placed on non-football illness list
1987-09-07,Raiders,,• Steve Beuerlein,placed on IR with elbow and shoulder injuries (out for season)
1987-09-07,Rams,,• Donald Evans,placed on IR with strained abdomen
1987-09-07,Rams,,• Fred Stokes,placed on IR
1987-09-07,Rams,,• Hugh Millen,placed on IR
1987-09-07,Rams,,• Mike Schad,placed on IR
1987-09-07,Redskins,,• Clarence Verdin,placed on IR
1987-09-07,Redskins,,• Mark Rypien,placed on IR
1987-09-07,Redskins,,• Neal Olkewicz,placed on IR
1987-09-07,Redskins,,• Terry Orr,placed on IR
1987-09-07,Saints,,• Gene Atkins,placed on IR with eye injury
1987-09-07,Saints,,• Herbert Harris,placed on IR
1987-09-07,Saints,,• James Campen,placed on IR with rotator cuff injury
1987-09-07,Saints,,• Steve Korte,placed on IR
1987-09-07,Seahawks,,• Alonzo Mitz,placed on IR
1987-09-07,Seahawks,,• Roland Barbay,placed on IR with back injury
1987-09-07,Steelers,,• James Hansen,placed on IR
1987-09-07,Steelers,,• Jerry Quick,placed on IR
1987-09-07,Steelers,,• Lyneal Alston,placed on IR
1987-09-07,Steelers,,• Pete Rostosky,placed on IR
1987-09-07,Vikings,,• Tony Truelove,placed on IR
1987-09-07,Giants,,• Perry Williams (Lamar),placed on IR
1987-09-08,49ers,,• Doug DuBose,placed on IR
1987-09-08,Bears,,• Shaun Gayle,placed on IR with ankle injury
1987-09-08,Bengals,,• Louis Breeden,placed on IR with back injury
1987-09-08,Bills,,• Stan Gelbaugh,placed on IR with elbow injury (out for season)
1987-09-08,Bills,,• Wayne Davis (E.),placed on IR with hamstring injury
1987-09-08,Buccaneers,,• Harry Swayne,placed on IR
1987-09-08,Chargers,,• Rod Bernstine,placed on IR with hamstring injury
1987-09-08,Dolphins,,• John Offerdahl,placed on IR
1987-09-08,Dolphins,,• Reyna Thompson,placed on IR
1987-09-08,Dolphins,,• Tom Brown,placed on IR with ankle injury
1987-09-08,Falcons,,• Brett Miller,placed on IR
1987-09-08,Oilers,,• Robert Abraham,placed on IR with groin injury
1987-09-08,Patriots,,• Derrick Beasley,placed on IR with toe injury
1987-09-08,Patriots,,• Elgin Davis,placed on IR with quadricep injury
1987-09-08,Patriots,,• Reggie Dupard,placed on IR with hip injury
1987-09-08,Patriots,,• Robert Weathers,placed on physically unable to perform list recovering from surgery on left ankle to repair fracture (suffered in car accident)
1987-09-08,Patriots,,• Roland James (b),placed on IR with recovering from arthroscopic surgery on knee
1987-09-08,Patriots,,• Tom Gibson (b),placed on IR with groin / hamstring injury (UPI) (out for season)
1987-09-08,Rams,,• Duval Love,placed on IR
1987-09-08,Redskins,,• Clint Didier,placed on IR with hamstring injury
1987-09-08,Redskins,,• Mark May (Eric),placed on IR
1987-09-08,Seahawks,,• Gale Gilbert,placed on IR with knee injury (out for season)
1987-09-08,Vikings,,• Mike Mularkey,placed on IR
1987-09-09,Bengals,• Jason Buck,,activated
1987-09-09,Raiders,,• Bob Buczkowski,placed on non-football injury list with hepatitis
1987-09-11,Eagles,• Mike Pitts,,activated from exempt/commissioner permission list
1987-09-11,Falcons,,• Larry Emery,placed on IR with blood clot in left forearm
1987-09-11,Lions,,• Steve Baack,placed on IR with knee injury
1987-09-11,Packers,,• Ezra Johnson,placed on IR with sprained knee
1987-09-11,Saints,,• Michael Adams (a),placed on IR with hamstring injury
1987-09-12,49ers,• Jeff Stover,,activated from exempt/commissioner permission list
1987-09-12,Lions,• Jimmie Giles,,activated
1987-09-14,49ers,,• Riki Ellison / Riki Gray,placed on IR with broken right forearm
